text,severity,class,subclass
"يا جماعة، خربوا زجاج محل بحي المزة بدمشق، بدنا الشرطة بسرعة!",4,POLICE,vandalism
"شباب، في تخريب بممتلكات بحي الشيخ مقصود بحلب، تعالوا!",5,POLICE,vandalism
"يا شرطة، كسروا زجاج سيارة قرب سوق القابون بدمشق، ساعدوا!",3,POLICE,vandalism
"في تخريب حصل بدير الزور قرب الجسر، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، خربوا جدار بيت بحي الخالدية بحمص، بسرعة!",4,POLICE,vandalism
"كسروا أغراض باللاذقية قرب الكورنيش، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، في تخريب بحي التضامن بدمشق، جيبو الشرطة!",3,POLICE,vandalism
"خربوا ممتلكات بالسويداء قرب السوق، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، كسروا زجاج محل بحي الميدان بدمشق، ساعدوا!",4,POLICE,vandalism
"في تخريب بممتلكات بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، خربوا سيارة قرب مبنى بدير الزور، تعالوا!",3,POLICE,vandalism
"كسروا أبواب بحي القصور بحمص، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، في تخريب بحي الحميدية بدمشق، بسرعة!",4,POLICE,vandalism
"خربوا زجاج سيارة بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، في تخريب بحي الشيخ سعد بدير الزور، ساعدوا!",3,POLICE,vandalism
"في تخريب بمحل بحي المزة بدمشق، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، كسروا أغراض قرب سوق اللاذقية، تعالوا!",4,POLICE,vandalism
"خربوا جدار بحي الخالدية بحمص، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، في تخريب بحي التضامن بدمشق، ساعدوا!",3,POLICE,vandalism
"كسروا زجاج سيارة بحي الفردوس بحلب، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، خربوا ممتلكات قرب مبنى بحي القابون بدمشق، بسرعة!",4,POLICE,vandalism
"في تخريب بدير الزور قرب السوق، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، كسروا أبواب بحي الميدان بدمشق، تعالوا!",3,POLICE,vandalism
"خربوا ممتلكات بحي القصور بحمص، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، في تخريب بحي الحميدية بدمشق، ساعدوا!",4,POLICE,vandalism
"كسروا زجاج محل بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، خربوا سيارة بحي الشيخ سعد بدير الزور، بسرعة!",3,POLICE,vandalism
"في تخريب بالسويداء قرب السوق، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، كسروا أغراض بحي المزة بدمشق، تعالوا!",4,POLICE,vandalism
"خربوا جدار باللاذقية قرب الكورنيش، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، في تخريب بحي الخالدية بحمص، ساعدوا!",3,POLICE,vandalism
"كسروا زجاج سيارة بحي التضامن بدمشق، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، خربوا ممتلكات بحي الفردوس بحلب، تعالوا!",4,POLICE,vandalism
"في تخريب بحي القابون بدمشق، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، كسروا أبواب بدير الزور قرب الجسر، ساعدوا!",3,POLICE,vandalism
"خربوا زجاج محل بحي الميدان بدمشق، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، في تخريب بحي القصور بحمص، تعالوا!",4,POLICE,vandalism
"كسروا أغراض بحي الحميدية بدمشق، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، خربوا سيارة بحي الصالحية بحلب، ساعدوا!",3,POLICE,vandalism
"في تخريب بحي الشيخ سعد بدير الزور، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، كسروا زجاج بالسويداء، تعالوا!",4,POLICE,vandalism
"خربوا ممتلكات بحي المزة بدمشق، بدو شرطة!",5,POLICE,vandalism
"يا شباب، في تخريب باللاذقية قرب السوق، ساعدوا!",3,POLICE,vandalism
"كسروا أبواب بحي الخالدية بحمص، بدنا الشرطة!",6,POLICE,vandalism
"يا جماعة، خربوا زجاج سيارة بحي التضامن بدمشق، تعالوا!",4,POLICE,vandalism
"في تخريب بحي الفردوس بحلب، بدو شرطة!",5,POLICE,vandalism
"يا شباب، كسروا أغراض بحي القابون بدمشق، ساعدوا!",3,POLICE,vandalism
"خربوا ممتلكات بدير الزور قرب السوق، بدنا الشرطة!",6,POLICE,vandalism
"يا جماعة، في تخريب بحي الميدان بدمشق، تعالوا!",4,POLICE,vandalism
"كسروا زجاج محل بحي القصور بحمص، بدو شرطة!",5,POLICE,vandalism
"يا شباب، خربوا سيارة بحي الحميدية بدمشق، ساعدوا!",3,POLICE,vandalism
"في تخريب بحي الصالحية بحلب، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، كسروا أبواب بحي الشيخ سعد بدير الزور، تعالوا!",4,POLICE,vandalism
"خربوا زجاج بالسويداء قرب السوق، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، في تخريب بحي المزة بدمشق، ساعدوا!",3,POLICE,vandalism
"كسروا ممتلكات باللاذقية قرب الكورنيش، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، خربوا زجاج سيارة بحي الخالدية بحمص، تعالوا!",4,POLICE,vandalism
"في تخريب بحي التضامن بدمشق، بدو شرطة!",5,POLICE,vandalism
"يا شباب، كسروا أغراض بحي الفردوس بحلب، ساعدوا!",3,POLICE,vandalism
"خربوا زجاج محل بحي القابون بدمشق، بدنا الشرطة!",6,POLICE,vandalism
"يا جماعة، في تخريب بدير الزور قرب الجسر، تعالوا!",4,POLICE,vandalism
"كسروا أبواب بحي الميدان بدمشق، بدو شرطة!",5,POLICE,vandalism
"يا شباب، خربوا ممتلكات بحي القصور بحمص، ساعدوا!",3,POLICE,vandalism
"في تخريب بحي الحميدية بدمشق، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، كسروا زجاج سيارة بحي الصالحية بحلب، تعالوا!",4,POLICE,vandalism
"خربوا أغراض بحي الشيخ سعد بدير الزور، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، في تخريب بالسويداء، ساعدوا!",3,POLICE,vandalism
"كسروا ممتلكات بحي المزة بدمشق، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، خربوا زجاج باللاذقية قرب السوق، تعالوا!",4,POLICE,vandalism
"في تخريب بحي الخالدية بحمص، بدو شرطة!",5,POLICE,vandalism
"يا شباب، كسروا أبواب بحي التضامن بدمشق، ساعدوا!",3,POLICE,vandalism
"خربوا زجاج سيارة بحي الفردوس بحلب، بدنا الشرطة!",6,POLICE,vandalism
"يا جماعة، في تخريب بحي القابون بدمشق، تعالوا!",4,POLICE,vandalism
"كسروا ممتلكات بدير الزور قرب السوق، بدو شرطة!",5,POLICE,vandalism
"يا شباب، خربوا زجاج محل بحي الميدان بدمشق، ساعدوا!",3,POLICE,vandalism
"في تخريب بحي القصور بحمص، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، كسروا أغراض بحي الحميدية بدمشق، تعالوا!",4,POLICE,vandalism
"خربوا زجاج سيارة بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، في تخريب بحي الشيخ سعد بدير الزور، ساعدوا!",3,POLICE,vandalism
"كسروا ممتلكات بالسويداء قرب السوق، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، خربوا زجاج بحي المزة بدمشق، تعالوا!",4,POLICE,vandalism
"في تخريب باللاذقية قرب الكورنيش، بدو شرطة!",5,POLICE,vandalism
"يا شباب، كسروا أبواب بحي الخالدية بحمص، ساعدوا!",3,POLICE,vandalism
"خربوا ممتلكات بحي التضامن بدمشق، بدنا الشرطة!",6,POLICE,vandalism
"يا جماعة، في تخريب بحي الفردوس بحلب، تعالوا!",4,POLICE,vandalism
"كسروا زجاج سيارة بحي القابون بدمشق، بدو شرطة!",5,POLICE,vandalism
"يا شباب، خربوا أغراض بدير الزور قرب الجسر، ساعدوا!",3,POLICE,vandalism
"في تخريب بحي الميدان بدمشق، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، كسروا زجاج محل بحي القصور بحمص، تعالوا!",4,POLICE,vandalism
"خربوا ممتلكات بحي الحميدية بدمشق، بدنا الشرطة!",5,POLICE,vandalism
"يا شباب، في تخريب بحي الصالحية بحلب، ساعدوا!",3,POLICE,vandalism
"كسروا أبواب بحي الشيخ سعد بدير الزور، بدو شرطة!",6,POLICE,vandalism
"يا جماعة، خربوا زجاج بالسويداء، تعالوا!",4,POLICE,vandalism
"في تخريب بحي المزة بدمشق، بدو شرطة!",5,POLICE,vandalism
"يا شباب، كسروا ممتلكات باللاذقية قرب السوق، ساعدوا!",3,POLICE,vandalism
"خربوا زجاج سيارة بحي الخالدية بحمص، بدنا الشرطة!",6,POLICE,vandalism
"يا جماعة، في تخريب بحي التضامن بدمشق، تعالوا!",4,POLICE,vandalism
"كسروا أغراض بحي الفردوس بحلب، بدو شرطة!",5,POLICE,vandalism
