text,severity,class,subclass
"يا جماعة، في إطلاق نار كثيف بحي المزة بدمشق، بدنا الشرطة فوري!",10,POLICE,gun_fight
"شباب، مواجهة مسلحة بحي الشيخ مقصود بحلب، تعالوا بسرعة!",9,POLICE,gun_fight
"يا شرطة، إطلاق نار قرب السوق بحي القابون بدمشق، ساعدوا!",10,POLICE,gun_fight
"في تبادل نار بدير الزور قرب الجسر، بدو شرطة عاجل!",8,POLICE,gun_fight
"يا جماعة، مواجهة مسلحة بحي الخالدية بحمص، بسرعة!",9,POLICE,gun_fight
"إطلاق نار كثيف باللاذقية قرب الكورنيش، بدنا الشرطة!",10,POLICE,gun_fight
"يا شباب، في إطلاق نار بحي التضامن بدمشق، تعالوا فوري!",8,POLICE,gun_fight
"مواجهة مسلحة بالسويداء قرب السوق، بدو شرطة بسرعة!",9,POLICE,gun_fight
"يا جماعة، إطلاق نار قوي بحي الميدان بدمشق، ساعدوا!",10,POLICE,gun_fight
"في تبادل نار بحي الصالحية بحلب، بدنا الشرطة!",8,POLICE,gun_fight
"يا شباب، مواجهة مسلحة قرب مبنى بدير الزور، تعالوا بسرعة!",9,POLICE,gun_fight
"إطلاق نار بحي القصور بحمص، بدو شرطة عاجل!",10,POLICE,gun_fight
"يا جماعة، في تبادل نار بحي الحميدية بدمشق، بسرعة!",8,POLICE,gun_fight
"مواجهة مسلحة بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,gun_fight
"يا شباب، إطلاق نار كثيف بحي الشيخ سعد بدير الزور، ساعدوا!",10,POLICE,gun_fight
"في مواجهة مسلحة بحي المزة بدمشق، بدو شرطة فوري!",8,POLICE,gun_fight
"يا جماعة، إطلاق نار قرب السوق باللاذقية، تعالوا بسرعة!",9,POLICE,gun_fight
"تبادل نار قوي بحي الخالدية بحمص، بدنا الشرطة!",10,POLICE,gun_fight
"يا شباب، في إطلاق نار بحي التضامن بدمشق، ساعدوا!",8,POLICE,gun_fight
"مواجهة مسلحة بحي الفردوس بحلب، بدو شرطة فوري!",9,POLICE,gun_fight
"يا جماعة، إطلاق نار قرب مبنى بحي القابون بدمشق، بسرعة!",10,POLICE,gun_fight
"في تبادل نار بدير الزور قرب السوق، بدنا الشرطة!",8,POLICE,gun_fight
"يا شباب، إطلاق نار بحي الميدان بدمشق، تعالوا فوري!",9,POLICE,gun_fight
"مواجهة مسلحة بحي القصور بحمص، بدو شرطة بسرعة!",10,POLICE,gun_fight
"يا جماعة، في إطلاق نار بحي الحميدية بدمشق، ساعدوا!",8,POLICE,gun_fight
"تبادل نار قوي بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,gun_fight
"يا شباب، مواجهة مسلحة بحي الشيخ سعد بدير الزور، بسرعة!",10,POLICE,gun_fight
"في إطلاق نار بالسويداء، بدو شرطة عاجل!",8,POLICE,gun_fight
"يا جماعة، تبادل نار قوي بحي المزة بدمشق، تعالوا بسرعة!",9,POLICE,gun_fight
"إطلاق نار باللاذقية قرب الكورنيش، بدنا الشرطة!",10,POLICE,gun_fight
"يا شباب، في مواجهة مسلحة بحي الخالدية بحمص، ساعدوا!",8,POLICE,gun_fight
"تبادل نار بحي التضامن بدمشق، بدو شرطة فوري!",9,POLICE,gun_fight
"يا جماعة، إطلاق نار قوي بحي الفردوس بحلب، تعالوا بسرعة!",10,POLICE,gun_fight
"في مواجهة مسلحة بحي القابون بدمشق، بدنا الشرطة!",8,POLICE,gun_fight
"يا شباب، إطلاق نار بدير الزور قرب الجسر، ساعدوا!",9,POLICE,gun_fight
"تبادل نار بحي الميدان بدمشق، بدو شرطة فوري!",10,POLICE,gun_fight
