text,severity,class,subclass
"يا جماعة، في مجموعة مسلحة مشبوهة بحي المزة بدمشق، بدنا الشرطة فوري!",9,POLICE,rouge_faction
"شباب، فصيل مارق يهدد ناس بحي الشيخ مقصود بحلب، تعالوا بسرعة!",8,POLICE,rouge_faction
"يا شرطة، مجموعة مسلحة قرب سوق القابون بدمشق، الوضع خطير!",10,POLICE,rouge_faction
"في تحركات مشبوهة لفصيل بدير الزور قرب الجسر، بدو شرطة عاجل!",9,POLICE,rouge_faction
"يا جماعة، مجموعة مارقة تهدد بحي الخالدية بحمص، ساعدوا!",8,POLICE,rouge_faction
"فصيل مشبوه يتحرك باللاذقية قرب الكورنيش، بدنا الشرطة!",10,POLICE,rouge_faction
"يا شباب، مجموعة مسلحة بحي التضامن بدمشق، جيبو الشرطة!",9,POLICE,rouge_faction
"في أنشطة خطيرة لفصيل مارق بالسويداء قرب السوق، بدو شرطة!",8,POLICE,rouge_faction
"يا جماعة، مجموعة تهدد ناس بحي الميدان بدمشق، بدنا الشرطة!",10,POLICE,rouge_faction
"فصيل مارق يتحرك بحي الصالحية بحلب، ساعدوا!",9,POLICE,rouge_faction
"يا شباب، مجموعة مشبوهة قرب مبنى بدير الزور، تعالوا بسرعة!",8,POLICE,rouge_faction
"في تهديدات من فصيل مارق بحي القصور بحمص، بدو شرطة فوري!",10,POLICE,rouge_faction
"يا جماعة، مجموعة مسلحة بحي الحميدية بدمشق، الوضع خطير!",9,POLICE,rouge_faction
"فصيل مارق يهدد ناس بحي الصالحية بحلب، بدنا الشرطة!",8,POLICE,rouge_faction
"يا شباب، تحركات مشبوهة بحي الشيخ سعد بدير الزور، ساعدوا!",10,POLICE,rouge_faction
"مجموعة مارقة تهاجم ناس بحي المزة بدمشق، بدو شرطة!",9,POLICE,rouge_faction
"يا جماعة، فصيل مشبوه قرب سوق اللاذقية، تعالوا بسرعة!",8,POLICE,rouge_faction
"في أنشطة خطيرة لمجموعة بحي الخالدية بحمص، بدنا الشرطة!",10,POLICE,rouge_faction
"يا شباب، مجموعة مسلحة بحي التضامن بدمشق، ساعدوا!",9,POLICE,rouge_faction
"فصيل مارق يهدد بحي الفردوس بحلب، بدو شرطة!",8,POLICE,rouge_faction
"يا جماعة، تحركات مشبوهة قرب مبنى بحي القابون بدمشق، تعالوا!",10,POLICE,rouge_faction
"مجموعة مارقة تهدد ناس بدير الزور قرب السوق، بدنا الشرطة!",9,POLICE,rouge_faction
"يا شباب، فصيل مشبوه بحي الميدان بدمشق، ساعدوا!",8,POLICE,rouge_faction
"في تهديدات خطيرة من مجموعة بحي القصور بحمص، بدو شرطة!",10,POLICE,rouge_faction
"يا جماعة، مجموعة مسلحة بحي الحميدية بدمشق، تعالوا!",9,POLICE,rouge_faction
"فصيل مارق يتحرك بحي الصالحية بحلب، بدنا الشرطة!",8,POLICE,rouge_faction
"يا شباب، تحركات مشبوهة بحي الشيخ سعد بدير الزور، بدو شرطة!",10,POLICE,rouge_faction
"مجموعة تهدد ناس بالسويداء قرب السوق، بدنا الشرطة!",9,POLICE,rouge_faction
"يا جماعة، فصيل مارق بحي المزة بدمشق، ساعدوا!",8,POLICE,rouge_faction
"تحركات خطيرة لمجموعة باللاذقية قرب الكورنيش، بدو شرطة!",10,POLICE,rouge_faction
"يا شباب، مجموعة مسلحة بحي الخالدية بحمص، تعالوا!",9,POLICE,rouge_faction
"فصيل مشبوه يهدد ناس بحي التضامن بدمشق، بدنا الشرطة!",8,POLICE,rouge_faction
"يا جماعة، تحركات مارقة بحي الفردوس بحلب، ساعدوا!",10,POLICE,rouge_faction
