text,severity,class,subclass
"يا جماعة، المياه مقطوعة بحي المزة بدمشق من يومين، شو الحل؟",6,CIVIL,complaint
"في ضوضاء كتير بحي الشيخ مقصود بحلب، ما نقدر ننام!",4,CIVIL,complaint
"الطريق بحي القابون بدمشق مليان حفر، خطر عالسيارات!",5,CIVIL,complaint
"يا شباب، في ريحة زبالة قوية بدير الزور قرب السوق، لازم حدا يتصرف!",6,CIVIL,complaint
"الكهربا مقطوعة بحي الخالدية بحمص، الوضع ما بيطاق!",5,CIVIL,complaint
"في تسرب مياه بحي الصالحية باللاذقية، الشوارع غرقانة!",6,CIVIL,complaint
"يا جماعة، الإنارة بالشوارع بحي التضامن بدمشق خربانة، خطر بالليل!",4,CIVIL,complaint
"في تلوث بمياه الشرب بالسويداء، الناس خايفة تشرب!",7,CIVIL,complaint
"الضوضاء من محلات بحي الميدان بدمشق ما بتخلينا نرتاح!",4,CIVIL,complaint
"يا شباب، الطريق بحي الفردوس بحلب مسكر بسبب أنقاض، لازم يتصلح!",5,CIVIL,complaint
"المياه مقطوعة بدير الزور من تلات أيام، بالله شوفوا حل!",6,CIVIL,complaint
"في ريحة غاز غريبة بحي القصور بحمص، الناس خايفة!",7,CIVIL,complaint
"يا جماعة، الكهربا عم تقطع كل يوم بحي الحميدية بدمشق!",5,CIVIL,complaint
"في تسرب مجاري بحي الصالحية بحلب، الوضع مقزز!",6,CIVIL,complaint
"الطريق بحي الشيخ سعد بدير الزور مكسر، السيارات بتتضرر!",4,CIVIL,complaint
"يا شباب، الإنارة بالشوارع باللاذقية خربانة، خطر عالمشاة!",5,CIVIL,complaint
"في ضوضاء من باصات بحي المزة بدمشق، ما نقدر نرتاح!",4,CIVIL,complaint
"المياه متسخة بحي الخالدية بحمص، الناس مرضت!",7,CIVIL,complaint
"يا جماعة، في زبالة متراكمة بالسويداء قرب المدرسة، لازم تنظف!",6,CIVIL,complaint
"الكهربا مقطوعة بحي التضامن بدمشق، الوضع صعب!",5,CIVIL,complaint
"في تسرب مياه بحي الفردوس بحلب، الشوارع غرقانة!",6,CIVIL,complaint
"يا شباب، الطريق بحي القابون بدمشق مليان حفر، خطر كتير!",4,CIVIL,complaint
"ريحة مجاري قوية بحي الميدان بدمشق، لازم حدا يتصرف!",6,CIVIL,complaint
"يا جماعة، الكهربا عم تقطع كل يوم بدير الزور، شو الحل؟",5,CIVIL,complaint
"في ضوضاء من ورشة بحي القصور بحمص، ما نقدر ننام!",4,CIVIL,complaint
"تسرب مياه بحي الصالحية باللاذقية، الشوارع صارت برك!",6,CIVIL,complaint
"يا شباب، الإنارة بحي الشيخ مقصود بحلب خربانة، خطر بالليل!",5,CIVIL,complaint
"المياه مقطوعة بالسويداء من يومين، الناس عطشانة!",7,CIVIL,complaint
"في زبالة متراكمة بحي الحميدية بدمشق، الوضع ما بيطاق!",6,CIVIL,complaint
"يا جماعة، الطريق بحي الفردوس بحلب مسكر، لازم يتصلح!",4,CIVIL,complaint
"ريحة غاز غريبة بحي الخالدية بحمص، الناس خايفة!",7,CIVIL,complaint
"الكهربا مقطوعة بحي المزة بدمشق، الوضع صعب عالناس!",5,CIVIL,complaint
"في تسرب مجاري بدير الزور، الشوارع مقززة!",6,CIVIL,complaint
"يا شباب، الضوضاء من السوق بحي القابون بدمشق كتيرة!",4,CIVIL,complaint
