text,severity,class,subclass
"يا جماعة، في واحد يتصرف بشكل مريب بحي المزة بدمشق، بدنا الشرطة تتأكد!",4,POLICE,suspicious
"شباب، شايفين مجموعة مشبوهة بحي الشيخ مقصود بحلب، تعالوا بسرعة!",5,POLICE,suspicious
"يا شرطة، شخص يتصرف بغرابة قرب سوق القابون بدمشق، ساعدوا!",3,POLICE,suspicious
"في ناس مريبين قرب الجسر بدير الزور، بدو شرطة عاجل!",6,POLICE,suspicious
"يا جماعة، واحد يتحرك بشكل مشبوه بحي الخالدية بحمص، بسرعة!",4,POLICE,suspicious
"شايفين شخص مريب باللاذقية قرب الكورنيش، بدنا الشرطة!",5,POLICE,suspicious
"يا شباب، في تصرفات غريبة بحي التضامن بدمشق، جيبو الشرطة!",3,POLICE,suspicious
"شخص يتصرف بشكل مشبوه بالسويداء قرب السوق، بدو شرطة!",6,POLICE,suspicious
"يا جماعة، في ناس مريبين بحي الميدان بدمشق، ساعدوا!",4,POLICE,suspicious
"شايفين واحد يتصرف بغرابة بحي الصالحية بحلب، بدنا الشرطة!",7,POLICE,suspicious
"يا شباب، مجموعة مشبوهة قرب مبنى بدير الزور، تعالوا!",5,POLICE,suspicious
"في شخص مريب بحي القصور بحمص، بدو شرطة!",3,POLICE,suspicious
"يا جماعة، تصرفات غريبة بحي الحميدية بدمشق، بسرعة!",6,POLICE,suspicious
"شايفين ناس مريبين بحي الصالحية بحلب، بدنا الشرطة!",4,POLICE,suspicious
"يا شباب، واحد يتصرف بشكل مشبوه بحي الشيخ سعد بدير الزور، ساعدوا!",5,POLICE,suspicious
"في تصرفات مريبة بحي المزة بدمشق، بدو شرطة!",7,POLICE,suspicious
"يا جماعة، شخص يتحرك بغرابة قرب سوق اللاذقية، تعالوا!",3,POLICE,suspicious
"شايفين مجموعة مشبوهة بحي الخالدية بحمص، بدنا الشرطة!",6,POLICE,suspicious
"يا شباب، في واحد مريب بحي التضامن بدمشق، ساعدوا!",4,POLICE,suspicious
"تصرفات غريبة بحي الفردوس بحلب، بدو شرطة!",5,POLICE,suspicious
"يا جماعة، ناس مريبين قرب مبنى بحي القابون بدمشق، بسرعة!",7,POLICE,suspicious
"في شخص يتصرف بشكل مشبوه بدير الزور قرب السوق، بدنا الشرطة!",3,POLICE,suspicious
"يا شباب، شايفين واحد مريب بحي الميدان بدمشق، تعالوا!",6,POLICE,suspicious
"مجموعة مشبوهة بحي القصور بحمص، بدو شرطة!",4,POLICE,suspicious
"يا جماعة، تصرفات غريبة بحي الحميدية بدمشق، ساعدوا!",5,POLICE,suspicious
"شايفين ناس مريبين بحي الصالحية بحلب، بدنا الشرطة!",7,POLICE,suspicious
"يا شباب، واحد يتصرف بشكل مشبوه بحي الشيخ سعد بدير الزور، بسرعة!",3,POLICE,suspicious
"في تصرفات مريبة بالسويداء، بدو شرطة!",6,POLICE,suspicious
"يا جماعة، شخص مريب بحي المزة بدمشق، تعالوا!",4,POLICE,suspicious
"شايفين واحد يتحرك بغرابة باللاذقية قرب الكورنيش، بدنا الشرطة!",5,POLICE,suspicious
"يا شباب، مجموعة مشبوهة بحي الخالدية بحمص، ساعدوا!",7,POLICE,suspicious
"في تصرفات غريبة بحي التضامن بدمشق، بدو شرطة!",3,POLICE,suspicious
"يا جماعة، ناس مريبين بحي الفردوس بحلب، تعالوا!",6,POLICE,suspicious
"شخص يتصرف بشكل مشبوه بحي القابون بدمشق، بدنا الشرطة!",4,POLICE,suspicious
"يا شباب، شايفين واحد مريب بدير الزور قرب الجسر، ساعدوا!",5,POLICE,suspicious
"في مجموعة مشبوهة بحي الميدان بدمشق، بدو شرطة!",7,POLICE,suspicious
"يا جماعة، تصرفات غريبة بحي القصور بحمص، تعالوا!",3,POLICE,suspicious
"شايفين ناس مريبين بحي الحميدية بدمشق، بدنا الشرطة!",6,POLICE,suspicious
"يا شباب، واحد يتصرف بشكل مشبوه بحي الصالحية بحلب، ساعدوا!",4,POLICE,suspicious
"في تصرفات مريبة بحي الشيخ سعد بدير الزور، بدو شرطة!",5,POLICE,suspicious
"يا جماعة، شخص مريب بالسويداء قرب السوق، تعالوا!",7,POLICE,suspicious
"شايفين واحد يتحرك بغرابة بحي المزة بدمشق، بدنا الشرطة!",3,POLICE,suspicious
"يا شباب، مجموعة مشبوهة باللاذقية قرب السوق، ساعدوا!",6,POLICE,suspicious
"في تصرفات غريبة بحي الخالدية بحمص، بدو شرطة!",4,POLICE,suspicious
"يا جماعة، ناس مريبين بحي التضامن بدمشق، تعالوا!",5,POLICE,suspicious
"شخص يتصرف بشكل مشبوه بحي الفردوس بحلب، بدنا الشرطة!",7,POLICE,suspicious
"يا شباب، شايفين واحد مريب بحي القابون بدمشق، ساعدوا!",3,POLICE,suspicious
"في مجموعة مشبوهة بدير الزور قرب السوق، بدو شرطة!",6,POLICE,suspicious
"يا جماعة، تصرفات غريبة بحي الميدان بدمشق، تعالوا!",4,POLICE,suspicious
"شايفين ناس مريبين بحي القصور بحمص، بدنا الشرطة!",5,POLICE,suspicious
"يا شباب، واحد يتصرف بشكل مشبوه بحي الحميدية بدمشق، ساعدوا!",7,POLICE,suspicious
"في تصرفات مريبة بحي الصالحية بحلب، بدو شرطة!",3,POLICE,suspicious
"يا جماعة، شخص مريب بحي الشيخ سعد بدير الزور، تعالوا!",6,POLICE,suspicious
"شايفين واحد يتحرك بغرابة بالسويداء، بدنا الشرطة!",4,POLICE,suspicious
