text,severity,class,subclass
"يا جماعة، في شب مصاب بحادث سيارة بحي المزة بدمشق، محتاج دم فصيلة O+ بسرعة بمشفى الوطني!",8,CIVIL,blood_donation_req
"مريض بحاجة ماسة لدم فصيلة A- بحلب، الوضع خطير بمشفى الجامعي!",9,CIVIL,blood_donation_req
"طفلة صغيرة بدا دم فصيلة B+ بمشفى الأطفال بحمص، بالله ساعدوا بسرعة!",10,CIVIL,blood_donation_req
"في مريض بحالة حرجة بدير الزور، محتاجين دم AB- فوراً بمشفى الأسد!",9,CIVIL,blood_donation_req
"شاب تعرض لحادث دراجة باللاذقية، بدو دم O- بمشفى التشرين، الوضع عاجل!",8,CIVIL,blood_donation_req
"امرأة حامل بحاجة لدم فصيلة A+ بدمشق، بمشفى المواساة، ساعدوا!",7,CIVIL,blood_donation_req
"في مريض بعملية جراحية بحلب، محتاجين دم B- بسرعة بمشفى الرازي!",9,CIVIL,blood_donation_req
"يا شباب، مريض بالسرطان بحاجة دم O+ بحمص، بمشفى الباسل، الوضع حرج!",10,CIVIL,blood_donation_req
"في مصاب بحادث بالطريق الدولي بدير الزور، بدو دم A- فوراً!",8,CIVIL,blood_donation_req
"طفل محتاج دم AB+ بمشفى الأطفال بدمشق، ساعدوا الوضع خطير!",9,CIVIL,blood_donation_req
"مريض بحاجة دم O- بحلب، بمشفى الكندي، بالله ساعدوا بسرعة!",8,CIVIL,blood_donation_req
"في حالة طارئة بمشفى الشامي بدمشق، محتاجين دم B+ فوراً!",7,CIVIL,blood_donation_req
"شاب مصاب بحادث بالسويداء، بدو دم A+ بمشفى الشهيد، ساعدوا!",8,CIVIL,blood_donation_req
"امرأة بتعمل عملية بدير الزور، محتاجة دم O+ بمشفى الأسد!",9,CIVIL,blood_donation_req
"في طفل مريض بدمشق، بدو دم AB- بمشفى الأطفال، الوضع حرج!",10,CIVIL,blood_donation_req
"مريض بحاجة دم B- بحلب، بمشفى الجامعي، ساعدوا بسرعة!",8,CIVIL,blood_donation_req
"يا جماعة، في مصاب بحادث سيارة بحمص، محتاج دم A- بمشفى الباسل!",9,CIVIL,blood_donation_req
"طفلة بحاجة دم O+ بدمشق، بمشفى المواساة، الوضع عاجل!",7,CIVIL,blood_donation_req
