text,severity,class,subclass
"يا جماعة، في خبر عن انهيار مبنى بحي المزة بدمشق، ممكن توضيح إذا في ضحايا؟",6,CIVIL,clarification
"في ناس عم يحكوا عن تسرب غاز بحي الشيخ مقصود بحلب، شو الوضع؟",7,CIVIL,clarification
"يا شباب، سمعنا عن حادث سير بدير الزور، في تفاصيل عن المصابين؟",6,CIVIL,clarification
"في إشاعة عن فيضان بحي القابون بدمشق، ممكن حدا يأكد؟",5,CIVIL,clarification
"سمعت عن طفل مفقود بحي الخالدية بحمص، في أخبار عنو؟",8,CIVIL,clarification
"يا جماعة، في أنباء عن حريق باللاذقية بحي الصالحية، شو الحقيقة؟",6,CIVIL,clarification
"في ناس عم يحكوا عن انقطاع مياه بحي التضامن بدمشق، ممكن توضيح؟",5,CIVIL,clarification
"سمعنا عن زلزال خفيف بالسويداء، في أضرار أو إصابات؟",7,CIVIL,clarification
"يا شباب، في خبر عن شخص عالق بحي الميدان بدمشق، شو الوضع؟",6,CIVIL,clarification
"في إشاعة عن تسرب مياه بحي الفردوس بحلب، ممكن حدا يوضح؟",5,CIVIL,clarification
"يا جماعة، سمعنا عن عيلة مفقودة بدير الزور، في أي أخبار؟",8,CIVIL,clarification
"في خبر عن انهيار جسر بحي القصور بحمص، ممكن تفاصيل؟",7,CIVIL,clarification
"سمعت عن حادث قطار باللاذقية، في أي معلومات عن الوضع؟",6,CIVIL,clarification
"يا شباب، في أنباء عن تسرب غاز بحي المزة بدمشق، شو الحقيقة؟",7,CIVIL,clarification
"في إشاعة عن فيضان بحي الشيخ سعد بدير الzور، ممكن توضيح؟",5,CIVIL,clarification
"سمعنا عن طفل ضايع بحي الحميدية بدمشق، في أخبار عنو؟",8,CIVIL,clarification
"يا جماعة، في خبر عن حريق بحي الصالحية بحلب، ممكن حدا يأكد؟",6,CIVIL,clarification
"في ناس عم يحكوا عن انقطاع كهربا بحي ال 阳الخالدية بحمص، شو الوضع؟",5,CIVIL,clarification
"سمعت عن انهيار مبنى بالسويداء، في تفاصيل عن الضحايا؟",7,CIVIL,clarification
"يا شباب، في إشاعة عن حادث سير بحي التضامن بدمشق، شو الحقيقة؟",6,CIVIL,clarification
"في خبر عن زلزال خفيف بحي الفردوس بحلب، ممكن توضيح؟",7,CIVIL,clarification
"يا جماعة، سمعنا عن عيلة عالقة بحي القابون بدمشق، في أخبار؟",8,CIVIL,clarification
"في أنباء عن تسرب مياه بحي الميدان بدمشق، شو الوضع؟",5,CIVIL,clarification
"سمعت عن شخص مفقود بدير الزور، في أي معلومات؟",8,CIVIL,clarification
"يا شباب، في خبر عن حريق بحي القصور بحمص، ممكن تفاصيل؟",6,CIVIL,clarification
"في إشاعة عن انقطاع مياه باللاذقية، ممكن حدا يوضح؟",5,CIVIL,clarification
"يا جماعة، سمعنا عن انهيار مبنى بحي الشيخ مقصود بحلب، شو الحقيقة؟",7,CIVIL,clarification
"في خبر عن حادث سير بالسويداء، في أي أخبار عن المصابين؟",6,CIVIL,clarification
"سمعت عن طفل مفقود بحي الصالحية بحلب، في تفاصيل؟",8,CIVIL,clarification
"يا شباب، في أنباء عن تسرب غاز بحي المزة بدمشق، ممكن توضيح؟",7,CIVIL,clarification
"في إشاعة عن فيضان بحي الخالدية بحمص، شو الوضع؟",5,CIVIL,clarification
"يا جماعة، سمعنا عن زلزال خفيف بدير الزور، في أضرار؟",7,CIVIL,clarification
"في خبر عن عيلة مفقودة بحي التضامن بدمشق، في أخبار؟",8,CIVIL,clarification
"سمعت عن حريق بحي الميدان بدمشق، ممكن حدا يأكد؟",6,CIVIL,clarification
"يا شباب، في أنباء عن انقطاع كهربا باللاذقية، شو الحقيقة؟",5,CIVIL,clarification
"في خبر عن انهيار جسر بحي الفردوس بحلب، في تفاصيل؟",7,CIVIL,clarification
"يا جماعة، سمعنا عن شخص عالق بحي القصور بحمص، شو الوضع؟",8,CIVIL,clarification
"في إشاعة عن تسرب مياه بالسويداء، ممكن توضيح؟",5,CIVIL,clarification
"سمعت عن طفل مفقود بحي الشيخ سعد بدير الزور، في أخبار؟",8,CIVIL,clarification
"يا شباب، في خبر عن حريق بحي الحميدية بدمشق، ممكن تفاصيل؟",6,CIVIL,clarification
"في أنباء عن زلزال خفيف بحي الصالحية بحلب، شو الحقيقة؟",7,CIVIL,clarification
"يا جماعة، سمعنا عن حادث سير بحي المزة بدمشق، في تفاصيل؟",6,CIVIL,clarification
"في إشاعة عن انقطاع مياه بحي الخالدية بحمص، ممكن حدا يوضح؟",5,CIVIL,clarification
"سمعت عن عيلة مفقودة بدير الزور، في أي معلومات؟",8,CIVIL,clarification
"يا شباب، في خبر عن تسرب غاز بحي التضامن بدمشق، شو الوضع؟",7,CIVIL,clarification
"في أنباء عن انهيار مبنى باللاذقية، ممكن توضيح؟",6,CIVIL,clarification
"يا جماعة، سمعنا عن طفل ضايع بحي الميدان بدمشق، في أخبار؟",8,CIVIL,clarification
"في خبر عن فيضان بحي الفردوس بحلب، شو الحقيقة؟",5,CIVIL,clarification
"سمعت عن حادث سير بحي القصور بحمص، في تفاصيل؟",6,CIVIL,clarification
"يا شباب، في إشاعة عن تسرب مياه بالسويداء، ممكن حدا يأكد؟",5,CIVIL,clarification
"في أنباء عن زلزال خفيف بدير الزور، في أي أضرار؟",7,CIVIL,clarification
"يا جماعة، سمعنا عن شخص مفقود بحي الشيخ مقصود بحلب، شو الوضع؟",8,CIVIL,clarification
"في خبر عن حريق بحي الحميدية بدمشق، ممكن تفاصيل؟",6,CIVIL,clarification
"سمعت عن انقطاع كهربا بحي الصالحية بحلب، في أخبار؟",5,CIVIL,clarification
"يا شباب، في إشاعة عن انهيار مبنى بحي المزة بدمشق، شو الحقيقة؟",7,CIVIL,clarification
"في خبر عن طفل مفقود بحي الخالدية بحمص، في تفاصيل؟",8,CIVIL,clarification
"يا جماعة، سمعنا عن تسرب غاز بدير الزور، ممكن توضيح؟",7,CIVIL,clarification
"في أنباء عن فيضان بحي التضامن بدمشق، شو الوضع؟",5,CIVIL,clarification
"سمعت عن حادث سير باللاذقية، في أي معلومات؟",6,CIVIL,clarification
"يا شباب، في خبر عن زلزال خفيف بحي الفردوس بحلب، ممكن حدا يأكد؟",7,CIVIL,clarification
"في إشاعة عن عيلة عالقة بحي القابون بدمشق، في أخبار؟",8,CIVIL,clarification
"يا جماعة، سمعنا عن انهيار جسر بالسويداء، شو الحقيقة؟",6,CIVIL,clarification
"في خبر عن تسرب مياه بحي الميدان بدمشق، ممكن تفاصيل؟",5,CIVIL,clarification
"سمعت عن طفل ضايع بحي الشيخ سعد بدير الزور، في أي أخبار؟",8,CIVIL,clarification
"يا شباب، في أنباء عن حريق بحي الحميدية بدمشق، شو الوضع؟",6,CIVIL,clarification
"في إشاعة عن انقطاع كهربا بحي الصالحية بحلب، ممكن توضيح؟",5,CIVIL,clarification
"يا جماعة، سمعنا عن زلزال خفيف بحي المزة بدمشق، في أضرار؟",7,CIVIL,clarification
"في خبر عن شخص مفقود بحي الخالدية بحمص، في تفاصيل؟",8,CIVIL,clarification
"سمعت عن تسرب غاز بدير الزور، ممكن حدا يأكد؟",7,CIVIL,clarification
"يا شباب، في أنباء عن فيضان بحي التضامن بدمشق، شو الحقيقة؟",5,CIVIL,clarification
"في خبر عن حادث سير باللاذقية، ممكن توضيح؟",6,CIVIL,clarification
"يا جماعة، سمعنا عن انهيار مبنى بحي الفردوس بحلب، في أخبار؟",7,CIVIL,clarification
"في إشاعة عن عيلة مفقودة بحي القابون بدمشق، شو الوضع؟",8,CIVIL,clarification
"سمعت عن حريق بحي الشيخ مقصود بحلب، ممكن تفاصيل؟",6,CIVIL,clarification
"يا شباب، في خبر عن انقطاع مياه بالسويداء، في أي معلومات؟",5,CIVIL,clarification
"في أنباء عن زلزال خفيف بدير الزور، ممكن حدا يوضح؟",7,CIVIL,clarification
"يا جماعة، سمعنا عن طفل مفقود بحي الحميدية بدمشق، في أخبار؟",8,CIVIL,clarification
"في خبر عن تسرب غاز بحي الصالحية بحلب، شو الحقيقة؟",6,CIVIL,clarification
"سمعت عن حادث سير بحي المزة بدمشق، ممكن تفاصيل؟",7,CIVIL,clarification
"يا شباب، في إشاعة عن فيضان بحي الخالدية بحمص، في أي أخبار؟",5,CIVIL,clarification
"في خبر عن انهيار مبنى باللاذقية، شو الوضع؟",6,CIVIL,clarification
"يا جماعة، سمعنا عن شخص عالق بدير الزور، ممكن توضيح؟",8,CIVIL,clarification
"في أنباء عن انقطاع كهربا بحي التضامن بدمشق، في تفاصيل؟",5,CIVIL,clarification
"سمعت عن طفل ضايع بحي الفردوس بحلب، في أي معلومات؟",8,CIVIL,clarification
"يا شباب، في خبر عن حريق بالسويداء، ممكن حدا يأكد؟",6,CIVIL,clarification
"في إشاعة عن تسرب مياه بحي القصور بحمص، شو الحقيقة؟",5,CIVIL,clarification
"يا جماعة، سمعنا عن زلزال خفيف بحي الميدان بدمشق، في أضرار؟",7,CIVIL,clarification
"في خبر عن عيلة مفقودة بحي الشيخ مقصود بحلب، في أخبار؟",8,CIVIL,clarification
"سمعت عن حادث سير بدير الزور، ممكن تفاصيل؟",6,CIVIL,clarification
"يا شباب، في أنباء عن تسرب غاز باللاذقية، شو الوضع؟",7,CIVIL,clarification
"في إشاعة عن انهيار جسر بحي الحميدية بدمشق، ممكن توضيح؟",5,CIVIL,clarification
"يا جماعة، سمعنا عن طفل مفقود بحي الصالحية بحلب، في تفاصيل؟",8,CIVIL,clarification
"في خبر عن فيضان بحي المزة بدمشق، شو الحقيقة؟",6,CIVIL,clarification
"سمعت عن انقطاع مياه بحي الخالدية بحمص، ممكن حدا يوضح؟",5,CIVIL,clarification
"يا شباب، في أنباء عن زلزال خفيف بالسويداء، في أي أخبار؟",7,CIVIL,clarification
"في خبر عن شخص عالق بحي التضامن بدمشق، ممكن تفاصيل؟",8,CIVIL,clarification
"يا جماعة، سمعنا عن حريق بدير الزور، شو الوضع؟",6,CIVIL,clarification
"في إشاعة عن انهيار مبنى بحي الفردوس بحلب، ممكن توضيح؟",7,CIVIL,clarification
"سمعت عن عيلة مفقودة بحي القابون بدمشق، في أي معلومات؟",8,CIVIL,clarification
