text,severity,class,subclass
"يا جماعة، في اعتداء بالسكين بحي المزة بدمشق، بدنا الشرطة فوري!",9,POLICE,violent_crime
"شباب، واحد يهدد ناس بسلاح بحي الشيخ مقصود بحلب، تعالوا بسرعة!",8,POLICE,violent_crime
"يا شرطة، صار ضرب خطير قرب سوق القابون بدمشق، في إصابات!",7,POLICE,violent_crime
"في تهديد بالقتل بدير الزور قرب الجسر، بدو شرطة عاجل!",10,POLICE,violent_crime
"يا جماعة، شخص هاجم ناس بحي الخالدية بحمص، الوضع خطر!",8,POLICE,violent_crime
"واحد يهدد بسلاح نار باللاذقية قرب الكورنيش، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، اعتداء عنيف بحي التضامن بدمشق، جيبو الشرطة!",7,POLICE,violent_crime
"صار ضرب شديد بالسويداء قرب السوق، بدو شرطة حالا!",10,POLICE,violent_crime
"يا جماعة، في اعتداء خطير بحي الميدان بدمشق، ساعدوا!",8,POLICE,violent_crime
"شخص يهدد ناس بحي الصالحية بحلب، بدنا الشرطة فوري!",9,POLICE,violent_crime
"يا شباب، صار ضرب كتير خطير قرب مبنى بدير الزور، تعالوا!",7,POLICE,violent_crime
"في تهديد بسلاح بحي القصور بحمص، بدو شرطة عاجل!",10,POLICE,violent_crime
"يا جماعة، اعتداء جسدي بحي الحميدية بدمشق، ساعدوا!",8,POLICE,violent_crime
"واحد يهاجم ناس بسكين بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في ضرب عنيف بحي الشيخ سعد بدير الزور، ساعدوا!",7,POLICE,violent_crime
"صار اعتداء خطير بحي المزة بدمشق، بدو شرطة فوري!",10,POLICE,violent_crime
"يا جماعة، شخص يهدد بالقتل قرب سوق اللاذقية، تعالوا!",8,POLICE,violent_crime
"في ضرب شديد بحي الخالدية بحمص، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، اعتداء عنيف بحي التضامن بدمشق، ساعدوا!",7,POLICE,violent_crime
"واحد هاجم ناس بحي الفردوس بحلب، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار تهديد بسلاح قرب مبنى بحي القابون بدمشق، بسرعة!",8,POLICE,violent_crime
"شخص يهدد ناس بدير الزور قرب السوق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في ضرب خطير بحي الميدان بدمشق، تعالوا!",7,POLICE,violent_crime
"اعتداء عنيف بحي القصور بحمص، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار ضرب شديد بحي الحميدية بدمشق، ساعدوا!",8,POLICE,violent_crime
"واحد يهدد بسلاح بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في اعتداء خطير بحي الشيخ سعد بدير الزور، ساعدوا!",7,POLICE,violent_crime
"صار تهديد بالقتل بالسويداء قرب السوق، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، في ضرب عنيف بحي المزة بدمشق، تعالوا!",8,POLICE,violent_crime
"شخص هاجم ناس باللاذقية قرب الكورنيش، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، صار اعتداء بسكين بحي الخالدية بحمص، ساعدوا!",7,POLICE,violent_crime
"في تهديد خطير بحي التضامن بدمشق، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، واحد ضرب ناس بحي الفردوس بحلب، تعالوا!",8,POLICE,violent_crime
"شخص يهدد بسلاح بحي القابون بدمشق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في اعتداء عنيف بدير الزور قرب الجسر، ساعدوا!",7,POLICE,violent_crime
"صار ضرب شديد بحي الميدان بدمشق، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، في تهديد بالسكين بحي القصور بحمص، تعالوا!",8,POLICE,violent_crime
"شخص هاجم ناس بحي الحميدية بدمشق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، صار اعتداء خطير بحي الصالحية بحلب، ساعدوا!",7,POLICE,violent_crime
"في ضرب عنيف بحي الشيخ سعد بدير الزور، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار تهديد بسلاح بالسويداء، تعالوا!",8,POLICE,violent_crime
"شخص يهدد ناس بحي المزة بدمشق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في اعتداء بالسكين باللاذقية قرب السوق، ساعدوا!",7,POLICE,violent_crime
"صار ضرب شديد بحي الخالدية بحمص، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، في اعتداء خطير بحي التضامن بدمشق، تعالوا!",8,POLICE,violent_crime
"شخص هاجم ناس بحي الفردوس بحلب، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، صار تهديد بسلاح بحي القابون بدمشق، ساعدوا!",7,POLICE,violent_crime
"في ضرب عنيف بدير الزور قرب السوق، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار اعتداء خطير بحي الميدان بدمشق، تعالوا!",8,POLICE,violent_crime
"شخص يهدد ناس بحي القصور بحمص، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في ضرب شديد بحي الحميدية بدمشق، ساعدوا!",7,POLICE,violent_crime
"اعتداء بالسكين بحي الصالحية بحلب، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار تهديد خطير بحي الشيخ سعد بدير الزور، تعالوا!",8,POLICE,violent_crime
"شخص هاجم ناس بالسويداء قرب السوق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في اعتداء عنيف بحي المزة بدمشق، ساعدوا!",7,POLICE,violent_crime
"في ضرب شديد باللاذقية قرب الكورنيش، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار تهديد بسلاح بحي الخالدية بحمص، تعالوا!",8,POLICE,violent_crime
"شخص هاجم ناس بحي التضامن بدمشق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في اعتداء خطير بحي الفردوس بحلب، ساعدوا!",7,POLICE,violent_crime
"صار ضرب عنيف بحي القابون بدمشق، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، في تهديد بالسكين بدير الزور قرب الجسر، تعالوا!",8,POLICE,violent_crime
"شخص يهدد ناس بحي الميدان بدمشق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، صار اعتداء عنيف بحي القصور بحمص، ساعدوا!",7,POLICE,violent_crime
"في ضرب شديد بحي الحميدية بدمشق، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار تهديد بسلاح بحي الصالحية بحلب، تعالوا!",8,POLICE,violent_crime
"شخص هاجم ناس بحي الشيخ سعد بدير الزور، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في اعتداء خطير بالسويداء، ساعدوا!",7,POLICE,violent_crime
"صار ضرب عنيف بحي المزة بدمشق، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، في تهديد بالسكين باللاذقية قرب السوق، تعالوا!",8,POLICE,violent_crime
"شخص يهدد ناس بحي الخالدية بحمص، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، صار اعتداء عنيف بحي التضامن بدمشق، ساعدوا!",7,POLICE,violent_crime
"في ضرب شديد بحي الفردوس بحلب، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار تهديد بسلاح بحي القابون بدمشق، تعالوا!",8,POLICE,violent_crime
"شخص هاجم ناس بدير الزور قرب السوق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في اعتداء خطير بحي الميدان بدمشق، ساعدوا!",7,POLICE,violent_crime
"صار ضرب عنيف بحي القصور بحمص، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، في تهديد بالسكين بحي الحميدية بدمشق، تعالوا!",8,POLICE,violent_crime
"شخص يهدد ناس بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، صار اعتداء عنيف بحي الشيخ سعد بدير الزور، ساعدوا!",7,POLICE,violent_crime
"في ضرب شديد بالسويداء قرب السوق، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار تهديد بسلاح بحي المزة بدمشق، تعالوا!",8,POLICE,violent_crime
"شخص هاجم ناس باللاذقية قرب الكورنيش، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في اعتداء خطير بحي الخالدية بحمص، ساعدوا!",7,POLICE,violent_crime
"صار ضرب عنيف بحي التضامن بدمشق، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، في تهديد بالسكين بحي الفردوس بحلب، تعالوا!",8,POLICE,violent_crime
"شخص يهدد ناس بحي القابون بدمشق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، صار اعتداء عنيف بدير الزور قرب الجسر، ساعدوا!",7,POLICE,violent_crime
"في ضرب شديد بحي الميدان بدمشق، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار تهديد بسلاح بحي القصور بحمص، تعالوا!",8,POLICE,violent_crime
"شخص هاجم ناس بحي الحميدية بدمشق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، في اعتداء خطير بحي الصالحية بحلب، ساعدوا!",7,POLICE,violent_crime
"صار ضرب عنيف بحي الشيخ سعد بدير الزور، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، في تهديد بالسكين بالسويداء، تعالوا!",8,POLICE,violent_crime
"شخص يهدد ناس بحي المزة بدمشق، بدنا الشرطة!",9,POLICE,violent_crime
"يا شباب، صار اعتداء عنيف باللاذقية قرب السوق، ساعدوا!",7,POLICE,violent_crime
"في ضرب شديد بحي الخالدية بحمص، بدو شرطة!",10,POLICE,violent_crime
"يا جماعة، صار تهديد بسلاح بحي التضامن بدمشق، تعالوا!",8,POLICE,violent_crime
"شخص هاجم ناس بحي الفردوس بحلب، بدنا الشرطة!",9,POLICE,violent_crime
