text,severity,class,subclass
"يا جماعة، شخص فاقد الوعي بحي المزة بدمشق، بدو إسعاف فوري!",9,MEDICAL,unconscious
"في واحد أغمي عليه بحي الشيخ مقصود بحلب، بسرعة!",8,MEDICAL,unconscious
"يا شباب، شخص فاقد الوعي بحي القابون بدمشق، ساعدوا!",10,MEDICAL,unconscious
"شخص أغمي عليه بدير الزور قرب السوق، بدو إسعاف عاجل!",9,MEDICAL,unconscious
"يا جماعة، واحد فاقد الوعي بحي الخالدية بحمص، بسرعة!",8,MEDICAL,unconscious
"شخص أغمي عليه باللاذقية قرب الكورنيش، بدو إسعاف!",9,MEDICAL,unconscious
"في واحد فاقد الوعي بحي التضامن بدمشق، ساعدوا!",10,MEDICAL,unconscious
"يا شباب، شخص أغمي عليه بالسويداء، بدو إسعاف فوري!",8,MEDICAL,unconscious
"شخص فاقد الوعي بحي الميدان بدمشق، بسرعة!",9,MEDICAL,unconscious
"يا جماعة، واحد أغمي عليه بحي الصالحية بحلب، ساعدوا!",8,MEDICAL,unconscious
"في شخص فاقد الوعي بدير الزور، بدو إسعاف عاجل!",10,MEDICAL,unconscious
"يا شباب، واحد أغمي عليه بحي القصور بحمص، بسرعة!",9,MEDICAL,unconscious
"شخص فاقد الوعي بحي الحميدية بدمشق، بدنا إسعاف!",8,MEDICAL,unconscious
"يا جماعة، واحد أغمي عليه بحي الصالحية بحلب، ساعدوا!",9,MEDICAL,unconscious
"في شخص فاقد الوعي بحي الشيخ سعد بدير الزور، بدو إسعاف!",10,MEDICAL,unconscious
"شخص أغمي عليه بحي المزة بدمشق، بسرعة!",9,MEDICAL,unconscious
"يا شباب، واحد فاقد الوعي باللاذقية قرب السوق، ساعدوا!",8,MEDICAL,unconscious
"في واحد أغمي عليه بحي الخالدية بحمص، بدو إسعاف!",9,MEDICAL,unconscious
"يا جماعة، شخص فاقد الوعي بالسويداء، بسرعة!",8,MEDICAL,unconscious
"شخص أغمي عليه بحي التضامن بدمشق، بدو إسعاف فوري!",10,MEDICAL,unconscious
"يا شباب، واحد فاقد الوعي بحي الفردوس بحلب، ساعدوا!",9,MEDICAL,unconscious
"في شخص أغمي عليه بحي القابون بدمشق، بدنا إسعاف!",8,MEDICAL,unconscious
"شخص فاقد الوعي بدير الزور قرب الجسر، بسرعة!",10,MEDICAL,unconscious
"يا جماعة، واحد أغمي عليه بحي الميدان بدمشق، ساعدوا!",9,MEDICAL,unconscious
"في واحد فاقد الوعي بحي القصور بحمص، بدو إسعاف!",8,MEDICAL,unconscious
"يا شباب، شخص أغمي عليه بحي الحميدية بدمشق، بسرعة!",9,MEDICAL,unconscious
"شخص فاقد الوعي بحي الصالحية بحلب، بدو إسعاف!",10,MEDICAL,unconscious
