text,severity,class,subclass
"يا جماعة، في خطف شخص بحي المزة بدمشق، بدنا الشرطة فوري!",10,POLICE,kidnapping
"شباب، اختطفو واحد بحي الشيخ مقصود بحلب، تعالوا بسرعة!",9,POLICE,kidnapping
"يا شرطة، خطفو بنت قرب السوق بحي القابون بدمشق، ساعدوا!",10,POLICE,kidnapping
"في خطف شخص بدير الزور قرب الجسر، بدو شرطة عاجل!",8,POLICE,kidnapping
"يا جماعة، اختطفو رجال بحي الخالدية بحمص، بسرعة!",9,POLICE,kidnapping
"خطفو طفل باللاذقية قرب الكورنيش، بدنا الشرطة!",10,POLICE,kidnapping
"يا شباب، في خطف بحي التضامن بدمشق، تعالوا فوري!",8,POLICE,kidnapping
"اختطفو شخص بالسويداء قرب السوق، بدو شرطة بسرعة!",9,POLICE,kidnapping
"يا جماعة، خطفو واحد بحي الميدان بدمشق، ساعدوا!",10,POLICE,kidnapping
"في خطف بنت بحي الصالحية بحلب، بدنا الشرطة!",8,POLICE,kidnapping
"يا شباب، اختطفو شخص قرب مبنى بدير الزور، تعالوا بسرعة!",9,POLICE,kidnapping
"خطفو رجال بحي القصور بحمص، بدو شرطة عاجل!",10,POLICE,kidnapping
"يا جماعة، في خطف بحي الحميدية بدمشق، بسرعة!",8,POLICE,kidnapping
"اختطفو طفل بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,kidnapping
"يا شباب، خطفو بنت بحي الشيخ سعد بدير الزور، ساعدوا!",10,POLICE,kidnapping
"في خطف شخص بحي المزة بدمشق، بدو شرطة فوري!",8,POLICE,kidnapping
"يا جماعة، اختطفو رجال قرب السوق باللاذقية، تعالوا بسرعة!",9,POLICE,kidnapping
"خطفو طفل بحي الخالدية بحمص، بدنا الشرطة!",10,POLICE,kidnapping
"يا شباب، في خطف بحي التضامن بدمشق، ساعدوا!",8,POLICE,kidnapping
"اختطفو بنت بحي الفردوس بحلب، بدو شرطة فوري!",9,POLICE,kidnapping
"يا جماعة، خطفو شخص قرب مبنى بحي القابون بدمشق، بسرعة!",10,POLICE,kidnapping
"في خطف رجال بدير الزور قرب السوق، بدنا الشرطة!",8,POLICE,kidnapping
"يا شباب، اختطفو بنت بحي الميدان بدمشق، تعالوا فوري!",9,POLICE,kidnapping
"خطفو طفل بحي القصور بحمص، بدو شرطة بسرعة!",10,POLICE,kidnapping
"يا جماعة، في خطف بحي الحميدية بدمشق، ساعدوا!",8,POLICE,kidnapping
"اختطفو شخص بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,kidnapping
"يا شباب، خطفو رجال بحي الشيخ سعد بدير الزور، بسرعة!",10,POLICE,kidnapping
"في خطف بنت بالسويداء، بدو شرطة عاجل!",8,POLICE,kidnapping
"يا جماعة، اختطفو طفل بحي المزة بدمشق، تعالوا بسرعة!",9,POLICE,kidnapping
"خطفو شخص باللاذقية قرب الكورنيش، بدنا الشرطة!",10,POLICE,kidnapping
"يا شباب، في خطف بحي الخالدية بحمص، ساعدوا!",8,POLICE,kidnapping
"اختطفو بنت بحي التضامن بدمشق، بدو شرطة فوري!",9,POLICE,kidnapping
"يا جماعة، خطفو رجال بحي الفردوس بحلب، تعالوا بسرعة!",10,POLICE,kidnapping
"في خطف شخص بحي القابون بدمشق، بدنا الشرطة!",8,POLICE,kidnapping
"يا شباب، اختطفو طفل بدير الزور قرب الجسر، ساعدوا!",9,POLICE,kidnapping
"خطفو بنت بحي الميدان بدمشق، بدو شرطة فوري!",10,POLICE,kidnapping
"يا جماعة، في خطف بحي القصور بحمص، تعالوا بسرعة!",8,POLICE,kidnapping
"اختطفو رجال بحي الحميدية بدمشق، بدنا الشرطة!",9,POLICE,kidnapping
"يا شباب، خطفو طفل بحي الصالحية بحلب، ساعدوا!",10,POLICE,kidnapping
"في خطف بنت بحي الشيخ سعد بدير الزور، بدو شرطة فوري!",8,POLICE,kidnapping
"يا جماعة، اختطفو شخص بالسويداء، تعالوا بسرعة!",9,POLICE,kidnapping
"خطفو رجال بحي المزة بدمشق، بدو شرطة عاجل!",10,POLICE,kidnapping
"يا شباب، في خطف باللاذقية قرب السوق، ساعدوا!",8,POLICE,kidnapping
"اختطفو بنت بحي الخالدية بحمص، بدنا الشرطة!",9,POLICE,kidnapping
"يا جماعة، خطفو طفل بحي التضامن بدمشق، تعالوا بسرعة!",10,POLICE,kidnapping
"في خطف رجال بحي الفردوس بحلب، بدو شرطة فوري!",8,POLICE,kidnapping
"يا شباب، اختطفو شخص بحي القابون بدمشق، ساعدوا!",9,POLICE,kidnapping
"خطفو بنت بدير الزور قرب السوق، بدنا الشرطة!",10,POLICE,kidnapping
"يا جماعة، في خطف بحي الميدان بدمشق، تعالوا بسرعة!",8,POLICE,kidnapping
"اختطفو طفل بحي القصور بحمص، بدو شرطة فوري!",9,POLICE,kidnapping
"يا شباب، خطفو رجال بحي الحميدية بدمشق، ساعدوا!",10,POLICE,kidnapping
"في خطف بنت بحي الصالحية بحلب، بدنا الشرطة!",8,POLICE,kidnapping
"يا جماعة، اختطفو شخص بحي الشيخ سعد بدير الزور، تعالوا بسرعة!",9,POLICE,kidnapping
"خطفو طفل بالسويداء، بدو شرطة عاجل!",10,POLICE,kidnapping
"يا شباب، في خطف بحي المزة بدمشق، ساعدوا!",8,POLICE,kidnapping
"اختطفو بنت باللاذقية قرب الكورنيش، بدنا الشرطة!",9,POLICE,kidnapping
"يا جماعة، خطفو رجال بحي الخالدية بحمص، تعالوا بسرعة!",10,POLICE,kidnapping
"في خطف طفل بحي التضامن بدمشق، بدو شرطة فوري!",8,POLICE,kidnapping
"يا شباب، اختطفو شخص بحي الفردوس بحلب، ساعدوا!",9,POLICE,kidnapping
"خطفو بنت بحي القابون بدمشق، بدنا الشرطة!",10,POLICE,kidnapping
"يا جماعة، في خطف بدير الزور قرب الجسر، تعالوا بسرعة!",8,POLICE,kidnapping
