text,severity,class,subclass
"يا جماعة، شخص توقف قلبه بحي المزة بدمشق، بدو إسعاف فوري!",10,MEDICAL,cardiac_arrest
"شخص فاقد الوعي بحي الشيخ مقصود بحلب، شكلو توقف قلبي!",9,MEDICAL,cardiac_arrest
"يا شباب، في حالة توقف قلبي بحي القابون بدمشق، بسرعة!",10,MEDICAL,cardiac_arrest
"شخص سقط فجأة بدير الزور قرب السوق، بدو إسعاف عاجل!",9,MEDICAL,cardiac_arrest
"يا جماعة، توقف قلبي بحي الخالدية بحمص، ساعدوا فوري!",10,MEDICAL,cardiac_arrest
"شخص فاقد الوعي باللاذقية قرب الكورنيش، شكلو توقف قلبي!",9,MEDICAL,cardiac_arrest
"في حالة توقف قلبي بحي التضامن بدمشق، بدنا إسعاف!",10,MEDICAL,cardiac_arrest
"يا شباب، شخص توقف قلبه بالسويداء، بسرعة!",9,MEDICAL,cardiac_arrest
"شخص سقط فجأة بحي الميدان بدمشق، شكلو توقف قلبي!",10,MEDICAL,cardiac_arrest
"يا جماعة، في حالة توقف قلبي بحي الصالحية بحلب، ساعدوا!",9,MEDICAL,cardiac_arrest
"شخص فاقد الوعي بدير الزور، بدو إسعاف فوري لتوقف قلبي!",10,MEDICAL,cardiac_arrest
"يا شباب، توقف قلبي بحي القصور بحمص، بسرعة!",9,MEDICAL,cardiac_arrest
"في حالة توقف قلبي بحي الحميدية بدمشق، بدنا إسعاف!",10,MEDICAL,cardiac_arrest
"شخص سقط فجأة بحي الصالحية بحلب، شكلو توقف قلبي!",9,MEDICAL,cardiac_arrest
"يا جماعة، شخص توقف قلبه بحي الشيخ سعد بدير الزور، ساعدوا!",10,MEDICAL,cardiac_arrest
"شخص فاقد الوعي بحي المزة بدمشق، بدو إسعاف لتوقف قلبي!",9,MEDICAL,cardiac_arrest
"يا شباب، في حالة توقف قلبي باللاذقية قرب السوق، بسرعة!",10,MEDICAL,cardiac_arrest
"شخص سقط فجأة بحي الخالدية بحمص، شكلو توقف قلبي!",9,MEDICAL,cardiac_arrest
"يا جماعة، توقف قلبي بحي التضامن بدمشق، بدنا إسعاف فوري!",10,MEDICAL,cardiac_arrest
"شخص فاقد الوعي بحي الفردوس بحلب، بدو إسعاف لتوقف قلبي!",9,MEDICAL,cardiac_arrest
"في حالة توقف قلبي بحي القابون بدمشق، ساعدوا بسرعة!",10,MEDICAL,cardiac_arrest
"يا شباب، شخص توقف قلبه بدير الزور قرب الجسر، بدو إسعاف!",9,MEDICAL,cardiac_arrest
"شخص سقط فجأة بحي الميدان بدمشق، شكلو توقف قلبي!",10,MEDICAL,cardiac_arrest
"يا جماعة، توقف قلبي بحي القصور بحمص، بدنا إسعاف!",9,MEDICAL,cardiac_arrest
"في حالة توقف قلبي بحي الحميدية بدمشق، بسرعة!",10,MEDICAL,cardiac_arrest
"شخص فاقد الوعي بحي الصالحية بحلب، شكلو توقف قلبي!",9,MEDICAL,cardiac_arrest
"يا شباب، شخص توقف قلبه بحي الشيخ سعد بدير الزور، ساعدوا!",10,MEDICAL,cardiac_arrest
"شخص سقط فجأة بالسويداء، بدو إسعاف لتوقف قلبي!",9,MEDICAL,cardiac_arrest
"يا جماعة، في حالة توقف قلبي بحي المزة بدمشق، بسرعة!",10,MEDICAL,cardiac_arrest
"شخص فاقد الوعي باللاذقية، شكلو توقف قلبي!",9,MEDICAL,cardiac_arrest
"يا شباب، توقف قلبي بحي الخالدية بحمص، بدنا إسعاف!",10,MEDICAL,cardiac_arrest
"في حالة توقف قلبي بحي التضامن بدمشق، ساعدوا فوري!",9,MEDICAL,cardiac_arrest
"شخص سقط فجأة بحي الفردوس بحلب، بدو إسعاف لتوقف قلبي!",10,MEDICAL,cardiac_arrest
"يا جماعة، شخص توقف قلبه بحي القابون بدمشق، بسرعة!",9,MEDICAL,cardiac_arrest
"شخص فاقد الوعي بدير الزور، شكلو توقف قلبي!",10,MEDICAL,cardiac_arrest
"يا شباب، في حالة توقف قلبي بحي الميدان بدمشق، ساعدوا!",9,MEDICAL,cardiac_arrest
"شخص توقف قلبه بحي القصور بحمص، بدو إسعاف فوري!",10,MEDICAL,cardiac_arrest
"يا جماعة، شخص فاقد الوعي بحي الحميدية بدمشق، شكلو توقف قلبي!",9,MEDICAL,cardiac_arrest
"في حالة توقف قلبي بحي الصالحية بحلب، بدنا إسعاف!",10,MEDICAL,cardiac_arrest
"شخص سقط فجأة بحي الشيخ سعد بدير الزور، بدو إسعاف!",9,MEDICAL,cardiac_arrest
"يا شباب، توقف قلبي بالسويداء، ساعدوا بسرعة!",10,MEDICAL,cardiac_arrest
"شخص فاقد الوعي بحي المزة بدمشق، بدو إسعاف لتوقف قلبي!",9,MEDICAL,cardiac_arrest
"يا جماعة، في حالة توقف قلبي باللاذقية قرب الكورنيش، بسرعة!",10,MEDICAL,cardiac_arrest
