text,severity,class,subclass
"يا جماعة، في عيلة محاصرة ببيت بحي المزة بدمشق بسبب انهيار جدار، بدنا مساعدة فوراً!",9,CIVIL,calling_upon
"في فيضان بحي البرامكة بحلب، الناس عالقة، بدنا فرق إنقاذ بسرعة!",8,CIVIL,calling_upon
"طفل ضايع بحي الميدان بدمشق، أهلو خايفين، بدنا مساعدة مدنية!",7,CIVIL,calling_upon
"يا شباب، في انهيار مبنى قديم بحمص بحي الخالدية، بدنا فرق طوارئ!",10,CIVIL,calling_upon
"في عيلة عالقة بسبب حريق صغير باللاذقية، بدنا مساعدة فوراً!",8,CIVIL,calling_upon
"سيارة انقلبت بالطريق الدولي بدير الزور، الركاب محتاجين إنقاذ بسرعة!",9,CIVIL,calling_upon
"في تسرب مياه كبير بحي التضامن بدمشق، البيوت غرقانة، بدنا مساعدة!",7,CIVIL,calling_upon
"يا جماعة، في أطفال محاصرين بمدرسة بحلب بسبب زلزال خفيف، بدنا إنقاذ!",10,CIVIL,calling_upon
"مبنى قديم مهدد بالانهيار بالسويداء، الناس خايفة، بدنا فرق مدنية!",8,CIVIL,calling_upon
"في عيلة عالقة بمصعد بحي القصور بحمص، بدنا مساعدة فوراً!",7,CIVIL,calling_upon
"حادث سير كبير بحي المزة بدمشق، في مصابين محتاجين إنقاذ!",9,CIVIL,calling_upon
"يا شباب، فيضان صغير بحي المالكي بحلب، بدنا فرق مدنية بسرعة!",8,CIVIL,calling_upon
"في شخص عالق بحفرة بناء بدير الزور، بدو إنقاذ فوري!",9,CIVIL,calling_upon
"مبنى قديم انهار جزئياً بحي الشيخ مقصود بحلب، بدنا مساعدة!",10,CIVIL,calling_upon
"في عيلة محاصرة ببيت بحي القابون بدمشق بسبب تسرب غاز، بدنا إنقاذ!",8,CIVIL,calling_upon
"يا جماعة، في أطفال ضايعين بحديقة بحمص، أهلهم عم يدوروا عليهم!",7,CIVIL,calling_upon
"حادث قطار خفيف باللاذقية، في ركاب عالقين، بدنا فرق إنقاذ!",9,CIVIL,calling_upon
"في تسرب مياه غمر شوارع بحي الجورة بدير الزور، بدنا مساعدة مدنية!",8,CIVIL,calling_upon
"مبنى مهدد بالانهيار بحي الحميدية بدمشق، بدنا فرق طوارئ!",9,CIVIL,calling_upon
"يا شباب، في شخص سقط من شرفة بالسويداء، محتاج إنقاذ فوري!",8,CIVIL,calling_upon
"في عيلة عالقة بسبب حريق بحي الصالحية بحلب، بدنا مساعدة!",9,CIVIL,calling_upon
"حادث سير خطير بالطريق الدولي بحمص، في مصابين بدنا إنقاذ!",10,CIVIL,calling_upon
"يا جماعة، فيضان صغير بحي الميدان بدمشق، الناس محتاجة مساعدة!",7,CIVIL,calling_upon
"في شخص عالق بحطام مبنى بدير الزور، بدنا فرق إنقاذ فوراً!",9,CIVIL,calling_upon
"مبنى قديم انهار جزئياً بحي العدوي بدمشق، بدنا مساعدة مدنية!",8,CIVIL,calling_upon
"طفلة سقطت ببير مياه بحلب، بدنا إنقاذ بسرعة!",10,CIVIL,calling_upon
"يا شباب، في عيلة محاصرة ببيت باللاذقية بسبب تسرب غاز!",8,CIVIL,calling_upon
"حادث سير كبير بحي القصور بحمص، بدنا فرق إنقاذ!",9,CIVIL,calling_upon
"في تسرب مياه غمر شارع بحي الشيخ سعد بدير الزور، بدنا مساعدة!",7,CIVIL,calling_upon
"مبنى مهدد بالسقوط بحي المزة بدمشق، الناس خايفة، بدنا فرق!",8,CIVIL,calling_upon
"يا جماعة، في شخص عالق بمصعد بالسويداء، بدو إنقاذ فوري!",7,CIVIL,calling_upon
"فيضان صغير بحي الفردوس بحلب، الناس محتاجة مساعدة مدنية!",9,CIVIL,calling_upon
"حادث سير خطير بالطريق الدولي بدمشق، في مصابين بدنا إنقاذ!",8,CIVIL,calling_upon
"طفل ضايع بحي الحميدية بحمص، أهلو عم يدوروا عليه، بدنا مساعدة!",7,CIVIL,calling_upon
"يا شباب، مبنى قديم مهدد بالانهيار بدير الزور، بدنا فرق إنقاذ!",9,CIVIL,calling_upon
"في عيلة عالقة بسبب حريق بحي التضامن بدمشق، بدنا مساعدة!",8,CIVIL,calling_upon
"زلزال خفيف بحي الشيخ مقصود بحلب، في ناس محاصرين!",10,CIVIL,calling_upon
"يا جماعة، في شخص سقط بحفرة بناء باللاذقية، بدو إنقاذ!",9,CIVIL,calling_upon
"تسرب مياه كبير بحي القابون بدمشق، البيوت غرقانة!",7,CIVIL,calling_upon
"مبنى انهار جزئياً بحي الخالدية بحمص، بدنا فرق طوارئ!",8,CIVIL,calling_upon
"في عيلة محاصرة بسبب تسرب غاز بالسويداء، بدنا إنقاذ فوري!",9,CIVIL,calling_upon
"حادث سير كبير بحي المزة بدمشق، في مصابين محتاجين مساعدة!",8,CIVIL,calling_upon
"يا شباب، فيضان بحي الصالحية بحلب، الناس عالقة!",7,CIVIL,calling_upon
"طفلة سقطت ببير مياه بدير الزور، بدنا إنقاذ بسرعة!",9,CIVIL,calling_upon
"مبنى مهدد بالانهيار بحي الميدان بدمشق، بدنا فرق مدنية!",8,CIVIL,calling_upon
"يا جماعة، في شخص عالق بمصعد بحي القصور بحمص!",7,CIVIL,calling_upon
"في عيلة عالقة بسبب حريق باللاذقية، بدنا مساعدة فوراً!",9,CIVIL,calling_upon
"حادث سير خطير بالطريق الدولي بدير الزور، بدنا إنقاذ!",8,CIVIL,calling_upon
"تسرب مياه غمر شوارع بحي الفردوس بحلب، بدنا مساعدة!",7,CIVIL,calling_upon
"مبنى قديم انهار جزئياً بحي الحميدية بدمشق، بدنا فرق!",9,CIVIL,calling_upon
"يا شباب، في شخص سقط من شرفة بالسويداء، بدو إنقاذ فوري!",8,CIVIL,calling_upon
"زلزال خفيف بحي الشيخ سعد بدير الزور، في ناس محتاجين مساعدة!",10,CIVIL,calling_upon
"في عيلة محاصرة ببيت بحي المزة بدمشق بسبب تسرب غاز!",9,CIVIL,calling_upon
"حادث سير كبير بحي الخالدية بحمص، بدنا فرق إنقاذ!",8,CIVIL,calling_upon
"يا جماعة، فيضان صغير بحي الصالحية بحلب، الناس عالقة!",7,CIVIL,calling_upon
"طفل ضايع بحي القابون بدمشق، أهلو خايفين، بدنا مساعدة!",9,CIVIL,calling_upon
"مبنى مهدد بالانهيار باللاذقية، بدنا فرق طوارئ!",8,CIVIL,calling_upon
"يا شباب، في شخص عالق بحطام مبنى بدير الزور، بدو إنقاذ!",9,CIVIL,calling_upon
"في عيلة عالقة بسبب حريق بحي التضامن بدمشق، بدنا مساعدة!",7,CIVIL,calling_upon
"حادث سير خطير بالسويداء، في مصابين محتاجين إنقاذ!",8,CIVIL,calling_upon
"تسرب مياه كبير بحي الميدان بدمشق، البيوت غرقانة!",9,CIVIL,calling_upon
"يا جماعة، مبنى قديم انهار جزئياً بحي الفردوس بحلب!",8,CIVIL,calling_upon
"طفلة سقطت ببير مياه بحمص، بدنا إنقاذ بسرعة!",10,CIVIL,calling_upon
"في شخص عالق بمصعد بحي الحميدية بدمشق، بدو مساعدة!",7,CIVIL,calling_upon
"زلزال خفيف باللاذقية، في ناس محاصرين بدنا إنقاذ!",9,CIVIL,calling_upon
"يا شباب، فيضان بحي الشيخ مقصود بحلب، الناس محتاجة مساعدة!",8,CIVIL,calling_upon
"حادث سير كبير بدير الزور، في مصابين بدنا فرق إنقاذ!",7,CIVIL,calling_upon
"مبنى مهدد بالانهيار بحي القصور بحمص، بدنا فرق مدنية!",9,CIVIL,calling_upon
"في عيلة عالقة بسبب تسرب غاز بالسويداء، بدنا إنقاذ!",8,CIVIL,calling_upon
"طفل ضايع بحي المزة بدمشق، أهلو عم يدوروا عليه!",7,CIVIL,calling_upon
"يا جماعة، في شخص سقط بحفرة بناء بحلب، بدو إنقاذ فوري!",9,CIVIL,calling_upon
"فيضان صغير بحي الخالدية بحمص، الناس عالقة!",8,CIVIL,calling_upon
"مبنى قديم انهار جزئياً بدير الزور، بدنا فرق طوارئ!",9,CIVIL,calling_upon
"حادث سير خطير بحي التضامن بدمشق، في مصابين بدنا إنقاذ!",7,CIVIL,calling_upon
"يا شباب، في عيلة محاصرة بسبب حريق باللاذقية!",8,CIVIL,calling_upon
"تسرب مياه غمر شوارع بحي الصالحية بحلب، بدنا مساعدة!",9,CIVIL,calling_upon
