text,severity,class,subclass
"يا جماعة، صار تصادم كبير بحي المزة بدمشق، بدنا الشرطة فوري!",8,TRAFFIC,major_accident
"شباب، حادث سيارات خطير بحي الشيخ مقصود بحلب، تعالوا بسرعة!",9,TRAFFIC,major_accident
"يا شرطة، صار حادث كبير قرب سوق القابون بدمشق، في إصابات!",7,TRAFFIC,major_accident
"حادث شاحنة بدير الزور قرب الجسر، بدو شرطة عاجل!",10,TRAFFIC,major_accident
"يا جماعة، تصادم سيارتين بحي الخالدية بحمص، الوضع خطير!",8,TRAFFIC,major_accident
"صار حادث كبير باللاذقية قرب الكورنيش، بدنا الشرطة!",9,TRAFFIC,major_accident
"يا شباب، حادث مروري خطير بحي التضامن بدمشق، جيبو الشرطة!",7,TRAFFIC,major_accident
"تصادم كبير بالسويداء قرب السوق، بدو شرطة حالا!",10,TRAFFIC,major_accident
"يا جماعة، حادث سيارات بحي الميدان بدمشق، في ناس مصابين!",8,TRAFFIC,major_accident
"صار تصادم خطير بحي الصالحية بحلب، بدنا الشرطة!",9,TRAFFIC,major_accident
"يا شباب، حادث كبير قرب مبنى بدير الزور، تعالوا بسرعة!",7,TRAFFIC,major_accident
"تصادم سيارات بحي القصور بحمص، بدو شرطة فوري!",10,TRAFFIC,major_accident
"يا جماعة، حادث خطير بحي الحميدية بدمشق، ساعدوا!",8,TRAFFIC,major_accident
"صار تصادم كبير بحي الصالحية بحلب، بدنا الشرطة!",9,TRAFFIC,major_accident
"يا شباب، حادث سيارات بحي الشيخ سعد بدير الزور، في إصابات!",7,TRAFFIC,major_accident
"حادث كبير بحي المزة بدمشق، بدو شرطة عاجل!",10,TRAFFIC,major_accident
"يا جماعة، تصادم سيارتين قرب سوق اللاذقية، تعالوا!",8,TRAFFIC,major_accident
"صار حادث خطير بحي الخالدية بحمص، بدنا الشرطة!",9,TRAFFIC,major_accident
"يا شباب، حادث مروري كبير بحي التضامن بدمشق، ساعدوا!",7,TRAFFIC,major_accident
"تصادم شاحنة بحي الفردوس بحلب، بدو شرطة!",10,TRAFFIC,major_accident
"يا جماعة، حادث سيارات قرب مبنى بحي القابون بدمشق، بسرعة!",8,TRAFFIC,major_accident
"صار تصادم خطير بدير الزور قرب السوق، بدنا الشرطة!",9,TRAFFIC,major_accident
"يا شباب، حادث كبير بحي الميدان بدمشق، تعالوا!",7,TRAFFIC,major_accident
"حادث سيارات بحي القصور بحمص، في إصابات!",10,TRAFFIC,major_accident
"يا جماعة، تصادم خطير بحي الحميدية بدمشق، ساعدوا!",8,TRAFFIC,major_accident
"صار حادث كبير بحي الصالحية بحلب، بدنا الشرطة!",9,TRAFFIC,major_accident
"يا شباب، تصادم سيارتين بحي الشيخ سعد بدير الزور، بسرعة!",7,TRAFFIC,major_accident
"حادث خطير بالسويداء قرب السوق، بدو شرطة!",10,TRAFFIC,major_accident
"يا جماعة، صار تصادم كبير بحي المزة بدمشق، تعالوا!",8,TRAFFIC,major_accident
"حادث شاحنة باللاذقية قرب الكورنيش، بدنا الشرطة!",9,TRAFFIC,major_accident
"يا شباب، تصادم خطير بحي الخالدية بحمص، ساعدوا!",7,TRAFFIC,major_accident
