text,severity,class,subclass
"يا جماعة، لقيت هوية بحي المزة بدمشق قرب السوق، مين صاحبها؟",5,CIVIL,found_item
"في تيلفون لقيتو بحي الشيخ مقصود بحلب، حدا يعرف لمين؟",4,CIVIL,found_item
"يا شباب، لقيت حقيبة فيها وثايق بدير الزور قرب الجسر، مين ضايعها؟",6,CIVIL,found_item
"لقيت محفظة بحي القابون بدمشق، فيها نقود وهوية!",5,CIVIL,found_item
"في شنطة لقيتها بحي الخالدية بحمص، فيها أغراض شخصية!",6,CIVIL,found_item
"يا جماعة، لقيت تيلفون باللاذقية قرب الكورنيش، مين صاحبو؟",4,CIVIL,found_item
"لقيت مفاتيح بيت بحي التضامن بدمشق، حدا يعرف لمين؟",5,CIVIL,found_item
"في محفظة لقيتها بالسويداء قرب المستشفى، فيها كرت بنك!",4,CIVIL,found_item
"يا شباب، لقيت حقيبة مدرسية بحي الميدان بدمشق، فيها كتب!",5,CIVIL,found_item
"لقيت جاكيت فيه وثايق بحي الصالحية بحلب، مين صاحبو؟",6,CIVIL,found_item
"يا جماعة، لقيت تيلفون بدير الزور قرب السوق، حدا يعرف لمين؟",4,CIVIL,found_item
"لقيت هوية وكرت بنك بحي القصور بحمص، مين ضايعها؟",5,CIVIL,found_item
"في شنطة لقيتها باللاذقية قرب السوق، فيها أغراض مهمة!",6,CIVIL,found_item
"يا شباب، لقيت محفظة بحي المزة بدمشق، فيها نقود!",4,CIVIL,found_item
"لقيت مفاتيح سيارة بحي الشيخ سعد بدير الزور، مين صاحبها؟",5,CIVIL,found_item
"يا جماعة، لقيت حقيبة فيها دوا بحي الحميدية بدمشق!",6,CIVIL,found_item
"لقيت تيلفون بحي الصالحية بحلب، حدا يعرف لمين؟",4,CIVIL,found_item
"لقيت وثايق مهمة بحي الخالدية بحمص، مين ضايعها؟",5,CIVIL,found_item
"يا شباب، لقيت شنطة بالسويداء قرب المحطة، فيها هوية!",6,CIVIL,found_item
