text,severity,class,subclass
"يا جماعة، في تسرب غاز بحي المزة بدمشق، انتبهوا!",8,CIVIL,warning
"الطريق بحي الشيخ مقصود بحلب مكسر، خطر عالسيارات!",6,CIVIL,warning
"يا شباب، المياه متسخة بحي القابون بدمشق، ما تشربوها!",7,CIVIL,warning
"في مبنى مهدد بالانهيار بدير الزور قرب السوق، انتبهوا!",9,CIVIL,warning
"المجاري عم تفيض بحي الخالدية بحمص، خطر على الصحة!",7,CIVIL,warning
"يا جماعة، الإنارة خربانة باللاذقية قرب الكورنيش، انتبهوا بالليل!",6,CIVIL,warning
"الكهربا عم تقطع بحي التضامن بدمشق، خطر عالأجهزة!",5,CIVIL,warning
"في تلوث بالمياه بالسويداء، ما تشربوها لحد الفحص!",8,CIVIL,warning
"يا شباب، زبالة متراكمة بحي الميدان بدمشق، خطر على الصحة!",6,CIVIL,warning
"في ريحة غاز قوية بحي الفردوس بحلب، انتبهوا!",8,CIVIL,warning
"المياه مقطوعة بدير الزور، خطر على الناس!",7,CIVIL,warning
"يا جماعة، مبنى قديم بحي القصور بحمص، ممكن ينهار!",9,CIVIL,warning
"تسرب مياه بحي الحميدية بدمشق، الشوارع زلقة!",6,CIVIL,warning
"يا شباب، المجاري عم تفيض بحي الصالحية بحلب، خطر!",7,CIVIL,warning
"الطريق بحي الشيخ سعد بدير الزور خطر، مليان حفر!",6,CIVIL,warning
"في ريحة غاز بحي المزة بدمشق، لازم فحص فوري!",8,CIVIL,warning
"الإنارة خربانة باللاذقية قرب السوق، انتبهوا!",5,CIVIL,warning
"يا جماعة، المياه متسخة بحي الخالدية بحمص، ما تشربوها!",7,CIVIL,warning
"زبالة متراكمة بالسويداء، خطر على الصحة!",6,CIVIL,warning
"في مبنى مهدد بالانهيار بحي التضامن بدمشق، انتبهوا!",9,CIVIL,warning
"يا شباب، تسرب مياه بحي الفردوس بحلب، الشوارع زلقة!",6,CIVIL,warning
"الكهربا عم تقطع بحي القابون بدمشق، خطر عالناس!",5,CIVIL,warning
"في ريحة غاز بدير الزور قرب الجسر، انتبهوا!",8,CIVIL,warning
"يا جماعة، المجاري عم تفيض بحي الميدان بدمشق، خطر!",7,CIVIL,warning
"الطريق بحي القصور بحمص مكسر، انتبهوا عالسيارات!",6,CIVIL,warning
"المياه متسخة بحي الحميدية بدمشق، ما تشربوها!",7,CIVIL,warning
"يا شباب، الإنارة خربانة بحي الصالحية بحلب، خطر بالليل!",5,CIVIL,warning
"في تسرب غاز بالسويداء قرب المستشفى، انتبهوا!",8,CIVIL,warning
"زبالة متراكمة بحي الشيخ سعد بدير الزور، خطر على الصحة!",6,CIVIL,warning
"يا جماعة، مبنى قديم بحي المزة بدمشق، ممكن ينهار!",9,CIVIL,warning
"تسرب مياه بحي الخالدية بحمص، الشوارع زلقة!",6,CIVIL,warning
"الكهربا مقطوعة بحي الفردوس بحلب، خطر عالأجهزة!",5,CIVIL,warning
"يا شباب، المياه متسخة بحي القابون بدمشق، ما تشربوها!",7,CIVIL,warning
"في ريحة غاز بحي الميدان بدمشق، لازم فحص!",8,CIVIL,warning
"المجاري عم تفيض باللاذقية قرب السوق، خطر!",7,CIVIL,warning
"يا جماعة، الطريق بحي القصور بحمص مكسر، انتبهوا!",6,CIVIL,warning
"زبالة متراكمة بحي الحميدية بدمشق، خطر على الصحة!",6,CIVIL,warning
"في مبنى مهدد بالانهيار بحي الصالحية بحلب، انتبهوا!",9,CIVIL,warning
"يا شباب، تسرب مياه بدير الزور، الشوارع زلقة!",6,CIVIL,warning
"الإنارة خربانة بالسويداء، خطر بالليل!",5,CIVIL,warning
"في ريحة غاز بحي الشيخ سعد بدير الزور، انتبهوا!",8,CIVIL,warning
"يا جماعة، المياه متسخة بحي المزة بدمشق، ما تشربوها!",7,CIVIL,warning
"المجاري عم تفيض بحي الخالدية بحمص، خطر!",7,CIVIL,warning
"الطريق بحي الفردوس بحلب مكسر، انتبهوا عالسيارات!",6,CIVIL,warning
"زبالة متراكمة بحي القابون بدمشق، خطر على الصحة!",6,CIVIL,warning
"يا شباب، في تسرب غاز بحي الميدان بدمشق، لازم فحص!",8,CIVIL,warning
"المياه مقطوعة بحي القصور بحمص، خطر على الناس!",7,CIVIL,warning
"يا جماعة، الإنارة خربانة بحي الحميدية بدمشق، خطر بالليل!",5,CIVIL,warning
"في مبنى مهدد بالانهيار باللاذقية، انتبهوا!",9,CIVIL,warning
"تسرب مياه بحي الصالحية بحلب، الشوارع زلقة!",6,CIVIL,warning
"يا شباب، المياه متسخة بدير الزور، ما تشربوها!",7,CIVIL,warning
"زبالة متراكمة بالسويداء قرب السوق، خطر!",6,CIVIL,warning
"في ريحة غاز بحي الشيخ سعد بدير الزور، انتبهوا!",8,CIVIL,warning
"يا جماعة، المجاري عم تفيض بحي المزة بدمشق، خطر!",7,CIVIL,warning
"الطريق بحي الخالدية بحمص مكسر، انتبهوا!",6,CIVIL,warning
"الكهربا عم تقطع بحي الفردوس بحلب، خطر عالأجهزة!",5,CIVIL,warning
"يا شباب، زبالة متراكمة بحي القابون بدمشق، خطر على الصحة!",6,CIVIL,warning
"في تسرب غاز بحي الميدان بدمشق، انتبهوا!",8,CIVIL,warning
"المياه متسخة بحي القصور بحمص، ما تشربوها!",7,CIVIL,warning
"يا جماعة، الإنارة خربانة بحي الحميدية بدمشق، خطر بالليل!",5,CIVIL,warning
"في مبنى مهدد بالانهيار بحي الصالحية بحلب، انتبهوا!",9,CIVIL,warning
"تسرب مياه باللاذقية قرب الكورنيش، الشوارع زلقة!",6,CIVIL,warning
"يا شباب، المياه مقطوعة بدير الزور، خطر على الناس!",7,CIVIL,warning
"زبالة متراكمة بحي الشيخ سعد بدير الزور، خطر!",6,CIVIL,warning
"في ريحة غاز بحي المزة بدمشق، لازم فحص فوري!",8,CIVIL,warning
"يا جماعة، المجاري عم تفيض بحي الخالدية بحمص، خطر!",7,CIVIL,warning
"الطريق بحي الفردوس بحلب مكسر، انتبهوا عالسيارات!",6,CIVIL,warning
"زبالة متراكمة بحي القابون بدمشق، خطر على الصحة!",6,CIVIL,warning
"يا شباب، في تسرب غاز بحي الميدان بدمشق، انتبهوا!",8,CIVIL,warning
"المياه متسخة بحي القصور بحمص، ما تشربوها!",7,CIVIL,warning
"يا جماعة، الإنارة خربانة بحي الحميدية بدمشق، خطر بالليل!",5,CIVIL,warning
"في مبنى مهدد بالانهيار باللاذقية، انتبهوا!",9,CIVIL,warning
"تسرب مياه بحي الصالحية بحلب، الشوارع زلقة!",6,CIVIL,warning
"يا شباب، المياه مقطوعة بدير الزور، خطر على الناس!",7,CIVIL,warning
"زبالة متراكمة بالسويداء، خطر على الصحة!",6,CIVIL,warning
"في ريحة غاز بحي الشيخ سعد بدير الزور، انتبهوا!",8,CIVIL,warning
"يا جماعة، المجاري عم تفيض بحي المزة بدمشق، خطر!",7,CIVIL,warning
"الطريق بحي الخالدية بحمص مكسر، انتبهوا!",6,CIVIL,warning
"الكهربا عم تقطع بحي الفردوس بحلب، خطر عالأجهزة!",5,CIVIL,warning
"يا شباب، زبالة متراكمة بحي القابون بدمشق، خطر!",6,CIVIL,warning
"في تسرب غاز بحي الميدان بدمشق، انتبهوا!",8,CIVIL,warning
"المياه متسخة بحي القصور بحمص، ما تشربوها!",7,CIVIL,warning
"يا جماعة، الإنارة خربانة بحي الحميدية بدمشق، خطر بالليل!",5,CIVIL,warning
"في مبنى مهدد بالانهيار بحي الصالحية بحلب، انتبهوا!",9,CIVIL,warning
"تسرب مياه باللاذقية قرب السوق، الشوارع زلقة!",6,CIVIL,warning
"يا شباب، المياه مقطوعة بدير الزور، خطر على الناس!",7,CIVIL,warning
"زبالة متراكمة بحي الشيخ سعد بدير الزور، خطر!",6,CIVIL,warning
"في ريحة غاز بحي المزة بدمشق، لازم فحص!",8,CIVIL,warning
"يا جماعة، المجاري عم تفيض بحي الخالدية بحمص، خطر!",7,CIVIL,warning
"الطريق بحي الفردوس بحلب مكسر، انتبهوا!",6,CIVIL,warning
"زبالة متراكمة بحي القابون بدمشق، خطر على الصحة!",6,CIVIL,warning
"يا شباب، في تسرب غاز بحي الميدان بدمشق، انتبهوا!",8,CIVIL,warning
"المياه متسخة بحي القصور بحمص، ما تشربوها!",7,CIVIL,warning
"يا جماعة، الإنارة خربانة بحي الحميدية بدمشق، خطر بالليل!",5,CIVIL,warning
"في مبنى مهدد بالانهيار باللاذقية، انتبهوا!",9,CIVIL,warning
"تسرب مياه بحي الصالحية بحلب، الشوارع زلقة!",6,CIVIL,warning
"يا شباب، المياه مقطوعة بدير الزور، خطر على الناس!",7,CIVIL,warning
"زبالة متراكمة بالسويداء قرب المستشفى، خطر!",6,CIVIL,warning
"في ريحة غاز بحي الشيخ سعد بدير الزور، انتبهوا!",8,CIVIL,warning
