text,severity,class,subclass
"يا جماعة، في دخان كتير بحي المزة بدمشق، شكلو حريق!",8,FIRE,unknown_fire
"شفت نار بحي الشيخ مقصود بحلب، ما بعرف مصدرها!",7,FIRE,unknown_fire
"يا شباب، في حريق بأرض فاضية بحي القابون بدمشق، بسرعة!",8,FIRE,unknown_fire
"دخان كتير بدير الزور قرب الجسر، شكلو حريق!",7,FIRE,unknown_fire
"في نار بحي الخالدية بحمص، ما بعرف من وين!",8,FIRE,unknown_fire
"يا جماعة، دخان غليظ باللاذقية قرب الكورنيش، بدنا إطفاء!",7,FIRE,unknown_fire
"شفت نار بحي التضامن بدمشق، شي غريب، تعالوا!",8,FIRE,unknown_fire
"في دخان كتير بالسويداء قرب السوق، شكلو حريق!",7,FIRE,unknown_fire
"يا شباب، نار بأرض مفتوحة بحي الميدان بدمشق، خطر!",8,FIRE,unknown_fire
"دخان كتير بحي الصالحية بحلب، ما بعرف مصدر النار!",7,FIRE,unknown_fire
"يا جماعة، في حريق بدير الزور، شكلو بأرض فاضية!",8,FIRE,unknown_fire
"شفت دخان بحي القصور بحمص، لازم تتفحصوا!",7,FIRE,unknown_fire
"نار بحي الحميدية بدمشق، ما بعرف من وين، بسرعة!",8,FIRE,unknown_fire
"يا شباب، دخان كتير بحي الصالحية بحلب، شكلو حريق!",7,FIRE,unknown_fire
"في نار بحي الشيخ سعد بدير الزور، بدنا إطفاء!",8,FIRE,unknown_fire
"يا جماعة، دخان غليظ بحي المزة بدمشق، خطر!",7,FIRE,unknown_fire
"شفت نار باللاذقية قرب السوق، ما بعرف مصدرها!",8,FIRE,unknown_fire
"في دخان بحي الخالدية بحمص، شكلو حريق!",7,FIRE,unknown_fire
"يا شباب، نار بأرض فاضية بالسويداء، تعالوا بسرعة!",8,FIRE,unknown_fire
"دخان كتير بحي التضامن بدمشق، لازم تتفحصوا!",7,FIRE,unknown_fire
"يا جماعة، في حريق بحي الفردوس بحلب، ما بعرف من وين!",8,FIRE,unknown_fire
"شفت نار بحي القابون بدمشق، شي غريب!",7,FIRE,unknown_fire
"في دخان كتير بدير الزور قرب السوق، شكلو حريق!",8,FIRE,unknown_fire
"يا شباب، نار بحي الميدان بدمشق، بدنا إطفاء!",7,FIRE,unknown_fire
"دخان غليظ بحي القصور بحمص، خطر كبير!",8,FIRE,unknown_fire
"يا جماعة، في نار بحي الحميدية بدمشق، ما بعرف مصدرها!",7,FIRE,unknown_fire
"شفت دخان بحي الصالحية بحلب، شكلو حريق!",8,FIRE,unknown_fire
"نار بأرض فاضية بحي الشيخ سعد بدير الزور، بسرعة!",7,FIRE,unknown_fire
"يا شباب، دخان كتير بالسويداء، لازم تتفحصوا!",8,FIRE,unknown_fire
"في حريق بحي المزة بدمشق، ما بعرف من وين!",7,FIRE,unknown_fire
"يا جماعة، نار باللاذقية قرب المينا، بدنا إطفاء!",8,FIRE,unknown_fire
"دخان كتير بحي الخالدية بحمص، شكلو حريق!",7,FIRE,unknown_fire
"شفت نار بحي التضامن بدمشق، خطر!",8,FIRE,unknown_fire
"يا شباب، في دخان بحي الفردوس بحلب، لازم تتفحصوا!",7,FIRE,unknown_fire
"نار بأرض مفتوحة بحي القابون بدمشق، بسرعة!",8,FIRE,unknown_fire
"يا جماعة، دخان غليظ بدير الزور، شكلو حريق!",7,FIRE,unknown_fire
"في نار بحي الميدان بدمشق، ما بعرف مصدرها!",8,FIRE,unknown_fire
"شفت دخان بحي القصور بحمص، خطر!",7,FIRE,unknown_fire
"يا شباب، نار بحي الحميدية بدمشق، بدنا إطفاء!",8,FIRE,unknown_fire
"دخان كتير بحي الصالحية بحلب، شكلو حريق!",7,FIRE,unknown_fire
"في حريق بحي الشيخ سعد بدير الزور، لازم مساعدة!",8,FIRE,unknown_fire
"يا جماعة، نار بالسويداء قرب المستشفى، خطر!",7,FIRE,unknown_fire
"شفت دخان بحي المزة بدمشق، شكلو حريق!",8,FIRE,unknown_fire
"نار بأرض فاضية باللاذقية قرب الكورنيش، بسرعة!",7,FIRE,unknown_fire
"يا شباب، دخان كتير بحي الخالدية بحمص، بدنا إطفاء!",8,FIRE,unknown_fire
"في نار بحي التضامن بدمشق، ما بعرف من وين!",7,FIRE,unknown_fire
"يا جماعة، دخان غليظ بحي الفردوس بحلب، خطر!",8,FIRE,unknown_fire
"شفت نار بحي القابون بدمشق، لازم تتفحص!",7,FIRE,unknown_fire
"نار بأرض مفتوحة بدير الزور، بدنا إطفاء!",8,FIRE,unknown_fire
"يا شباب، دخان كتير بحي الميدان بدمشق، شكلو حريق!",7,FIRE,unknown_fire
"في حريق بحي القصور بحمص، ما بعرف مصدرها!",8,FIRE,unknown_fire
"يا جماعة، نار بحي الحميدية بدمشق، خطر!",7,FIRE,unknown_fire
"شفت دخان بحي الصالحية بحلب، بدنا مساعدة!",8,FIRE,unknown_fire
"نار بأرض فاضية بحي الشيخ سعد بدير الزور، بسرعة!",7,FIRE,unknown_fire
"يا شباب، دخان كتير بالسويداء، شكلو حريق!",8,FIRE,unknown_fire
"في نار بحي المزة بدمشق، لازم إطفاء فوري!",7,FIRE,unknown_fire
"يا جماعة، دخان غليظ باللاذقية قرب السوق، خطر!",8,FIRE,unknown_fire
"شفت نار بحي الخالدية بحمص، ما بعرف من وين!",7,FIRE,unknown_fire
"نار بأرض مفتوحة بحي التضامن بدمشق، بدنا إطفاء!",8,FIRE,unknown_fire
"يا شباب، دخان كتير بحي الفردوس بحلب، خطر!",7,FIRE,unknown_fire
"في حريق بحي القابون بدمشق، لازم تتفحص!",8,FIRE,unknown_fire
"يا جماعة، نار بدير الزور قرب الجسر، بسرعة!",7,FIRE,unknown_fire
"شفت دخان بحي الميدان بدمشق، شكلو حريق!",8,FIRE,unknown_fire
"نار بحي القصور بحمص، ما بعرف مصدرها!",7,FIRE,unknown_fire
"يا شباب، دخان كتير بحي الحميدية بدمشق، خطر!",8,FIRE,unknown_fire
"في نار بحي الصالحية بحلب، بدنا إطفاء!",7,FIRE,unknown_fire
"يا جماعة، نار بأرض فاضية بحي الشيخ سعد بدير الزور!",8,FIRE,unknown_fire
"شفت دخان بالسويداء قرب السوق، شكلو حريق!",7,FIRE,unknown_fire
"نار بحي المزة بدمشق، خطر، بدنا مساعدة!",8,FIRE,unknown_fire
"يا شباب، دخان كتير باللاذقية، لازم تتفحص!",7,FIRE,unknown_fire
"في حريق بحي الخالدية بحمص، ما بعرف من وين!",8,FIRE,unknown_fire
"يا جماعة، نار بحي التضامن بدمشق، بسرعة!",7,FIRE,unknown_fire
"شفت دخان بحي الفردوس بحلب، شكلو حريق!",8,FIRE,unknown_fire
"نار بأرض مفتوحة بحي القابون بدمشق، خطر!",7,FIRE,unknown_fire
"يا شباب، دخان كتير بدير الزور، بدنا إطفاء!",8,FIRE,unknown_fire
"في نار بحي الميدان بدمشق، لازم تتفحص!",7,FIRE,unknown_fire
"يا جماعة، دخان غليظ بحي القصور بحمص، خطر!",8,FIRE,unknown_fire
"شفت نار بحي الحميدية بدمشق، ما بعرف مصدرها!",7,FIRE,unknown_fire
"نار بحي الصالحية بحلب، بدنا إطفاء فوري!",8,FIRE,unknown_fire
"يا شباب، دخان كتير بحي الشيخ سعد بدير الزور، خطر!",7,FIRE,unknown_fire
"في حريق بالسويداء قرب المستشفى، بسرعة!",8,FIRE,unknown_fire
"يا جماعة، نار بحي المزة بدمشق، لازم مساعدة!",7,FIRE,unknown_fire
"شفت دخان باللاذقية قرب الكورنيش، شكلو حريق!",8,FIRE,unknown_fire
"نار بحي الخالدية بحمص، ما بعرف من وين!",7,FIRE,unknown_fire
"يا شباب، دخان كتير بحي التضامن بدمشق، خطر!",8,FIRE,unknown_fire
"في نار بحي الفردوس بحلب، بدنا إطفاء!",7,FIRE,unknown_fire
