text,severity,class,subclass
"يا جماعة، في انفجار بحي المزة بدمشق، بدنا الشرطة فوري!",10,POLICE,explosion
"شباب، انفجار قوي بحي الشيخ مقصود بحلب، تعالوا بسرعة!",9,POLICE,explosion
"يا شرطة، انفجار قرب السوق بحي القابون بدمشق، ساعدوا!",10,POLICE,explosion
"في انفجار بدير الزور قرب الجسر، بدو شرطة عاجل!",9,POLICE,explosion
"يا جماعة، انفجار بحي الخالدية بحمص، بسرعة!",10,POLICE,explosion
"انفجار قوي باللاذقية قرب الكورنيش، بدنا الشرطة!",8,POLICE,explosion
"يا شباب، في انفجار بحي التضامن بدمشق، تعالوا فوري!",9,POLICE,explosion
"انفجار بالسويداء قرب السوق، بدو شرطة بسرعة!",8,POLICE,explosion
"يا جماعة، انفجار قوي بحي الميدان بدمشق، ساعدوا!",10,POLICE,explosion
"في انفجار بحي الصالحية بحلب، بدنا الشرطة فوري!",9,POLICE,explosion
"يا شباب، انفجار قرب مبنى بدير الزور، تعالوا بسرعة!",10,POLICE,explosion
"انفجار بحي القصور بحمص، بدو شرطة عاجل!",8,POLICE,explosion
"يا جماعة، في انفجار بحي الحميدية بدمشق، بسرعة!",9,POLICE,explosion
"انفجار قوي بحي الصالحية بحلب، بدنا الشرطة!",10,POLICE,explosion
"يا شباب، انفجار بحي الشيخ سعد بدير الزور، ساعدوا!",9,POLICE,explosion
"في انفجار بحي المزة بدمشق، بدو شرطة فوري!",10,POLICE,explosion
"يا جماعة، انفجار قرب السوق باللاذقية، تعالوا بسرعة!",8,POLICE,explosion
"انفجار قوي بحي الخالدية بحمص، بدنا الشرطة!",9,POLICE,explosion
"يا شباب، في انفجار بحي التضامن بدمشق، ساعدوا!",10,POLICE,explosion
"انفجار بحي الفردوس بحلب، بدو شرطة فوري!",8,POLICE,explosion
"يا جماعة، انفجار قرب مبنى بحي القابون بدمشق، بسرعة!",9,POLICE,explosion
"في انفجار بدير الزور قرب السوق، بدنا الشرطة!",10,POLICE,explosion
"يا شباب، انفجار بحي الميدان بدمشق، تعالوا فوري!",8,POLICE,explosion
"انفجار قوي بحي القصور بحمص، بدو شرطة بسرعة!",9,POLICE,explosion
"يا جماعة، في انفجار بحي الحميدية بدمشق، ساعدوا!",10,POLICE,explosion
"انفجار بحي الصالحية بحلب، بدنا الشرطة فوري!",8,POLICE,explosion
"يا شباب، انفجار قرب الجسر بحي الشيخ سعد بدير الزور، بسرعة!",9,POLICE,explosion
"في انفجار بالسويداء، بدو شرطة عاجل!",10,POLICE,explosion
"يا جماعة، انفجار قوي بحي المزة بدمشق، تعالوا بسرعة!",8,POLICE,explosion
"انفجار باللاذقية قرب الكورنيش، بدنا الشرطة!",9,POLICE,explosion
"يا شباب، في انفجار بحي الخالدية بحمص، ساعدوا!",10,POLICE,explosion
"انفجار بحي التضامن بدمشق، بدو شرطة فوري!",8,POLICE,explosion
"يا جماعة، انفجار قوي بحي الفردوس بحلب، تعالوا بسرعة!",9,POLICE,explosion
"في انفجار بحي القابون بدمشق، بدنا الشرطة!",10,POLICE,explosion
"يا شباب، انفجار قرب السوق بدير الزور، ساعدوا!",8,POLICE,explosion
"انفجار بحي الميدان بدمشق، بدو شرطة فوري!",9,POLICE,explosion
"يا جماعة، في انفجار بحي القصور بحمص، تعالوا بسرعة!",10,POLICE,explosion
"انفجار قوي بحي الحميدية بدمشق، بدنا الشرطة!",8,POLICE,explosion
"يا شباب، انفجار بحي الصالحية بحلب، ساعدوا!",9,POLICE,explosion
"في انفجار بحي الشيخ سعد بدير الزور، بدو شرطة فوري!",10,POLICE,explosion
"يا جماعة، انفجار بالسويداء قرب السوق، تعالوا بسرعة!",8,POLICE,explosion
"انفجار قوي بحي المزة بدمشق، بدنا الشرطة!",9,POLICE,explosion
"يا شباب، في انفجار باللاذقية قرب السوق، ساعدوا!",10,POLICE,explosion
"انفجار بحي الخالدية بحمص، بدو شرطة فوري!",8,POLICE,explosion
"يا جماعة، انفجار قوي بحي التضامن بدمشق، تعالوا بسرعة!",9,POLICE,explosion
"في انفجار بحي الفردوس بحلب، بدنا الشرطة!",10,POLICE,explosion
"يا شباب، انفجار قرب مبنى بحي القابون بدمشق، ساعدوا!",8,POLICE,explosion
"انفجار بدير الزور قرب الجسر، بدو شرطة فوري!",9,POLICE,explosion
"يا جماعة، في انفجار بحي الميدان بدمشق، تعالوا بسرعة!",10,POLICE,explosion
"انفجار قوي بحي القصور بحمص، بدنا الشرطة!",8,POLICE,explosion
"يا شباب، انفجار بحي الحميدية بدمشق، ساعدوا!",9,POLICE,explosion
"في انفجار بحي الصالحية بحلب، بدو شرطة فوري!",10,POLICE,explosion
