text,severity,class,subclass
"يا جماعة، في حريق بغابة قرب المزة بدمشق، النار عم تنتشر!",9,FIRE,wildfire
"حقل زراعي بحي الشيخ مقصود بحلب عم يحترق، بدنا إطفاء!",8,FIRE,wildfire
"يا شباب، نار بأرض ريفية بحي القابون بدمشق، خطر كبير!",9,FIRE,wildfire
"في حريق بغابة بدير الزور، النار عم تقرب عالقرى!",10,FIRE,wildfire
"غابة بحي الخالدية بحمص عم تحترق، بالله ساعدوا!",9,FIRE,wildfire
"يا جماعة، نار بحقل قرب اللاذقية، بدنا إطفاء فوري!",8,FIRE,wildfire
"أرض زراعية بحي التضامن بدمشق فيها نار، خطر!",9,FIRE,wildfire
"في حريق بغابة بالسويداء، النار عم تنتشر بسرعة!",10,FIRE,wildfire
"يا شباب، حقل بحي الميدان بدمشق عم يحترق، تعالوا!",8,FIRE,wildfire
"غابة بحي الصالحية بحلب فيها نار، بدنا مساعدة!",9,FIRE,wildfire
"يا جماعة، نار بأرض ريفية بدير الزور، خطر عالمحاصيل!",8,FIRE,wildfire
"حقل زراعي بحي القصور بحمص عم يحترق، بسرعة!",9,FIRE,wildfire
"في حريق بغابة بحي الحميدية بدمشق، النار عم تنتشر!",10,FIRE,wildfire
"يا شباب، نار بحقل بحي الصالحية بحلب، بدنا إطفاء!",8,FIRE,wildfire
"غابة بحي الشيخ سعد بدير الزور عم تحترق، خطر!",9,FIRE,wildfire
"يا جماعة، نار بأرض زراعية بحي المزة بدمشق، بسرعة!",8,FIRE,wildfire
"حقل قرب اللاذقية عم يحترق، النار عم تقرب عالبيوت!",9,FIRE,wildfire
"في حريق بغابة بحي الخالدية بحمص، بدنا مساعدة!",10,FIRE,wildfire
"يا شباب، نار بأرض ريفية بالسويداء، خطر كبير!",8,FIRE,wildfire
"أرض زراعية بحي التضامن بدمشق عم تحترق، بدنا إطفاء!",9,FIRE,wildfire
"يا جماعة، غابة بحي الفردوس بحلب فيها نار، بسرعة!",10,FIRE,wildfire
"نار بحقل بحي القابون بدمشق، خطر عالمحاصيل!",8,FIRE,wildfire
"في حريق بأرض ريفية بدير الزور، النار عم تنتشر!",9,FIRE,wildfire
"يا شباب، غابة بحي الميدان بدمشق عم تحترق، تعالوا!",8,FIRE,wildfire
"حقل زراعي بحي القصور بحمص فيه نار، بدنا إطفاء!",9,FIRE,wildfire
"يا جماعة، نار بغابة بحي الحميدية بدمشق، خطر!",10,FIRE,wildfire
"نار بحقل بحي الصالحية بحلب، بدنا مساعدة!",8,FIRE,wildfire
"في حريق بأرض ريفية بحي الشيخ سعد بدير الزور، بسرعة!",9,FIRE,wildfire
"يا شباب، غابة بالسويداء عم تحترق، النار عم تنتشر!",10,FIRE,wildfire
"أرض زراعية بحي المزة بدمشق فيها نار، خطر!",8,FIRE,wildfire
"يا جماعة، نار بحقل قرب اللاذقية، بدنا إطفاء!",9,FIRE,wildfire
"غابة بحي الخالدية بحمص عم تحترق، خطر كبير!",10,FIRE,wildfire
"نار بأرض ريفية بحي التضامن بدمشق، بسرعة!",8,FIRE,wildfire
"يا شباب، حقل بحي الفردوس بحلب فيه نار، بدنا مساعدة!",9,FIRE,wildfire
"في حريق بغابة بحي القابون بدمشق، النار عم تنتشر!",10,FIRE,wildfire
"يا جماعة، نار بحقل بحي الميدان بدمشق، خطر!",8,FIRE,wildfire
"أرض زراعية بدير الزور عم تحترق، بدنا إطفاء!",9,FIRE,wildfire
"غابة بحي القصور بحمص فيها نار، بسرعة!",10,FIRE,wildfire
"يا شباب، نار بحي الحميدية بدمشق، خطر عالمحاصيل!",8,FIRE,wildfire
"في حريق بغابة بحي الصالحية بحلب، بدنا مساعدة!",9,FIRE,wildfire
"نار بأرض ريفية بحي الشيخ سعد بدير الزور، خطر!",8,FIRE,wildfire
"يا جماعة، غابة بالسويداء عم تحترق، بسرعة!",10,FIRE,wildfire
"حقل بحي المزة بدمشق فيه نار، بدنا إطفاء!",8,FIRE,wildfire
"في حريق بأرض زراعية قرب اللاذقية، النار عم تنتشر!",9,FIRE,wildfire
"يا شباب، غابة بحي الخالدية بحمص عم تحترق، خطر!",10,FIRE,wildfire
"نار بأرض ريفية بحي التضامن بدمشق، بسرعة!",8,FIRE,wildfire
"يا جماعة، حقل بحي الفردوس بحلب فيه نار، بدنا إطفاء!",9,FIRE,wildfire
"غابة بحي القابون بدمشق عم تحترق، خطر كبير!",10,FIRE,wildfire
"نار بحقل بحي الميدان بدمشق، بدنا مساعدة!",8,FIRE,wildfire
"في حريق بأرض زراعية بدير الزور، النار عم تقرب عالقرى!",9,FIRE,wildfire
"يا شباب، غابة بحي القصور بحمص فيها نار، بسرعة!",10,FIRE,wildfire
"نار بحي الحميدية بدمشق، خطر عالمحاصيل!",8,FIRE,wildfire
"يا جماعة، غابة بحي الصالحية بحلب عم تحترق، بدنا إطفاء!",9,FIRE,wildfire
"أرض ريفية بحي الشيخ سعد بدير الزور فيها نار، خطر!",8,FIRE,wildfire
"في حريق بغابة بالسويداء، النار عم تنتشر!",10,FIRE,wildfire
"يا شباب، حقل بحي المزة بدمشق عم يحترق، بسرعة!",8,FIRE,wildfire
"نار بأرض زراعية قرب اللاذقية، بدنا إطفاء!",9,FIRE,wildfire
"يا جماعة، غابة بحي الخالدية بحمص فيها نار، خطر!",10,FIRE,wildfire
"نار بأرض ريفية بحي التضامن بدمشق، بسرعة!",8,FIRE,wildfire
"يا شباب، حقل بحي الفردوس بحلب عم يحترق، بدنا مساعدة!",9,FIRE,wildfire
"غابة بحي القابون بدمشق فيها نار، خطر كبير!",10,FIRE,wildfire
"نار بحقل بحي الميدان بدمشق، بدنا إطفاء!",8,FIRE,wildfire
"في حريق بأرض زراعية بدير الزور، النار عم تنتشر!",9,FIRE,wildfire
"يا جماعة، غابة بحي القصور بحمص عم تحترق، بسرعة!",10,FIRE,wildfire
"نار بحي الحميدية بدمشق، خطر عالمحاصيل!",8,FIRE,wildfire
"يا شباب، غابة بحي الصالحية بحلب فيها نار، بدنا إطفاء!",9,FIRE,wildfire
"أرض ريفية بحي الشيخ سعد بدير الزور عم تحترق، خطر!",8,FIRE,wildfire
"في حريق بغابة بالسويداء، النار عم تقرب عالبيوت!",10,FIRE,wildfire
"يا جماعة، حقل بحي المزة بدمشق فيه نار، بسرعة!",8,FIRE,wildfire
"نار بأرض زراعية قرب اللاذقية، بدنا مساعدة!",9,FIRE,wildfire
"يا شباب، غابة بحي الخالدية بحمص عم تحترق، خطر!",10,FIRE,wildfire
"نار بأرض ريفية بحي التضامن بدمشق، بدنا إطفاء!",8,FIRE,wildfire
"يا جماعة، حقل بحي الفردوس بحلب فيه نار، بسرعة!",9,FIRE,wildfire
"غابة بحي القابون بدمشق عم تحترق، خطر كبير!",10,FIRE,wildfire
"نار بحقل بحي الميدان بدمشق، بدنا إطفاء!",8,FIRE,wildfire
"في حريق بأرض زراعية بدير الزور، النار عم تنتشر!",9,FIRE,wildfire
"يا شباب، غابة بحي القصور بحمص فيها نار، بسرعة!",10,FIRE,wildfire
"نار بحي الحميدية بدمشق، خطر عالمحاصيل!",8,FIRE,wildfire
"يا جماعة، غابة بحي الصالحية بحلب عم تحترق، بدنا إطفاء!",9,FIRE,wildfire
"أرض ريفية بحي الشيخ سعد بدير الزور فيها نار، خطر!",8,FIRE,wildfire
"في حريق بغابة بالسويداء، النار عم تنتشر!",10,FIRE,wildfire
"يا شباب، حقل بحي المزة بدمشق عم يحترق، بسرعة!",8,FIRE,wildfire
"نار بأرض زراعية قرب اللاذقية، بدنا إطفاء!",9,FIRE,wildfire
"يا جماعة، غابة بحي الخالدية بحمص فيها نار، خطر!",10,FIRE,wildfire
"نار بأرض ريفية بحي التضامن بدمشق، بسرعة!",8,FIRE,wildfire
"يا شباب، حقل بحي الفردوس بحلب عم يحترق، بدنا مساعدة!",9,FIRE,wildfire
"غابة بحي القابون بدمشق فيها نار، خطر كبير!",10,FIRE,wildfire
"نار بحقل بحي الميدان بدمشق، بدنا إطفاء!",8,FIRE,wildfire
"في حريق بأرض زراعية بدير الزور، النار عم تنتشر!",9,FIRE,wildfire
"يا جماعة، غابة بحي القصور بحمص عم تحترق، بسرعة!",10,FIRE,wildfire
"نار بحي الحميدية بدمشق، خطر عالمحاصيل!",8,FIRE,wildfire
"يا شباب، غابة بحي الصالحية بحلب فيها نار، بدنا إطفاء!",9,FIRE,wildfire
"أرض ريفية بحي الشيخ سعد بدير الزور عم تحترق، خطر!",8,FIRE,wildfire
"في حريق بغابة بالسويداء، النار عم تقرب عالبيوت!",10,FIRE,wildfire
"يا جماعة، حقل بحي المزة بدمشق فيه نار، بسرعة!",8,FIRE,wildfire
"نار بأرض زراعية قرب اللاذقية، بدنا مساعدة!",9,FIRE,wildfire
"يا شباب، غابة بحي الخالدية بحمص عم تحترق، خطر!",10,FIRE,wildfire
"نار بأرض ريفية بحي التضامن بدمشق، بدنا إطفاء!",8,FIRE,wildfire
"يا جماعة، حقل بحي الفردوس بحلب فيه نار، بسرعة!",9,FIRE,wildfire
