text,severity,class,subclass
"يا جماعة، ضيعت هويتي بحي المزة بدمشق، ممكن حدا شافها؟",5,CIVIL,missing_item
"في شب ضايع تيلفونو بحي الشيخ مقصود بحلب، في أخبار؟",4,CIVIL,missing_item
"يا شباب، حقيبة فيها وثايق ضاعت بدير الزور قرب السوق، ساعدوا!",6,CIVIL,missing_item
"ضيعت محفظتي بحي القابون بدمشق، فيها نقود وهوية!",5,CIVIL,missing_item
"امرأة ضايعة شنطتها بحي الخالدية بحمص، فيها أغراض مهمة!",6,CIVIL,missing_item
"يا جماعة، تيلفون ضاع باللاذقية قرب الكورنيش، ممكن حدا شافو؟",4,CIVIL,missing_item
"ضيعت مفاتيح بيتي بحي التضامن بدمشق، بالله ساعدوا!",5,CIVIL,missing_item
"في شب ضايع محفظتو بالسويداء قرب المستشفى، في أخبار؟",4,CIVIL,missing_item
"يا شباب، حقيبة مدرسية ضاعت بحي الميدان بدمشق، فيها كتب!",5,CIVIL,missing_item
"ضيعت جاكيت فيها وثايق بحي الصالحية بحلب، ممكن حدا يساعد؟",6,CIVIL,missing_item
"يا جماعة، تيلفون ضاع بدير الزور قرب الجسر، في أي أخبار؟",4,CIVIL,missing_item
"ضيعت هوية وكرت بنك بحي القصور بحمص، بالله ساعدوا!",5,CIVIL,missing_item
"في بنت ضايعة شنطتها باللاذقية قرب السوق، فيها أغراض مهمة!",6,CIVIL,missing_item
"يا شباب، محفظة ضاعت بحي المزة بدمشق، فيها نقود!",4,CIVIL,missing_item
"ضيعت مفاتيح سيارتي بحي الشيخ سعد بدير الزور، ممكن حدا شافها؟",5,CIVIL,missing_item
"يا جماعة، حقيبة فيها دوا ضاعت بحي الحميدية بدمشق!",6,CIVIL,missing_item
"في شب ضايع تيلفونو بحي الصالحية بحلب، في أخبار؟",4,CIVIL,missing_item
"ضيعت وثايق مهمة بحي الخالدية بحمص، بالله ساعدوا!",5,CIVIL,missing_item
"يا شباب، شنطة ضاعت بالسويداء قرب المحطة، فيها هوية!",6,CIVIL,missing_item
"ضيعت محفظتي بحي التضامن بدمشق، فيها كرت بنك!",4,CIVIL,missing_item
"يا جماعة، تيلفون ضاع بحي الفردوس بحلب، ممكن حدا شافو؟",5,CIVIL,missing_item
"ضيعت مفاتيح بيتي بحي القابون بدمشق، في أي أخبار؟",4,CIVIL,missing_item
"في بنت ضايعة حقيبتها بدير الزور، فيها وثايق مهمة!",6,CIVIL,missing_item
"يا شباب، محفظة ضاعت بحي الميدان بدمشق، فيها نقود!",5,CIVIL,missing_item
"ضيعت تيلفوني باللاذقية قرب الشاطئ، ممكن حدا يساعد؟",4,CIVIL,missing_item
"يا جماعة، حقيبة فيها كتب ضاعت بحي القصور بحمص!",5,CIVIL,missing_item
"ضيعت هويتي بحي الشيخ مقصود بحلب، بالله ساعدوا!",6,CIVIL,missing_item
"في شب ضايع مفاتيح سيارتو بالسويداء، في أخبار؟",4,CIVIL,missing_item
"يا شباب، شنطة ضاعت بحي المزة بدمشق، فيها دوا!",5,CIVIL,missing_item
"ضيعت محفظتي بدير الزور قرب السوق، فيها وثايق!",6,CIVIL,missing_item
"يا جماعة، تيلفون ضاع بحي الحميدية بدمشق، ممكن حدا شافو؟",4,CIVIL,missing_item
"ضيعت مفاتيح بيتي بحي الصالحية بحلب، بالله ساعدوا!",5,CIVIL,missing_item
"في بنت ضايعة حقيبتها بحي الخالدية بحمص، فيها نقود!",6,CIVIL,missing_item
