text,severity,class,subclass
"يا جماعة، في شخص مفقود بحي المزة بدمشق، بدنا الشرطة بسرعة!",8,POLICE,missing_person
"شباب، طفل ضايع بحي الشيخ مقصود بحلب، تعالوا فوري!",9,POLICE,missing_person
"يا شرطة، بنت مفقودة قرب السوق بحي القابون بدمشق، ساعدوا!",8,POLICE,missing_person
"في رجال ضايع بدير الزور قرب الجسر، بدو شرطة عاجل!",7,POLICE,missing_person
"يا جماعة، واحد مفقود بحي الخالدية بحمص، بسرعة!",8,POLICE,missing_person
"طفل ضايع باللاذقية قرب الكورنيش، بدنا الشرطة!",9,POLICE,missing_person
"يا شباب، في بنت مفقودة بحي التضامن بدمشق، تعالوا بسرعة!",8,POLICE,missing_person
"شخص مفقود بالسويداء قرب السوق، بدو شرطة فوري!",7,POLICE,missing_person
"يا جماعة، رجال ضايع بحي الميدان بدمشق، ساعدوا!",8,POLICE,missing_person
"في طفل مفقود بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,missing_person
"يا شباب، بنت ضايعة قرب مبنى بدير الزور، تعالوا بسرعة!",7,POLICE,missing_person
"رجال مفقود بحي القصور بحمص، بدو شرطة عاجل!",8,POLICE,missing_person
"يا جماعة، في شخص ضايع بحي الحميدية بدمشق، بسرعة!",9,POLICE,missing_person
"طفل مفقود بحي الصالحية بحلب، بدنا الشرطة!",8,POLICE,missing_person
"يا شباب، بنت ضايعة بحي الشيخ سعد بدير الزور، ساعدوا!",9,POLICE,missing_person
"في شخص مفقود بحي المزة بدمشق، بدو شرطة فوري!",7,POLICE,missing_person
"يا جماعة، رجال ضايع قرب السوق باللاذقية، تعالوا بسرعة!",8,POLICE,missing_person
"طفل مفقود بحي الخالدية بحمص، بدنا الشرطة!",9,POLICE,missing_person
"يا شباب، في بنت ضايعة بحي التضامن بدمشق، ساعدوا!",8,POLICE,missing_person
"شخص مفقود بحي الفردوس بحلب، بدو شرطة فوري!",7,POLICE,missing_person
"يا جماعة، رجال ضايع قرب مبنى بحي القابون بدمشق، بسرعة!",8,POLICE,missing_person
"في طفل مفقود بدير الزور قرب السوق، بدنا الشرطة!",9,POLICE,missing_person
"يا شباب، بنت ضايعة بحي الميدان بدمشق، تعالوا فوري!",8,POLICE,missing_person
"رجال مفقود بحي القصور بحمص، بدو شرطة بسرعة!",7,POLICE,missing_person
"يا جماعة، في شخص ضايع بحي الحميدية بدمشق، ساعدوا!",8,POLICE,missing_person
"طفل مفقود بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,missing_person
