text,severity,class,subclass
"يا جماعة، في جريمة قتل بحي المزة بدمشق، بدنا الشرطة فوري!",10,POLICE,murder
"شباب، قتلو واحد بحي الشيخ مقصود بحلب، تعالوا بسرعة!",9,POLICE,murder
"يا شرطة، جريمة قتل قرب السوق بحي القابون بدمشق، ساعدوا!",10,POLICE,murder
"في قتل شخص بدير الزور قرب الجسر، بدو شرطة عاجل!",9,POLICE,murder
"يا جماعة، جريمة قتل بحي الخالدية بحمص، بسرعة!",10,POLICE,murder
"قتلو رجال باللاذقية قرب الكورنيش، بدنا الشرطة!",9,POLICE,murder
"يا شباب، في جريمة قتل بحي التضامن بدمشق، تعالوا فوري!",10,POLICE,murder
"جريمة قتل بالسويداء قرب السوق، بدو شرطة بسرعة!",9,POLICE,murder
"يا جماعة، قتلو بنت بحي الميدان بدمشق، ساعدوا!",10,POLICE,murder
"في جريمة قتل بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,murder
"يا شباب، قتلو شخص قرب مبنى بدير الزور، تعالوا بسرعة!",10,POLICE,murder
"جريمة قتل بحي القصور بحمص، بدو شرطة عاجل!",9,POLICE,murder
"يا جماعة، في قتل بحي الحميدية بدمشق، بسرعة!",10,POLICE,murder
"قتلو رجال بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,murder
"يا شباب، جريمة قتل بحي الشيخ سعد بدير الزور، ساعدوا!",10,POLICE,murder
"في قتل شخص بحي المزة بدمشق، بدو شرطة فوري!",9,POLICE,murder
"يا جماعة، قتلو بنت قرب السوق باللاذقية، تعالوا بسرعة!",10,POLICE,murder
"جريمة قتل بحي الخالدية بحمص، بدنا الشرطة!",9,POLICE,murder
"يا شباب، في قتل بحي التضامن بدمشق، ساعدوا!",10,POLICE,murder
"قتلو رجال بحي الفردوس بحلب، بدو شرطة فوري!",9,POLICE,murder
"يا جماعة، جريمة قتل قرب مبنى بحي القابون بدمشق، بسرعة!",10,POLICE,murder
"في قتل شخص بدير الزور قرب السوق، بدنا الشرطة!",9,POLICE,murder
"يا شباب، قتلو بنت بحي الميدان بدمشق، تعالوا فوري!",10,POLICE,murder
"جريمة قتل بحي القصور بحمص، بدو شرطة بسرعة!",9,POLICE,murder
"يا جماعة، في قتل بحي الحميدية بدمشق، ساعدوا!",10,POLICE,murder
"قتلو رجال بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,murder
"يا شباب، جريمة قتل بحي الشيخ سعد بدير الزور، بسرعة!",10,POLICE,murder
"في قتل بالسويداء، بدو شرطة عاجل!",9,POLICE,murder
"يا جماعة، قتلو شخص بحي المزة بدمشق، تعالوا بسرعة!",10,POLICE,murder
"جريمة قتل باللاذقية قرب الكورنيش، بدنا الشرطة!",9,POLICE,murder
"يا شباب، في قتل بحي الخالدية بحمص، ساعدوا!",10,POLICE,murder
"قتلو بنت بحي التضامن بدمشق، بدو شرطة فوري!",9,POLICE,murder
"يا جماعة، جريمة قتل بحي الفردوس بحلب، تعالوا بسرعة!",10,POLICE,murder
"في قتل شخص بحي القابون بدمشق، بدنا الشرطة!",9,POLICE,murder
"يا شباب، قتلو رجال بدير الزور قرب الجسر، ساعدوا!",10,POLICE,murder
"جريمة قتل بحي الميدان بدمشق، بدو شرطة فوري!",9,POLICE,murder
"يا جماعة، في قتل بحي القصور بحمص، تعالوا بسرعة!",10,POLICE,murder
"قتلو بنت بحي الحميدية بدمشق، بدنا الشرطة!",9,POLICE,murder
"يا شباب، جريمة قتل بحي الصالحية بحلب، ساعدوا!",10,POLICE,murder
"في قتل شخص بحي الشيخ سعد بدير الزور، بدو شرطة فوري!",9,POLICE,murder
"يا جماعة، قتلو رجال بالسويداء، تعالوا بسرعة!",10,POLICE,murder
"جريمة قتل بحي المزة بدمشق، بدو شرطة عاجل!",9,POLICE,murder
"يا شباب، في قتل باللاذقية قرب السوق، ساعدوا!",10,POLICE,murder
"قتلو بنت بحي الخالدية بحمص، بدنا الشرطة!",9,POLICE,murder
"يا جماعة، جريمة قتل بحي التضامن بدمشق، تعالوا بسرعة!",10,POLICE,murder
"في قتل رجال بحي الفردوس بحلب، بدو شرطة فوري!",9,POLICE,murder
"يا شباب، قتلو شخص بحي القابون بدمشق، ساعدوا!",10,POLICE,murder
"جريمة قتل بدير الزور قرب السوق، بدنا الشرطة!",9,POLICE,murder
"يا جماعة، في قتل بحي الميدان بدمشق، تعالوا بسرعة!",10,POLICE,murder
"قتلو بنت بحي القصور بحمص، بدو شرطة فوري!",9,POLICE,murder
"يا شباب، جريمة قتل بحي الحميدية بدمشق، ساعدوا!",10,POLICE,murder
"في قتل رجال بحي الصالحية بحلب، بدو شرطة عاجل!",9,POLICE,murder
"يا جماعة، قتلو شخص بحي الشيخ سعد بدير الزور، تعالوا بسرعة!",10,POLICE,murder
"جريمة قتل بالسويداء، بدنا الشرطة!",9,POLICE,murder
"يا شباب، في قتل بحي المزة بدمشق، ساعدوا!",10,POLICE,murder
"قتلو بنت باللاذقية قرب الكورنيش، بدو شرطة فوري!",9,POLICE,murder
"يا جماعة، جريمة قتل بحي الخالدية بحمص، تعالوا بسرعة!",10,POLICE,murder
"في قتل رجال بحي التضامن بدمشق، بدو شرطة عاجل!",9,POLICE,murder
"يا شباب، قتلو شخص بحي الفردوس بحلب، ساعدوا!",10,POLICE,murder
"جريمة قتل بحي القابون بدمشق، بدنا الشرطة!",9,POLICE,murder
"يا جماعة، في قتل بدير الزور قرب الجسر، تعالوا بسرعة!",10,POLICE,murder
"قتلو بنت بحي الميدان بدمشق، بدو شرطة فوري!",9,POLICE,murder
"يا شباب، جريمة قتل بحي القصور بحمص، ساعدوا!",10,POLICE,murder
"في قتل رجال بحي الحميدية بدمشق، بدو شرطة عاجل!",9,POLICE,murder
"يا جماعة، قتلو شخص بحي الصالحية بحلب، تعالوا بسرعة!",10,POLICE,murder
"جريمة قتل بحي الشيخ سعد بدير الزور، بدنا الشرطة!",9,POLICE,murder
"يا شباب، في قتل بالسويداء، ساعدوا!",10,POLICE,murder
"قتلو بنت بحي المزة بدمشق، بدو شرطة فوري!",9,POLICE,murder
"يا جماعة، جريمة قتل باللاذقية قرب السوق، تعالوا بسرعة!",10,POLICE,murder
