text,severity,class,subclass
"يا جماعة، في شخص غريب عم يتجول بحي المزة بدمشق، شكلو مشبوه!",7,CIVIL,suspect
"شفت سيارة واقفة بحي الشيخ مقصود بحلب من ساعات، شي مشبوه!",6,CIVIL,suspect
"يا شباب، في كيس مهجور بحي القابون بدمشق، بدو فحص!",8,CIVIL,suspect
"في ناس غريبة عم تتجمع بدير الزور قرب السوق، شو القصة؟",7,CIVIL,suspect
"شخص عم يصور مباني بحي الخالدية بحمص، شكلو مشبوه!",6,CIVIL,suspect
"يا جماعة، في حقيبة مهجورة باللاذقية قرب الكورنيش، بدا فحص!",8,CIVIL,suspect
"شفت ناس غريبة بحي التضامن بدمشق، عم يتجولوا بالليل!",7,CIVIL,suspect
"في سيارة واقفة بالسويداء من يومين، شكلها مشبوه!",6,CIVIL,suspect
"يا شباب، في شخص عم يحوم حول مدرسة بحي الميدان بدمشق!",7,CIVIL,suspect
"لقيت صندوق غريب بحي الصالحية بحلب، لازم يتفحص!",8,CIVIL,suspect
"يا جماعة، في ناس عم يحفروا بدير الزور بالليل، شي مشبوه!",7,CIVIL,suspect
"شفت شخص غريب بحي القصور بحمص، عم يراقب البيوت!",6,CIVIL,suspect
"في حقيبة مهجورة بحي الحميدية بدمشق، بدا فحص عاجل!",8,CIVIL,suspect
"يا شباب، سيارة غريبة واقفة بحي الصالحية بحلب، شكلها مشبوه!",6,CIVIL,suspect
"في ناس عم يتجمعوا بحي الشيخ سعد بدير الزور، شي غريب!",7,CIVIL,suspect
"يا جماعة، شخص مشبوه عم يصور بحي المزة بدمشق!",6,CIVIL,suspect
"لقيت كيس غريب باللاذقية قرب السوق، لازم يتفحص!",8,CIVIL,suspect
"شفت ناس غريبة بحي الخالدية بحمص، عم يتجولوا بالليل!",7,CIVIL,suspect
"في سيارة واقفة بالسويداء من ساعات، شكلها مشبوه!",6,CIVIL,suspect
"يا شباب، في شخص عم يحوم حول مبنى بحي التضامن بدمشق!",7,CIVIL,suspect
"لقيت حقيبة مهجورة بحي الفردوس بحلب، بدا فحص فوري!",8,CIVIL,suspect
"يا جماعة، في ناس غريبة بدير الزور قرب الجسر، شو القصة؟",7,CIVIL,suspect
"شفت سيارة مشبوهة بحي القابون بدمشق، واقفة من يومين!",6,CIVIL,suspect
"في شخص عم يراقب البيوت بحي الميدان بدمشق، شي غريب!",7,CIVIL,suspect
