text,severity,class,subclass
"يا جماعة، عم نسمع طلقات نار بحي المزة بدمشق، بدنا الشرطة بسرعة!",8,POLICE,gunfire_sound
"شباب، صوت إطلاق نار قوي بحي الشيخ مقصود بحلب، تعالوا فوري!",7,POLICE,gunfire_sound
"يا شرطة، في أصوات طلقات بحي القابون بدمشق، ساعدوا!",9,POLICE,gunfire_sound
"عم نسمع طلقات نار بدير الزور قرب الجسر، بدو شرطة!",6,POLICE,gunfire_sound
"يا جماعة، صوت إطلاق نار بحي الخالدية بحمص، بسرعة!",8,POLICE,gunfire_sound
"في أصوات طلقات باللاذقية قرب الكورنيش، بدنا الشرطة!",7,POLICE,gunfire_sound
"يا شباب، عم نسمع إطلاق نار بحي التضامن بدمشق، تعالوا بسرعة!",9,POLICE,gunfire_sound
"صوت طلقات نار بالسويداء قرب السوق، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، أصوات إطلاق نار بحي الميدان بدمشق، ساعدوا!",8,POLICE,gunfire_sound
"في صوت طلقات بحي الصالحية بحلب، بدنا الشرطة!",7,POLICE,gunfire_sound
"يا شباب، عم نسمع طلقات نار بدير الزور قرب مبنى، تعالوا بسرعة!",9,POLICE,gunfire_sound
"صوت إطلاق نار بحي القصور بحمص، بدو شرطة!",6,POLICE,gunfire_sound
"يا جماعة، في أصوات طلقات بحي الحميدية بدمشق، بسرعة!",8,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي الصالحية بحلب، بدنا الشرطة!",7,POLICE,gunfire_sound
"يا شباب، صوت طلقات نار بحي الشيخ سعد بدير الزور، ساعدوا!",9,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي المزة بدمشق، بدو شرطة فوري!",8,POLICE,gunfire_sound
"يا جماعة، عم نسمع طلقات قرب السوق باللاذقية، تعالوا بسرعة!",6,POLICE,gunfire_sound
"صوت إطلاق نار قوي بحي الخالدية بحمص، بدنا الشرطة!",7,POLICE,gunfire_sound
"يا شباب، في أصوات طلقات بحي التضامن بدمشق، ساعدوا!",8,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي الفردوس بحلب، بدو شرطة فوري!",9,POLICE,gunfire_sound
"يا جماعة، صوت طلقات نار قرب مبنى بحي القابون بدمشق، بسرعة!",6,POLICE,gunfire_sound
"في أصوات إطلاق نار بدير الزور قرب السوق، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، عم نسمع طلقات بحي الميدان بدمشق، تعالوا فوري!",7,POLICE,gunfire_sound
"صوت إطلاق نار بحي القصور بحمص، بدو شرطة بسرعة!",9,POLICE,gunfire_sound
"يا جماعة، في أصوات طلقات بحي الحميدية بدمشق، ساعدوا!",8,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي الصالحية بحلب، بدنا الشرطة!",6,POLICE,gunfire_sound
"يا شباب، صوت طلقات نار بحي الشيخ سعد بدير الزور، بسرعة!",7,POLICE,gunfire_sound
"في أصوات إطلاق نار بالسويداء، بدو شرطة عاجل!",8,POLICE,gunfire_sound
"يا جماعة، عم نسمع طلقات بحي المزة بدمشق، تعالوا بسرعة!",9,POLICE,gunfire_sound
"صوت إطلاق نار باللاذقية قرب الكورنيش، بدنا الشرطة!",6,POLICE,gunfire_sound
"يا شباب، في أصوات طلقات بحي الخالدية بحمص، ساعدوا!",7,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي التضامن بدمشق، بدو شرطة فوري!",8,POLICE,gunfire_sound
"يا جماعة، صوت طلقات نار بحي الفردوس بحلب، تعالوا بسرعة!",9,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي القابون بدمشق، بدنا الشرطة!",6,POLICE,gunfire_sound
"يا شباب، عم نسمع طلقات بدير الزور قرب الجسر، ساعدوا!",8,POLICE,gunfire_sound
"صوت إطلاق نار بحي الميدان بدمشق، بدو شرطة فوري!",7,POLICE,gunfire_sound
"يا جماعة، في أصوات طلقات بحي القصور بحمص، تعالوا بسرعة!",9,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي الحميدية بدمشق، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، صوت طلقات نار بحي الصالحية بحلب، ساعدوا!",6,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي الشيخ سعد بدير الزور، بدو شرطة فوري!",7,POLICE,gunfire_sound
"يا جماعة، عم نسمع طلقات بالسويداء، تعالوا بسرعة!",8,POLICE,gunfire_sound
"صوت إطلاق نار بحي المزة بدمشق، بدنا الشرطة!",9,POLICE,gunfire_sound
"يا شباب، في أصوات طلقات باللاذقية قرب السوق، ساعدوا!",6,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي الخالدية بحمص، بدو شرطة فوري!",7,POLICE,gunfire_sound
"يا جماعة، صوت طلقات نار بحي التضامن بدمشق، تعالوا بسرعة!",8,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي الفردوس بحلب، بدنا الشرطة!",9,POLICE,gunfire_sound
"يا شباب، عم نسمع طلقات بحي القابون بدمشق، ساعدوا!",6,POLICE,gunfire_sound
"صوت إطلاق نار بدير الزور قرب السوق، بدو شرطة فوري!",8,POLICE,gunfire_sound
"يا جماعة، في أصوات طلقات بحي الميدان بدمشق، تعالوا بسرعة!",7,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي القصور بحمص، بدنا الشرطة!",9,POLICE,gunfire_sound
"يا شباب، صوت طلقات نار بحي الحميدية بدمشق، ساعدوا!",8,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي الصالحية بحلب، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، عم نسمع طلقات بحي الشيخ سعد بدير الزور، تعالوا بسرعة!",7,POLICE,gunfire_sound
"صوت إطلاق نار بالسويداء، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، في أصوات طلقات بحي المزة بدمشق، ساعدوا!",9,POLICE,gunfire_sound
"عم نسمع إطلاق نار باللاذقية قرب الكورنيش، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، صوت طلقات نار بحي الخالدية بحمص، تعالوا بسرعة!",7,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي التضامن بدمشق، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، عم نسمع طلقات بحي الفردوس بحلب، ساعدوا!",9,POLICE,gunfire_sound
"صوت إطلاق نار بحي القابون بدمشق، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، في أصوات طلقات بدير الزور قرب الجسر، تعالوا بسرعة!",7,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي الميدان بدمشق، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، صوت طلقات نار بحي القصور بحمص، ساعدوا!",9,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي الحميدية بدمشق، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، عم نسمع طلقات بحي الصالحية بحلب، تعالوا بسرعة!",7,POLICE,gunfire_sound
"صوت إطلاق نار بحي الشيخ سعد بدير الزور، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، في أصوات طلقات بالسويداء، ساعدوا!",9,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي المزة بدمشق، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، صوت طلقات نار باللاذقية قرب السوق، تعالوا بسرعة!",7,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي الخالدية بحمص، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، عم نسمع طلقات بحي التضامن بدمشق، ساعدوا!",9,POLICE,gunfire_sound
"صوت إطلاق نار بحي الفردوس بحلب، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، في أصوات طلقات بحي القابون بدمشق، تعالوا بسرعة!",7,POLICE,gunfire_sound
"عم نسمع إطلاق نار بدير الزور قرب السوق، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، صوت طلقات نار بحي الميدان بدمشق، ساعدوا!",9,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي القصور بحمص، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، عم نسمع طلقات بحي الحميدية بدمشق، تعالوا بسرعة!",7,POLICE,gunfire_sound
"صوت إطلاق نار بحي الصالحية بحلب، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، في أصوات طلقات بحي الشيخ سعد بدير الزور، ساعدوا!",9,POLICE,gunfire_sound
"عم نسمع إطلاق نار بالسويداء، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، صوت طلقات نار بحي المزة بدمشق، تعالوا بسرعة!",7,POLICE,gunfire_sound
"في أصوات إطلاق نار باللاذقية قرب الكورنيش، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، عم نسمع طلقات بحي الخالدية بحمص، ساعدوا!",9,POLICE,gunfire_sound
"صوت إطلاق نار بحي التضامن بدمشق، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، في أصوات طلقات بحي الفردوس بحلب، تعالوا بسرعة!",7,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي القابون بدمشق، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، صوت طلقات نار بدير الزور قرب الجسر، ساعدوا!",9,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي الميدان بدمشق، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، عم نسمع طلقات بحي القصور بحمص، تعالوا بسرعة!",7,POLICE,gunfire_sound
"صوت إطلاق نار بحي الحميدية بدمشق، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، في أصوات طلقات بحي الصالحية بحلب، ساعدوا!",9,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي الشيخ سعد بدير الزور، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، صوت طلقات نار بالسويداء، تعالوا بسرعة!",7,POLICE,gunfire_sound
"في أصوات إطلاق نار بحي المزة بدمشق، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، عم نسمع طلقات باللاذقية قرب السوق، ساعدوا!",9,POLICE,gunfire_sound
"صوت إطلاق نار بحي الخالدية بحمص، بدو شرطة فوري!",6,POLICE,gunfire_sound
"يا جماعة، في أصوات طلقات بحي التضامن بدمشق، تعالوا بسرعة!",7,POLICE,gunfire_sound
"عم نسمع إطلاق نار بحي الفردوس بحلب، بدنا الشرطة!",8,POLICE,gunfire_sound
"يا شباب، صوت طلقات نار بحي القابون بدمشق، ساعدوا!",9,POLICE,gunfire_sound
"في أصوات إطلاق نار بدير الزور قرب السوق، بدو شرطة فوري!",6,POLICE,gunfire_sound
