text,severity,class,subclass
"يا جماعة، شخص بدو دوا للقلب فوري بحي المزة بدمشق، ساعدوا!",9,MEDICAL,medicine
"في واحد عندو أزمة ربو بحي الشيخ مقصود بحلب، بدو دوا بسرعة!",8,MEDICAL,medicine
"يا شباب، شخص بدو إنسولين بحي القابون بدمشق، الوضع خطر!",10,MEDICAL,medicine
"شخص عندو نقص دوا للضغط بدير الزور قرب السوق، بدو إسعاف!",7,MEDICAL,medicine
"يا جماعة، في واحد بدو دوا للصرع بحي الخالدية بحمص، بسرعة!",9,MEDICAL,medicine
"شخص عندو أزمة تنفسية باللاذقية قرب الكورنيش، بدو دوا فوري!",8,MEDICAL,medicine
"في واحد بدو دوا للسكري بحي التضامن بدمشق، ساعدوا!",10,MEDICAL,medicine
"يا شباب، شخص بدو دوا للقلب بالسويداء، الوضع عاجل!",9,MEDICAL,medicine
"شخص عندو نوبة ربو بحي الميدان بدمشق، بدو دوا بسرعة!",8,MEDICAL,medicine
"يا جماعة، في واحد بدو إنسولين بحي الصالحية بحلب، ساعدوا!",10,MEDICAL,medicine
"شخص بدو دوا للصرع بدير الزور، الوضع خطر!",9,MEDICAL,medicine
"يا شباب، في واحد عندو أزمة قلبية بحي القصور بحمص، بدو دوا!",8,MEDICAL,medicine
"شخص بدو دوا للضغط بحي الحميدية بدمشق، بدنا مساعدة!",7,MEDICAL,medicine
"يا جماعة، واحد عندو أزمة ربو بحي الصالحية بحلب، بدو دوا!",9,MEDICAL,medicine
"شخص بدو إنسولين بحي الشيخ سعد بدير الزور، بسرعة!",10,MEDICAL,medicine
"يا شباب، في واحد بدو دوا للقلب بحي المزة بدمشق، ساعدوا!",9,MEDICAL,medicine
"شخص عندو أزمة تنفسية باللاذقية قرب السوق، بدو دوا فوري!",8,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للسكري بحي الخالدية بحمص، بسرعة!",10,MEDICAL,medicine
"شخص بدو دوا للصرع بالسويداء، الوضع عاجل!",7,MEDICAL,medicine
"يا شباب، في واحد عندو أزمة قلبية بحي التضامن بدمشق، بدو دوا!",9,MEDICAL,medicine
"شخص بدو إنسولين بحي الفردوس بحلب، ساعدوا!",10,MEDICAL,medicine
"يا جماعة، واحد عندو أزمة ربو بحي القابون بدمشق، بدو دوا!",8,MEDICAL,medicine
"شخص بدو دوا للضغط بدير الزور قرب الجسر، بسرعة!",7,MEDICAL,medicine
"يا شباب، في واحد بدو دوا للصرع بحي الميدان بدمشق، ساعدوا!",9,MEDICAL,medicine
"شخص عندو أزمة قلبية بحي القصور بحمص، بدو دوا فوري!",10,MEDICAL,medicine
"يا جماعة، واحد بدو إنسولين بحي الحميدية بدمشق، بسرعة!",9,MEDICAL,medicine
"شخص عندو أزمة ربو بحي الصالحية بحلب، بدو دوا!",8,MEDICAL,medicine
"يا شباب، في واحد بدو دوا للسكري بحي الشيخ سعد بدير الزور، ساعدوا!",10,MEDICAL,medicine
"شخص بدو دوا للقلب بالسويداء، الوضع خطر!",9,MEDICAL,medicine
"يا جماعة، واحد عندو أزمة تنفسية بحي المزة بدمشق، بدو دوا!",8,MEDICAL,medicine
"شخص بدو إنسولين باللاذقية قرب الكورنيش، بسرعة!",10,MEDICAL,medicine
"يا شباب، في واحد بدو دوا للصرع بحي الخالدية بحمص، ساعدوا!",7,MEDICAL,medicine
"شخص عندو أزمة قلبية بحي التضامن بدمشق، بدو دوا فوري!",9,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للربو بحي الفردوس بحلب، بسرعة!",8,MEDICAL,medicine
"شخص بدو إنسولين بحي القابون بدمشق، الوضع عاجل!",10,MEDICAL,medicine
"يا شباب، في واحد بدو دوا للضغط بدير الزور، ساعدوا!",7,MEDICAL,medicine
"شخص عندو أزمة ربو بحي الميدان بدمشق، بدو دوا فوري!",9,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للقلب بحي القصور بحمص، بسرعة!",10,MEDICAL,medicine
"شخص بدو إنسولين بحي الحميدية بدمشق، ساعدوا!",9,MEDICAL,medicine
"يا شباب، في واحد عندو أزمة تنفسية بحي الصالحية بحلب، بدو دوا!",8,MEDICAL,medicine
"شخص بدو دوا للصرع بحي الشيخ سعد بدير الزور، بسرعة!",7,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للسكري بالسويداء، الوضع خطر!",10,MEDICAL,medicine
"شخص عندو أزمة قلبية بحي المزة بدمشق، بدو دوا فوري!",9,MEDICAL,medicine
"يا شباب، في واحد بدو إنسولين باللاذقية قرب السوق، ساعدوا!",10,MEDICAL,medicine
"شخص عندو أزمة ربو بحي الخالدية بحمص، بدو دوا!",8,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للصرع بحي التضامن بدمشق، بسرعة!",7,MEDICAL,medicine
"شخص بدو دوا للقلب بحي الفردوس بحلب، الوضع عاجل!",9,MEDICAL,medicine
"يا شباب، في واحد بدو إنسولين بحي القابون بدمشق، ساعدوا!",10,MEDICAL,medicine
"شخص عندو أزمة تنفسية بدير الزور قرب الجسر، بدو دوا!",8,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للضغط بحي الميدان بدمشق، بسرعة!",7,MEDICAL,medicine
"شخص بدو دوا للصرع بحي القصور بحمص، بدو إسعاف!",9,MEDICAL,medicine
"يا شباب، في واحد عندو أزمة قلبية بحي الحميدية بدمشق، بدو دوا!",10,MEDICAL,medicine
"شخص بدو إنسولين بحي الصالحية بحلب، ساعدوا!",9,MEDICAL,medicine
"يا جماعة، واحد عندو أزمة ربو بحي الشيخ سعد بدير الزور، بدو دوا!",8,MEDICAL,medicine
"شخص بدو دوا للسكري بالسويداء، الوضع خطر!",10,MEDICAL,medicine
"يا شباب، في واحد بدو دوا للقلب بحي المزة بدمشق، بسرعة!",9,MEDICAL,medicine
"شخص عندو أزمة تنفسية باللاذقية، بدو دوا فوري!",8,MEDICAL,medicine
"يا جماعة، واحد بدو إنسولين بحي الخالدية بحمص، ساعدوا!",10,MEDICAL,medicine
"شخص بدو دوا للصرع بحي التضامن بدمشق، بسرعة!",7,MEDICAL,medicine
"يا شباب، في واحد عندو أزمة قلبية بحي الفردوس بحلب، بدو دوا!",9,MEDICAL,medicine
"شخص بدو إنسولين بحي القابون بدمشق، الوضع عاجل!",10,MEDICAL,medicine
"يا جماعة، واحد عندو أزمة ربو بدير الزور، بدو دوا!",8,MEDICAL,medicine
"شخص بدو دوا للضغط بحي الميدان بدمشق، ساعدوا!",7,MEDICAL,medicine
"يا شباب، في واحد بدو دوا للصرع بحي القصور بحمص، بسرعة!",9,MEDICAL,medicine
"شخص عندو أزمة قلبية بحي الحميدية بدمشق، بدو دوا فوري!",10,MEDICAL,medicine
"يا جماعة، واحد بدو إنسولين بحي الصالحية بحلب، ساعدوا!",9,MEDICAL,medicine
"شخص عندو أزمة ربو بحي الشيخ سعد بدير الزور، بدو دوا!",8,MEDICAL,medicine
"يا شباب، في واحد بدو دوا للسكري بالسويداء، بسرعة!",10,MEDICAL,medicine
"شخص بدو دوا للقلب بحي المزة بدمشق، الوضع خطر!",9,MEDICAL,medicine
"يا جماعة، واحد عندو أزمة تنفسية باللاذقية قرب الكورنيش، بدو دوا!",8,MEDICAL,medicine
"شخص بدو إنسولين بحي الخالدية بحمص، ساعدوا!",10,MEDICAL,medicine
"يا شباب، في واحد بدو دوا للصرع بحي التضامن بدمشق، بسرعة!",7,MEDICAL,medicine
"شخص عندو أزمة قلبية بحي الفردوس بحلب، بدو دوا فوري!",9,MEDICAL,medicine
"يا جماعة، واحد بدو إنسولين بحي القابون بدمشق، ساعدوا!",10,MEDICAL,medicine
"شخص عندو أزمة ربو بدير الزور قرب الجسر، بدو دوا!",8,MEDICAL,medicine
"يا شباب، في واحد بدو دوا للضغط بحي الميدان بدمشق، بسرعة!",7,MEDICAL,medicine
"شخص بدو دوا للصرع بحي القصور بحمص، ساعدوا!",9,MEDICAL,medicine
"يا جماعة، واحد عندو أزمة قلبية بحي الحميدية بدمشق، بدو دوا!",10,MEDICAL,medicine
"شخص بدو إنسولين بحي الصالحية بحلب، الوضع عاجل!",9,MEDICAL,medicine
"يا شباب، في واحد عندو أزمة ربو بحي الشيخ سعد بدير الزور، بدو دوا!",8,MEDICAL,medicine
"شخص بدو دوا للسكري بالسويداء، ساعدوا!",10,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للقلب بحي المزة بدمشق، بسرعة!",9,MEDICAL,medicine
"شخص عندو أزمة تنفسية باللاذقية قرب السوق، بدو دوا فوري!",8,MEDICAL,medicine
"يا شباب، في واحد بدو إنسولين بحي الخالدية بحمص، ساعدوا!",10,MEDICAL,medicine
"شخص بدو دوا للصرع بحي التضامن بدمشق، الوضع خطر!",7,MEDICAL,medicine
"يا جماعة، واحد عندو أزمة قلبية بحي الفردوس بحلب، بدو دوا!",9,MEDICAL,medicine
"شخص بدو إنسولين بحي القابون بدمشق، بسرعة!",10,MEDICAL,medicine
"يا شباب، في واحد عندو أزمة ربو بدير الزور، بدو دوا!",8,MEDICAL,medicine
"شخص بدو دوا للضغط بحي الميدان بدمشق، ساعدوا!",7,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للصرع بحي القصور بحمص، بسرعة!",9,MEDICAL,medicine
"شخص عندو أزمة قلبية بحي الحميدية بدمشق، بدو دوا فوري!",10,MEDICAL,medicine
"يا شباب، في واحد بدو إنسولين بحي الصالحية بحلب، ساعدوا!",9,MEDICAL,medicine
"شخص عندو أزمة ربو بحي الشيخ سعد بدير الزور، بدو دوا!",8,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للسكري بالسويداء، بسرعة!",10,MEDICAL,medicine
"شخص بدو دوا للقلب بحي المزة بدمشق، الوضع عاجل!",9,MEDICAL,medicine
"يا شباب، في واحد عندو أزمة تنفسية باللاذقية، بدو دوا!",8,MEDICAL,medicine
"شخص بدو إنسولين بحي الخالدية بحمص، ساعدوا!",10,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للصرع بحي التضامن بدمشق، بسرعة!",7,MEDICAL,medicine
"شخص عندو أزمة قلبية بحي الفردوس بحلب، بدو دوا فوري!",9,MEDICAL,medicine
"يا شباب، في واحد بدو إنسولين بحي القابون بدمشق، ساعدوا!",10,MEDICAL,medicine
"شخص عندو أزمة ربو بدير الزور قرب السوق، بدو دوا!",8,MEDICAL,medicine
"يا جماعة، واحد بدو دوا للضغط بحي الميدان بدمشق، بسرعة!",7,MEDICAL,medicine
