text,severity,class,subclass
"يا جماعة، المياه مقطوعة بحي المزة بدمشق، بالله صلحوها بسرعة!",6,CIVIL,service_request
"الكهربا مقطوعة بحي الشيخ مقصود بحلب، بدنا حل عاجل!",5,CIVIL,service_request
"الطريق بحي القابون بدمشق مليان حفر، لازم يتصلح فوراً!",5,CIVIL,service_request
"يا شباب، المجاري عم تفيض بدير الزور، بدنا فريق ينظف!",6,CIVIL,service_request
"الزبالة متراكمة بحي الخالدية بحمص، بالله ارسلوا سيارة تنظيف!",6,CIVIL,service_request
"الإنارة خربانة بحي الصالحية باللاذقية، بدنا إصلاح بسرعة!",5,CIVIL,service_request
"يا جماعة، في تسرب مياه بحي التضامن بدمشق، لازم يتصلح!",6,CIVIL,service_request
"المياه متسخة بالسويداء، بدنا فحص وتنظيف للخزانات!",7,CIVIL,service_request
"الطريق بحي الميدان بدمشق مكسر، بالله ارسلوا فريق إصلاح!",5,CIVIL,service_request
"يا شباب، في ريحة غاز بحي الفردوس بحلب، بدنا فحص فوري!",7,CIVIL,service_request
"الكهربا عم تقطع كل يوم بدير الزور، بالله شوفوا حل!",5,CIVIL,service_request
"المجاري مسدودة بحي القصور بحمص، بدنا فريق يفتحها!",6,CIVIL,service_request
"يا جماعة، الزبالة متراكمة بحي الحميدية بدمشق، ارسلوا سيارة!",6,CIVIL,service_request
"الإنارة بحي الصالحية بحلب خربانة، بدنا إصلاح عاجل!",5,CIVIL,service_request
"في تسرب مياه بحي الشيخ سعد بدير الزور، بالله صلحوها!",6,CIVIL,service_request
"يا شباب، المياه مقطوعة بحي المزة بدمشق، بدنا إصلاح بسرعة!",6,CIVIL,service_request
"الطريق بحي الخالدية بحمص مليان حفر، لازم فريق يشتغل!",5,CIVIL,service_request
"الزبالة عم تتراكم باللاذقية قرب الكورنيش، بدنا تنظيف!",6,CIVIL,service_request
"يا جماعة، الكهربا مقطوعة بالسويداء، بالله ارسلوا فريق!",5,CIVIL,service_request
"في ريحة مجاري بحي التضامن بدمشق، بدنا تنظيف فوري!",6,CIVIL,service_request
"الإنارة بحي الفردوس بحلب خربانة، بالله صلحوها!",5,CIVIL,service_request
"يا شباب، المياه متسخة بحي القابون بدمشق، بدنا فحص!",7,CIVIL,service_request
"المجاري عم تفيض بحي الميدان بدمشق، بدنا فريق ينظف!",6,CIVIL,service_request
"الطريق بحي القصور بحمص مكسر، بالله ارسلوا فريق إصلاح!",5,CIVIL,service_request
"يا جماعة، الزبالة متراكمة بدير الزور، بدنا سيارة تنظيف!",6,CIVIL,service_request
"في تسرب مياه بحي الحميدية بدمشق، لازم يتصلح بسرعة!",6,CIVIL,service_request
"الكهربا مقطوعة بحي الصالحية بحلب، بدنا حل عاجل!",5,CIVIL,service_request
"يا شباب، الإنارة بحي الشيخ سعد بدير الزور خربانة، بدنا إصلاح!",5,CIVIL,service_request
"المياه مقطوعة باللاذقية قرب السوق، بالله صلحوها!",6,CIVIL,service_request
"الزبالة متراكمة بحي المزة بدمشق، بدنا تنظيف فوري!",6,CIVIL,service_request
"يا جماعة، الطريق بحي الخالدية بحمص مكسر، بدنا إصلاح!",5,CIVIL,service_request
"في ريحة غاز بحي الفردوس بحلب، بدنا فحص عاجل!",7,CIVIL,service_request
"المجاري مسدودة بالسويداء، بالله ارسلوا فريق!",6,CIVIL,service_request
"يا شباب، الكهربا عم تقطع بحي التضامن بدمشق، بدنا حل!",5,CIVIL,service_request
"في تسرب مياه بحي القابون بدمشق، لازم يتصلح!",6,CIVIL,service_request
"الإنارة بحي الميدان بدمشق خربانة، بدنا إصلاح بسرعة!",5,CIVIL,service_request
"يا جماعة، الزبالة متراكمة بحي القصور بحمص، بدنا تنظيف!",6,CIVIL,service_request
"المياه متسخة بدير الزور، بدنا فحص وتنظيف!",7,CIVIL,service_request
