text,severity,class,subclass
"يا جماعة، في واحد يشتم بصوت عالي بحي المزة بدمشق، بدنا الشرطة!",3,POLICE,verbal_abuse
"شباب، شخص يهدد لفظيًا بحي الشيخ مقصود بحلب، تعالوا بسرعة!",4,POLICE,verbal_abuse
"يا شرطة، في إساءة لفظية قرب سوق القابون بدمشق، ساعدوا!",2,POLICE,verbal_abuse
"واحد يشتم ناس بدير الزور قرب الجسر، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في تهديدات لفظية بحي الخالدية بحمص، بسرعة!",3,POLICE,verbal_abuse
"شخص يهين ناس باللاذقية قرب الكورنيش، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في إساءة لفظية بحي التضامن بدمشق، جيبو الشرطة!",2,POLICE,verbal_abuse
"واحد يشتم بالسويداء قرب السوق، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في شتائم بحي الميدان بدمشق، ساعدوا!",3,POLICE,verbal_abuse
"شخص يهدد لفظيًا بحي الصالحية بحلب، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في إساءة لفظية قرب مبنى بدير الزور، تعالوا!",2,POLICE,verbal_abuse
"واحد يشتم ناس بحي القصور بحمص، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في تهديدات لفظية بحي الحميدية بدمشق، بسرعة!",3,POLICE,verbal_abuse
"شخص يهين آخرين بحي الصالحية بحلب، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في شتائم بحي الشيخ سعد بدير الزور، ساعدوا!",2,POLICE,verbal_abuse
"واحد يهدد لفظيًا بحي المزة بدمشق، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في إساءة لفظية قرب سوق اللاذقية، تعالوا!",3,POLICE,verbal_abuse
"شخص يشتم ناس بحي الخالدية بحمص، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في تهديدات لفظية بحي التضامن بدمشق، ساعدوا!",2,POLICE,verbal_abuse
"واحد يهين آخرين بحي الفردوس بحلب، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في شتائم قرب مبنى بحي القابون بدمشق، بسرعة!",3,POLICE,verbal_abuse
"شخص يهدد لفظيًا بدير الزور قرب السوق، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في إساءة لفظية بحي الميدان بدمشق، تعالوا!",2,POLICE,verbal_abuse
"واحد يشتم ناس بحي القصور بحمص، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في تهديدات لفظية بحي الحميدية بدمشق، ساعدوا!",3,POLICE,verbal_abuse
"شخص يهين آخرين بحي الصالحية بحلب، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في شتائم بحي الشيخ سعد بدير الزور، بسرعة!",2,POLICE,verbal_abuse
"واحد يهدد لفظيًا بالسويداء قرب السوق، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في إساءة لفظية بحي المزة بدمشق، تعالوا!",3,POLICE,verbal_abuse
"شخص يشتم ناس باللاذقية قرب الكورنيش، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في تهديدات لفظية بحي الخالدية بحمص، ساعدوا!",2,POLICE,verbal_abuse
"واحد يهين آخرين بحي التضامن بدمشق، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في شتائم بحي الفردوس بحلب، تعالوا!",3,POLICE,verbal_abuse
"شخص يهدد لفظيًا بحي القابون بدمشق، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في إساءة لفظية بدير الزور قرب الجسر، ساعدوا!",2,POLICE,verbal_abuse
"واحد يشتم ناس بحي الميدان بدمشق، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في تهديدات لفظية بحي القصور بحمص، تعالوا!",3,POLICE,verbal_abuse
"شخص يهين آخرين بحي الحميدية بدمشق، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في شتائم بحي الصالحية بحلب، ساعدوا!",2,POLICE,verbal_abuse
"واحد يهدد لفظيًا بحي الشيخ سعد بدير الزور، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في إساءة لفظية بالسويداء، تعالوا!",3,POLICE,verbal_abuse
"شخص يشتم ناس بحي المزة بدمشق، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في تهديدات لفظية باللاذقية قرب السوق، ساعدوا!",2,POLICE,verbal_abuse
"واحد يهين آخرين بحي الخالدية بحمص، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في شتائم بحي التضامن بدمشق، تعالوا!",3,POLICE,verbal_abuse
"شخص يهدد لفظيًا بحي الفردوس بحلب، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في إساءة لفظية بحي القابون بدمشق، ساعدوا!",2,POLICE,verbal_abuse
"واحد يشتم ناس بدير الزور قرب السوق، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في تهديدات لفظية بحي الميدان بدمشق، تعالوا!",3,POLICE,verbal_abuse
"شخص يهين آخرين بحي القصور بحمص، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في شتائم بحي الحميدية بدمشق، ساعدوا!",2,POLICE,verbal_abuse
"واحد يهدد لفظيًا بحي الصالحية بحلب، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في إساءة لفظية بحي الشيخ سعد بدير الزور، تعالوا!",3,POLICE,verbal_abuse
"شخص يشتم ناس بالسويداء قرب السوق، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في تهديدات لفظية بحي المزة بدمشق، ساعدوا!",2,POLICE,verbal_abuse
"واحد يهين آخرين باللاذقية قرب الكورنيش، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في شتائم بحي الخالدية بحمص، تعالوا!",3,POLICE,verbal_abuse
"شخص يهدد لفظيًا بحي التضامن بدمشق، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في إساءة لفظية بحي الفردوس بحلب، ساعدوا!",2,POLICE,verbal_abuse
"واحد يشتم ناس بحي القابون بدمشق، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في تهديدات لفظية بدير الزور قرب الجسر، تعالوا!",3,POLICE,verbal_abuse
"شخص يهين آخرين بحي الميدان بدمشق، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في شتائم بحي القصور بحمص، ساعدوا!",2,POLICE,verbal_abuse
"واحد يهدد لفظيًا بحي الحميدية بدمشق، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في إساءة لفظية بحي الصالحية بحلب، تعالوا!",3,POLICE,verbal_abuse
"شخص يشتم ناس بحي الشيخ سعد بدير الزور، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في تهديدات لفظية بالسويداء، ساعدوا!",2,POLICE,verbal_abuse
"واحد يهين آخرين بحي المزة بدمشق، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في شتائم باللاذقية قرب السوق، تعالوا!",3,POLICE,verbal_abuse
"شخص يهدد لفظيًا بحي الخالدية بحمص، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في إساءة لفظية بحي التضامن بدمشق، ساعدوا!",2,POLICE,verbal_abuse
"واحد يشتم ناس بحي الفردوس بحلب، بدو شرطة!",5,POLICE,verbal_abuse
"يا جماعة، في تهديدات لفظية بحي القابون بدمشق، تعالوا!",3,POLICE,verbal_abuse
"شخص يهين آخرين بدير الزور قرب السوق، بدنا الشرطة!",4,POLICE,verbal_abuse
"يا شباب، في شتائم بحي الميدان بدمشق، ساعدوا!",2,POLICE,verbal_abuse
