text,severity,class,subclass
"يا جماعة، سرقو شنطة بحي المزة بدمشق، بدنا الشرطة بسرعة!",4,POLICE,theft
"شباب، في سرقة بمحل بحي الشيخ مقصود بحلب، تعالوا!",5,POLICE,theft
"يا شرطة، سرقو موبايلي قرب سوق القابون بدمشق، ساعدوا!",3,POLICE,theft
"في سرقة حصلت بدير الزور قرب الجسر، بدو شرطة!",6,POLICE,theft
"يا جماعة، سرقو أغراض من بيت بحي الخالدية بحمص، بسرعة!",4,POLICE,theft
"سرقو محفظة باللاذقية قرب الكورنيش، بدنا الشرطة!",5,POLICE,theft
"يا شباب، في سرقة بحي التضامن بدمشق، جيبو الشرطة!",3,POLICE,theft
"سرقو بضاعة من محل بالسويداء قرب السوق، بدو شرطة!",6,POLICE,theft
"يا جماعة، سرقو ذهب بحي الميدان بدمشق، ساعدوا!",4,POLICE,theft
"في سرقة موبايل بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,theft
"يا شباب، سرقو أغراض قرب مبنى بدير الزور، تعالوا!",3,POLICE,theft
"سرقو شنطة بحي القصور بحمص، بدو شرطة!",6,POLICE,theft
"يا جماعة، في سرقة بحي الحميدية بدمشق، بسرعة!",4,POLICE,theft
"سرقو محفظة بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,theft
"يا شباب، سرقو أغراض بحي الشيخ سعد بدير الزور، ساعدوا!",3,POLICE,theft
"في سرقة بمحل بحي المزة بدمشق، بدو شرطة!",6,POLICE,theft
"يا جماعة، سرقو موبايل قرب سوق اللاذقية، تعالوا!",4,POLICE,theft
"سرقو بضاعة بحي الخالدية بحمص، بدنا الشرطة!",5,POLICE,theft
"يا شباب، في سرقة بحي التضامن بدمشق، ساعدوا!",3,POLICE,theft
"سرقو شنطة بحي الفردوس بحلب، بدو شرطة!",6,POLICE,theft
"يا جماعة، سرقو أغراض قرب مبنى بحي القابون بدمشق، بسرعة!",4,POLICE,theft
"في سرقة موبايل بدير الزور قرب السوق، بدنا الشرطة!",5,POLICE,theft
"يا شباب، سرقو محفظة بحي الميدان بدمشق، تعالوا!",3,POLICE,theft
"سرقو أغراض من بيت بحي القصور بحمص، بدو شرطة!",6,POLICE,theft
"يا جماعة، في سرقة بحي الحميدية بدمشق، ساعدوا!",4,POLICE,theft
"سرقو ذهب بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,theft
"يا شباب، سرقو شنطة بحي الشيخ سعد بدير الزور، بسرعة!",3,POLICE,theft
"في سرقة بالسويداء قرب السوق، بدو شرطة!",6,POLICE,theft
"يا جماعة، سرقو موبايل بحي المزة بدمشق، تعالوا!",4,POLICE,theft
"سرقو بضاعة باللاذقية قرب الكورنيش، بدنا الشرطة!",5,POLICE,theft
"يا شباب، في سرقة بحي الخالدية بحمص، ساعدوا!",3,POLICE,theft
"سرقو شنطة بحي التضامن بدمشق، بدو شرطة!",6,POLICE,theft
"يا جماعة، سرقو أغراض بحي الفردوس بحلب، تعالوا!",4,POLICE,theft
"في سرقة موبايل بحي القابون بدمشق، بدنا الشرطة!",5,POLICE,theft
"يا شباب، سرقو محفظة بدير الزور قرب الجسر، ساعدوا!",3,POLICE,theft
"سرقو ذهب بحي الميدان بدمشق، بدو شرطة!",6,POLICE,theft
"يا جماعة، في سرقة بحي القصور بحمص، تعالوا!",4,POLICE,theft
"سرقو أغراض بحي الحميدية بدمشق، بدنا الشرطة!",5,POLICE,theft
"يا شباب، سرقو موبايل بحي الصالحية بحلب، ساعدوا!",3,POLICE,theft
"في سرقة شنطة بحي الشيخ سعد بدير الزور، بدو شرطة!",6,POLICE,theft
"يا جماعة، سرقو بضاعة بالسويداء، تعالوا!",4,POLICE,theft
"سرقو محفظة بحي المزة بدمشق، بدو شرطة!",5,POLICE,theft
"يا شباب، في سرقة باللاذقية قرب السوق، ساعدوا!",3,POLICE,theft
"سرقو أغراض بحي الخالدية بحمص، بدنا الشرطة!",6,POLICE,theft
"يا جماعة، سرقو موبايل بحي التضامن بدمشق، تعالوا!",4,POLICE,theft
"في سرقة شنطة بحي الفردوس بحلب، بدو شرطة!",5,POLICE,theft
"يا شباب، سرقو ذهب بحي القابون بدمشق، ساعدوا!",3,POLICE,theft
"سرقو بضاعة بدير الزور قرب السوق، بدنا الشرطة!",6,POLICE,theft
"يا جماعة، في سرقة بحي الميدان بدمشق، تعالوا!",4,POLICE,theft
"سرقو محفظة بحي القصور بحمص، بدو شرطة!",5,POLICE,theft
"يا شباب، سرقو أغراض بحي الحميدية بدمشق، ساعدوا!",3,POLICE,theft
"في سرقة موبايل بحي الصالحية بحلب، بدو شرطة!",6,POLICE,theft
"يا جماعة، سرقو شنطة بحي الشيخ سعد بدير الزور، تعالوا!",4,POLICE,theft
"سرقو بضاعة بالسويداء قرب السوق، بدنا الشرطة!",5,POLICE,theft
"يا شباب، في سرقة بحي المزة بدمشق، ساعدوا!",3,POLICE,theft
"سرقو ذهب باللاذقية قرب الكورنيش، بدو شرطة!",6,POLICE,theft
