text,severity,class,subclass
"يا جماعة، في سطو مسلح بحي المزة بدمشق، بدنا الشرطة فوري!",9,POLICE,armed_robbery
"شباب، مجموعة مسلحين عم يسطو على محل بحي الشيخ مقصود بحلب، بسرعة!",8,POLICE,armed_robbery
"يا شرطة، في هجوم مسلح بحي القابون بدمشق، تعالوا بسرعة!",10,POLICE,armed_robbery
"في سطو مسلح بدير الزور قرب السوق، بدنا مساعدة!",9,POLICE,armed_robbery
"يا جماعة، ناس مسلحين عم يهاجمو بيت بحي الخالدية بحمص، ساعدوا!",10,POLICE,armed_robbery
"شخصين مسلحين عم يسطو على محل باللاذقية قرب الكورنيش، بسرعة!",8,POLICE,armed_robbery
"يا شباب، في سطو مسلح بحي التضامن بدمشق، بدنا الشرطة!",9,POLICE,armed_robbery
"مجموعة مسلحة هاجمت دكان بالسويداء، بدو شرطة فوري!",8,POLICE,armed_robbery
"يا جماعة، سطو مسلح بحي الميدان بدمشق، تعالوا بسرعة!",10,POLICE,armed_robbery
"في هجوم مسلح على محل بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,armed_robbery
"يا شباب، ناس مسلحين عم يهاجمو بيت بدير الزور، ساعدوا!",10,POLICE,armed_robbery
"سطو مسلح بحي القصور بحمص، بدنا الشرطة فوري!",8,POLICE,armed_robbery
"يا جماعة، في هجوم مسلح بحي الحميدية بدمشق، بسرعة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تسطو على دكان بحي الصالحية بحلب، ساعدوا!",8,POLICE,armed_robbery
"يا شباب، سطو مسلح بحي الشيخ سعد بدير الزور، بدنا الشرطة!",10,POLICE,armed_robbery
"في هجوم مسلح بحي المزة بدمشق، تعالوا بسرعة!",9,POLICE,armed_robbery
"يا جماعة، ناس مسلحين عم يهاجمو محل باللاذقية قرب السوق، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بحي الخالدية بحمص، بدو شرطة فوري!",10,POLICE,armed_robbery
"يا شباب، في هجوم مسلح بحي التضامن بدمشق، بسرعة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تسطو على بيت بحي الفردوس بحلب، بدنا الشرطة!",8,POLICE,armed_robbery
"يا جماعة، سطو مسلح بحي القابون بدمشق، تعالوا فوري!",10,POLICE,armed_robbery
"في هجوم مسلح بدير الزور قرب الجسر، بدنا مساعدة!",9,POLICE,armed_robbery
"يا شباب، ناس مسلحين عم يسطو على محل بحي الميدان بدمشق، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بحي القصور بحمص، بدو شرطة بسرعة!",10,POLICE,armed_robbery
"يا جماعة، في هجوم مسلح بحي الحميدية بدمشق، تعالوا!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تهاجم دكان بحي الصالحية بحلب، بدنا الشرطة!",8,POLICE,armed_robbery
"يا شباب، سطو مسلح بحي الشيخ سعد بدير الزور، بسرعة!",10,POLICE,armed_robbery
"في هجوم مسلح بالسويداء، بدو شرطة فوري!",9,POLICE,armed_robbery
"يا جماعة، ناس مسلحين عم يسطو على بيت بحي المزة بدمشق، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح باللاذقية قرب الكورنيش، بدنا الشرطة!",10,POLICE,armed_robbery
"يا شباب، في هجوم مسلح بحي الخالدية بحمص، تعالوا بسرعة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تسطو على محل بحي التضامن بدمشق، ساعدوا!",8,POLICE,armed_robbery
"يا جماعة، سطو مسلح بحي الفردوس بحلب، بدو شرطة فوري!",10,POLICE,armed_robbery
"في هجوم مسلح بحي القابون بدمشق، بدنا الشرطة!",9,POLICE,armed_robbery
"يا شباب، ناس مسلحين عم يهاجمو بيت بدير الزور، بسرعة!",8,POLICE,armed_robbery
"سطو مسلح بحي الميدان بدمشق، بدو شرطة فوري!",10,POLICE,armed_robbery
"يا جماعة، في هجوم مسلح بحي القصور بحمص، ساعدوا!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تسطو على دكان بحي الحميدية بدمشق، بسرعة!",8,POLICE,armed_robbery
"يا شباب، سطو مسلح بحي الصالحية بحلب، بدنا الشرطة!",10,POLICE,armed_robbery
"في هجوم مسلح بحي الشيخ سعد بدير الزور، تعالوا فوري!",9,POLICE,armed_robbery
"يا جماعة، ناس مسلحين عم يسطو على بيت بالسويداء، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بحي المزة بدمشق، بدو شرطة بسرعة!",10,POLICE,armed_robbery
"يا شباب، في هجوم مسلح باللاذقية قرب السوق، بدنا الشرطة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تهاجم محل بحي الخالدية بحمص، ساعدوا!",8,POLICE,armed_robbery
"يا جماعة، سطو مسلح بحي التضامن بدمشق، تعالوا فوري!",10,POLICE,armed_robbery
"في هجوم مسلح بحي الفردوس بحلب، بدو شرطة بسرعة!",9,POLICE,armed_robbery
"يا شباب، ناس مسلحين عم يسطو على بيت بحي القابون بدمشق، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بدير الزور قرب الجسر، بدنا الشرطة!",10,POLICE,armed_robbery
"يا جماعة، في هجوم مسلح بحي الميدان بدمشق، بسرعة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تسطو على دكان بحي القصور بحمص، ساعدوا!",8,POLICE,armed_robbery
"يا شباب، سطو مسلح بحي الحميدية بدمشق، بدو شرطة فوري!",10,POLICE,armed_robbery
"في هجوم مسلح بحي الصالحية بحلب، بدنا الشرطة!",9,POLICE,armed_robbery
"يا جماعة، ناس مسلحين عم يهاجمو بيت بحي الشيخ سعد بدير الزور، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بالسويداء، بدو شرطة بسرعة!",10,POLICE,armed_robbery
"يا شباب، في هجوم مسلح بحي المزة بدمشق، تعالوا فوري!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تسطو على محل باللاذقية، ساعدوا!",8,POLICE,armed_robbery
"يا جماعة، سطو مسلح بحي الخالدية بحمص، بدو شرطة!",10,POLICE,armed_robbery
"في هجوم مسلح بحي التضامن بدمشق، بدنا الشرطة!",9,POLICE,armed_robbery
"يا شباب، ناس مسلحين عم يسطو على بيت بحي الفردوس بحلب، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بحي القابون بدمشق، بدو شرطة فوري!",10,POLICE,armed_robbery
"يا جماعة، في هجوم مسلح بدير الزور قرب السوق، بسرعة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تهاجم دكان بحي الميدان بدمشق، ساعدوا!",8,POLICE,armed_robbery
"يا شباب، سطو مسلح بحي القصور بحمص، بدو شرطة!",10,POLICE,armed_robbery
"في هجوم مسلح بحي الحميدية بدمشق، بدنا الشرطة!",9,POLICE,armed_robbery
"يا جماعة، ناس مسلحين عم يسطو على محل بحي الصالحية بحلب، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بحي الشيخ سعد بدير الزور، بدو شرطة فوري!",10,POLICE,armed_robbery
"يا شباب، في هجوم مسلح بالسويداء، تعالوا بسرعة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تهاجم بيت بحي المزة بدمشق، ساعدوا!",8,POLICE,armed_robbery
"يا جماعة، سطو مسلح باللاذقية قرب الكورنيش، بدو شرطة!",10,POLICE,armed_robbery
"في هجوم مسلح بحي الخالدية بحمص، بدنا الشرطة!",9,POLICE,armed_robbery
"يا شباب، ناس مسلحين عم يسطو على دكان بحي التضامن بدمشق، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بحي الفردوس بحلب، بدو شرطة فوري!",10,POLICE,armed_robbery
"يا جماعة، في هجوم مسلح بحي القابون بدمشق، بسرعة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تهاجم بيت بدير الزور، بدنا الشرطة!",8,POLICE,armed_robbery
"يا شباب، سطو مسلح بحي الميدان بدمشق، تعالوا فوري!",10,POLICE,armed_robbery
"في هجوم مسلح بحي القصور بحمص، بدو شرطة بسرعة!",9,POLICE,armed_robbery
"يا جماعة، ناس مسلحين عم يسطو على محل بحي الحميدية بدمشق، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بحي الصالحية بحلب، بدو شرطة فوري!",10,POLICE,armed_robbery
"يا شباب، في هجوم مسلح بحي الشيخ سعد بدير الزور، بسرعة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تهاجم بيت بالسويداء، بدنا الشرطة!",8,POLICE,armed_robbery
"يا جماعة، سطو مسلح بحي المزة بدمشق، تعالوا فوري!",10,POLICE,armed_robbery
"في هجوم مسلح باللاذقية قرب السوق، بدو شرطة بسرعة!",9,POLICE,armed_robbery
"يا شباب، ناس مسلحين عم يسطو على دكان بحي الخالدية بحمص، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بحي التضامن بدمشق، بدو شرطة فوري!",10,POLICE,armed_robbery
"يا جماعة، في هجوم مسلح بحي الفردوس بحلب، بسرعة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تهاجم بيت بحي القابون بدمشق، بدنا الشرطة!",8,POLICE,armed_robbery
"يا شباب، سطو مسلح بدير الزور قرب الجسر، تعالوا فوري!",10,POLICE,armed_robbery
"في هجوم مسلح بحي الميدان بدمشق، بدو شرطة بسرعة!",9,POLICE,armed_robbery
"يا جماعة، ناس مسلحين عم يسطو على محل بحي القصور بحمص، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بحي الحميدية بدمشق، بدو شرطة فوري!",10,POLICE,armed_robbery
"يا شباب، في هجوم مسلح بحي الصالحية بحلب، تعالوا بسرعة!",9,POLICE,armed_robbery
"مجموعة مسلحة عم تهاجم بيت بحي الشيخ سعد بدير الزور، بدنا الشرطة!",8,POLICE,armed_robbery
"يا جماعة، سطو مسلح بالسويداء، بدو شرطة فوري!",10,POLICE,armed_robbery
"في هجوم مسلح بحي المزة بدمشق، بدنا الشرطة بسرعة!",9,POLICE,armed_robbery
"يا شباب، ناس مسلحين عم يسطو على دكان باللاذقية، ساعدوا!",8,POLICE,armed_robbery
"سطو مسلح بحي الخالدية بحمص، بدو شرطة فوري!",10,POLICE,armed_robbery
"يا جماعة، في هجوم مسلح بحي التضامن بدمشق، تعالوا بسرعة!",9,POLICE,armed_robbery
