text,severity,class,subclass
"يا جماعة، شخص سقط من الدرج بحي المزة بدمشق، بدو إسعاف!",8,MEDICAL,fallen
"شخص سقط بالشارع بحي الشيخ مقصود بحلب، شكلو مصاب!",7,MEDICAL,fallen
"يا شباب، في واحد سقط من شرفة بحي القابون بدمشق، بسرعة!",9,MEDICAL,fallen
"شخص سقط بدير الزور قرب السوق، بدو إسعاف عاجل!",8,MEDICAL,fallen
"يا جماعة، واحد سقط من السطح بحي الخالدية بحمص، ساعدوا!",9,MEDICAL,fallen
"شخص سقط باللاذقية قرب الكورنيش، شكلو مصاب بقوة!",7,MEDICAL,fallen
"في واحد سقط من الدرج بحي التضامن بدمشق، بدنا إسعاف!",8,MEDICAL,fallen
"يا شباب، شخص سقط بالسويداء، بدو إسعاف فوري!",7,MEDICAL,fallen
"شخص سقط من شرفة بحي الميدان بدمشق، ساعدوا بسرعة!",9,MEDICAL,fallen
"يا جماعة، واحد سقط بالشارع بحي الصالحية بحلب، بدو إسعاف!",8,MEDICAL,fallen
"شخص سقط من ارتفاع بدير الزور، شكلو مصاب!",9,MEDICAL,fallen
"يا شباب، في واحد سقط من الدرج بحي القصور بحمص، بسرعة!",7,MEDICAL,fallen
"واحد سقط من السطح بحي الحميدية بدمشق، بدنا إسعاف!",9,MEDICAL,fallen
"يا جماعة، شخص سقط بالشارع بحي الصالحية بحلب، ساعدوا!",8,MEDICAL,fallen
"شخص سقط من شرفة بحي الشيخ سعد بدير الزور، بدو إسعاف!",9,MEDICAL,fallen
"يا شباب، واحد سقط بالمنزل بحي المزة بدمشق، بسرعة!",7,MEDICAL,fallen
"في شخص سقط باللاذقية قرب السوق، شكلو مصاب!",8,MEDICAL,fallen
"يا جماعة، واحد سقط من الدرج بحي الخالدية بحمص، بدو إسعاف!",9,MEDICAL,fallen
"شخص سقط بالسويداء، بدنا إسعاف فوري!",7,MEDICAL,fallen
"يا شباب، في واحد سقط من شرفة بحي التضامن بدمشق، ساعدوا!",9,MEDICAL,fallen
"شخص سقط بالشارع بحي الفردوس بحلب، بدو إسعاف!",8,MEDICAL,fallen
"يا جماعة، واحد سقط من ارتفاع بحي القابون بدمشق، بسرعة!",9,MEDICAL,fallen
"شخص سقط بدير الزور قرب الجسر، شكلو مصاب!",7,MEDICAL,fallen
"يا شباب، في واحد سقط من الدرج بحي الميدان بدمشق، بدو إسعاف!",8,MEDICAL,fallen
"واحد سقط من السطح بحي القصور بحمص، ساعدوا!",9,MEDICAL,fallen
"يا جماعة، شخص سقط بالشارع بحي الحميدية بدمشق، بدو إسعاف!",8,MEDICAL,fallen
"شخص سقط من شرفة بحي الصالحية بحلب، بدنا إسعاف!",9,MEDICAL,fallen
"يا شباب، واحد سقط بالمنزل بحي الشيخ سعد بدير الزور، بسرعة!",7,MEDICAL,fallen
"في شخص سقط بالسويداء قرب السوق، شكلو مصاب!",8,MEDICAL,fallen
"يا جماعة، واحد سقط من الدرج بحي المزة بدمشق، بدو إسعاف!",9,MEDICAL,fallen
"شخص سقط باللاذقية قرب الكورنيش، بدنا إسعاف!",7,MEDICAL,fallen
"يا شباب، في واحد سقط من شرفة بحي الخالدية بحمص، ساعدوا!",9,MEDICAL,fallen
"شخص سقط بالشارع بحي التضامن بدمشق، شكلو مصاب!",8,MEDICAL,fallen
"يا جماعة، واحد سقط من ارتفاع بحي الفردوس بحلب، بدو إسعاف!",9,MEDICAL,fallen
"شخص سقط بدير الزور، بدنا إسعاف فوري!",7,MEDICAL,fallen
"يا شباب، في واحد سقط من الدرج بحي القابون بدمشق، ساعدوا!",8,MEDICAL,fallen
"واحد سقط من السطح بحي الميدان بدمشق، بدو إسعاف!",9,MEDICAL,fallen
"يا جماعة، شخص سقط بالشارع بحي القصور بحمص، بسرعة!",7,MEDICAL,fallen
"شخص سقط من شرفة بحي الحميدية بدمشق، بدنا إسعاف!",9,MEDICAL,fallen
"يا شباب، واحد سقط بالمنزل بحي الصالحية بحلب، ساعدوا!",8,MEDICAL,fallen
"في شخص سقط من ارتفاع بحي الشيخ سعد بدير الزور، بدو إسعاف!",9,MEDICAL,fallen
"يا جماعة، واحد سقط بالسويداء، شكلو مصاب!",7,MEDICAL,fallen
"شخص سقط من الدرج بحي المزة بدمشق، بدنا إسعاف!",8,MEDICAL,fallen
"يا شباب، في واحد سقط باللاذقية قرب السوق، ساعدوا!",9,MEDICAL,fallen
"شخص سقط من شرفة بحي الخالدية بحمص، بدو إسعاف!",8,MEDICAL,fallen
"يا جماعة، واحد سقط بالشارع بحي التضامن بدمشق، بسرعة!",7,MEDICAL,fallen
"شخص سقط من ارتفاع بحي الفردوس بحلب، بدنا إسعاف!",9,MEDICAL,fallen
"يا شباب، في واحد سقط بدير الزور قرب الجسر، ساعدوا!",8,MEDICAL,fallen
"واحد سقط من الدرج بحي القابون بدمشق، بدو إسعاف!",9,MEDICAL,fallen
"يا جماعة، شخص سقط بالمنزل بحي الميدان بدمشق، بسرعة!",7,MEDICAL,fallen
"شخص سقط من السطح بحي القصور بحمص، بدنا إسعاف!",9,MEDICAL,fallen
"يا شباب، في واحد سقط بالشارع بحي الحميدية بدمشق، ساعدوا!",8,MEDICAL,fallen
"شخص سقط من شرفة بحي الصالحية بحلب، بدو إسعاف!",9,MEDICAL,fallen
"يا جماعة، واحد سقط بحي الشيخ سعد بدير الزور، بسرعة!",7,MEDICAL,fallen
"شخص سقط بالسويداء قرب السوق، بدنا إسعاف!",8,MEDICAL,fallen
"يا شباب، في واحد سقط من الدرج بحي المزة بدمشق، ساعدوا!",9,MEDICAL,fallen
"شخص سقط باللاذقية قرب الكورنيش، شكلو مصاب!",7,MEDICAL,fallen
"يا جماعة، واحد سقط من شرفة بحي الخالدية بحمص، بدو إسعاف!",9,MEDICAL,fallen
"شخص سقط بالشارع بحي التضامن بدمشق، بدنا إسعاف!",8,MEDICAL,fallen
"يا شباب، في واحد سقط من ارتفاع بحي الفردوس بحلب، ساعدوا!",9,MEDICAL,fallen
"شخص سقط بدير الزور، شكلو مصاب!",7,MEDICAL,fallen
"يا جماعة، واحد سقط من الدرج بحي القابون بدمشق، بدو إسعاف!",8,MEDICAL,fallen
"شخص سقط من السطح بحي الميدان بدمشق، ساعدوا!",9,MEDICAL,fallen
"يا شباب، في واحد سقط بالشارع بحي القصور بحمص، بسرعة!",7,MEDICAL,fallen
"شخص سقط من شرفة بحي الحميدية بدمشق، بدنا إسعاف!",9,MEDICAL,fallen
"يا جماعة، واحد سقط بالمنزل بحي الصالحية بحلب، ساعدوا!",8,MEDICAL,fallen
"شخص سقط من ارتفاع بحي الشيخ سعد بدير الزور، بدو إسعاف!",9,MEDICAL,fallen
"يا شباب، في واحد سقط بالسويداء، شكلو مصاب!",7,MEDICAL,fallen
"شخص سقط من الدرج بحي المزة بدمشق، بدنا إسعاف!",8,MEDICAL,fallen
"يا جماعة، واحد سقط باللاذقية قرب السوق، ساعدوا!",9,MEDICAL,fallen
"شخص سقط من شرفة بحي الخالدية بحمص، بدو إسعاف!",8,MEDICAL,fallen
"يا شباب، في واحد سقط بالشارع بحي التضامن بدمشق، بسرعة!",7,MEDICAL,fallen
"شخص سقط من ارتفاع بحي الفردوس بحلب، بدنا إسعاف!",9,MEDICAL,fallen
"يا جماعة، واحد سقط بدير الزور قرب الجسر، ساعدوا!",8,MEDICAL,fallen
"شخص سقط من الدرج بحي القابون بدمشق، بدو إسعاف!",9,MEDICAL,fallen
"يا شباب، في واحد سقط بالمنزل بحي الميدان بدمشق، ساعدوا!",7,MEDICAL,fallen
"شخص سقط من السطح بحي القصور بحمص، بدنا إسعاف!",9,MEDICAL,fallen
"يا جماعة، واحد سقط بالشارع بحي الحميدية بدمشق، بسرعة!",8,MEDICAL,fallen
"شخص سقط من شرفة بحي الصالحية بحلب، بدو إسعاف!",9,MEDICAL,fallen
"يا شباب، في واحد سقط بحي الشيخ سعد بدير الزور، ساعدوا!",7,MEDICAL,fallen
"شخص سقط بالسويداء قرب السوق، بدنا إسعاف!",8,MEDICAL,fallen
"يا جماعة، واحد سقط من الدرج بحي المزة بدمشق، بسرعة!",9,MEDICAL,fallen
"شخص سقط باللاذقية قرب الكورنيش، شكلو مصاب!",7,MEDICAL,fallen
"يا شباب، في واحد سقط من شرفة بحي الخالدية بحمص، ساعدوا!",9,MEDICAL,fallen
"شخص سقط بالشارع بحي التضامن بدمشق، بدو إسعاف!",8,MEDICAL,fallen
"يا جماعة، واحد سقط من ارتفاع بحي الفردوس بحلب، ساعدوا!",9,MEDICAL,fallen
"شخص سقط بدير الزور، بدنا إسعاف فوري!",7,MEDICAL,fallen
"يا شباب، في واحد سقط من الدرج بحي القابون بدمشق، بسرعة!",8,MEDICAL,fallen
"شخص سقط من السطح بحي الميدان بدمشق، بدو إسعاف!",9,MEDICAL,fallen
"يا جماعة، واحد سقط بالشارع بحي القصور بحمص، ساعدوا!",7,MEDICAL,fallen
"شخص سقط من شرفة بحي الحميدية بدمشق، بدنا إسعاف!",9,MEDICAL,fallen
"يا شباب، في واحد سقط بالمنزل بحي الصالحية بحلب، بسرعة!",8,MEDICAL,fallen
"شخص سقط من ارتفاع بحي الشيخ سعد بدير الزور، بدو إسعاف!",9,MEDICAL,fallen
"يا جماعة، واحد سقط بالسويداء، شكلو مصاب!",7,MEDICAL,fallen
"شخص سقط من الدرج بحي المزة بدمشق، بدنا إسعاف!",8,MEDICAL,fallen
"يا شباب، في واحد سقط باللاذقية قرب السوق، ساعدوا!",9,MEDICAL,fallen
"شخص سقط من شرفة بحي الخالدية بحمص، بدو إسعاف!",8,MEDICAL,fallen
"يا جماعة، واحد سقط بالشارع بحي التضامن بدمشق، بسرعة!",7,MEDICAL,fallen
"شخص سقط من ارتفاع بحي الفردوس بحلب، بدنا إسعاف!",9,MEDICAL,fallen
