text,severity,class,subclass
"يا جماعة، سرقو سيارة بحي المزة بدمشق، بدنا الشرطة بسرعة!",5,POLICE,stolen_car
"شباب، سيارة انسرقت بحي الشيخ مقصود بحلب، تعالوا!",4,POLICE,stolen_car
"يا شرطة، سرقو سيارتي قرب السوق بحي القابون بدمشق، ساعدوا!",6,POLICE,stolen_car
"في سيارة انسرقت بدير الزور قرب الجسر، بدو شرطة!",5,POLICE,stolen_car
"يا جماعة، سرقو سيارة بحي الخالدية بحمص، بسرعة!",7,POLICE,stolen_car
"سيارة انسرقت باللاذقية قرب الكورنيش، بدنا الشرطة!",4,POLICE,stolen_car
"يا شباب، في سيارة انسرقت بحي التضامن بدمشق، تعالوا!",6,POLICE,stolen_car
"سرقو سيارة بالسويداء قرب السوق، بدو شرطة!",5,POLICE,stolen_car
"يا جماعة، سيارة انسرقت بحي الميدان بدمشق، ساعدوا!",4,POLICE,stolen_car
"في سيارة انسرقت بحي الصالحية بحلب، بدنا الشرطة!",7,POLICE,stolen_car
"يا شباب، سرقو سيارة قرب مبنى بدير الزور، تعالوا!",6,POLICE,stolen_car
"سيارة انسرقت بحي القصور بحمص، بدو شرطة!",5,POLICE,stolen_car
"يا جماعة، في سيارة انسرقت بحي الحميدية بدمشق، بسرعة!",4,POLICE,stolen_car
"سرقو سيارة بحي الصالحية بحلب، بدنا الشرطة!",6,POLICE,stolen_car
"يا شباب، سيارة انسرقت بحي الشيخ سعد بدير الزور، ساعدوا!",5,POLICE,stolen_car
"في سيارة انسرقت بحي المزة بدمشق، بدو شرطة!",7,POLICE,stolen_car
"يا جماعة، سرقو سيارة قرب السوق باللاذقية، تعالوا!",4,POLICE,stolen_car
"سيارة انسرقت بحي الخالدية بحمص، بدنا الشرطة!",6,POLICE,stolen_car
"يا شباب، في سيارة انسرقت بحي التضامن بدمشق، ساعدوا!",5,POLICE,stolen_car
"سرقو سيارة بحي الفردوس بحلب، بدو شرطة!",4,POLICE,stolen_car
"يا جماعة، سيارة انسرقت قرب مبنى بحي القابون بدمشق، بسرعة!",7,POLICE,stolen_car
"في سيارة انسرقت بدير الزور قرب السوق، بدنا الشرطة!",6,POLICE,stolen_car
"يا شباب، سرقو سيارة بحي الميدان بدمشق، تعالوا!",5,POLICE,stolen_car
"سيارة انسرقت بحي القصور بحمص، بدو شرطة!",4,POLICE,stolen_car
"يا جماعة، في سيارة انسرقت بحي الحميدية بدمشق، ساعدوا!",6,POLICE,stolen_car
"سرقو سيارة بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,stolen_car
"يا شباب، سيارة انسرقت بحي الشيخ سعد بدير الزور، بسرعة!",7,POLICE,stolen_car
"في سيارة انسرقت بالسويداء، بدو شرطة!",4,POLICE,stolen_car
"يا جماعة، سرقو سيارة بحي المزة بدمشق، تعالوا!",6,POLICE,stolen_car
"سيارة انسرقت باللاذقية قرب الكورنيش، بدنا الشرطة!",5,POLICE,stolen_car
"يا شباب، في سيارة انسرقت بحي الخالدية بحمص، ساعدوا!",4,POLICE,stolen_car
"سرقو سيارة بحي التضامن بدمشق، بدو شرطة!",7,POLICE,stolen_car
"يا جماعة، سيارة انسرقت بحي الفردوس بحلب، تعالوا!",6,POLICE,stolen_car
"في سيارة انسرقت بحي القابون بدمشق، بدنا الشرطة!",5,POLICE,stolen_car
"يا شباب، سرقو سيارة بدير الزور قرب الجسر، ساعدوا!",4,POLICE,stolen_car
"سيارة انسرقت بحي الميدان بدمشق، بدو شرطة!",6,POLICE,stolen_car
"يا جماعة، في سيارة انسرقت بحي القصور بحمص، تعالوا!",5,POLICE,stolen_car
"سرقو سيارة بحي الحميدية بدمشق، بدنا الشرطة!",4,POLICE,stolen_car
"يا شباب، سيارة انسرقت بحي الصالحية بحلب، ساعدوا!",7,POLICE,stolen_car
"في سيارة انسرقت بحي الشيخ سعد بدير الزور، بدو شرطة!",6,POLICE,stolen_car
"يا جماعة، سرقو سيارة بالسويداء، تعالوا!",5,POLICE,stolen_car
"سيارة انسرقت بحي المزة بدمشق، بدو شرطة!",4,POLICE,stolen_car
"يا شباب، في سيارة انسرقت باللاذقية قرب السوق، ساعدوا!",6,POLICE,stolen_car
