text,severity,class,subclass
"يا جماعة، شخص مصاب برصاص بحي المزة بدمشق، بدو إسعاف فوري!",10,MEDICAL,gunwound
"في واحد أصيب برصاص بحي الشيخ مقصود بحلب، بسرعة!",9,MEDICAL,gunwound
"يا شباب، شخص عم ينزف من رصاصة بحي القابون بدمشق، ساعدوا!",10,MEDICAL,gunwound
"شخص مصاب برصاص بدير الزور قرب السوق، بدو إسعاف!",9,MEDICAL,gunwound
"يا جماعة، إصابة برصاص بحي الخالدية بحمص، بدنا إسعاف!",10,MEDICAL,gunwound
"في واحد أصيب برصاص باللاذقية قرب الكورنيش، بسرعة!",9,MEDICAL,gunwound
"شخص عم ينزف من إصابة رصاص بحي التضامن بدمشق، ساعدوا!",10,MEDICAL,gunwound
"يا شباب، إصابة برصاص بالسويداء، بدو إسعاف فوري!",9,MEDICAL,gunwound
"شخص مصاب برصاص بحي الميدان بدمشق، بدنا إسعاف!",10,MEDICAL,gunwound
"يا جماعة، واحد أصيب برصاص بحي الصالحية بحلب، بسرعة!",9,MEDICAL,gunwound
"في شخص مصاب برصاص بدير الزور، بدو إسعاف عاجل!",10,MEDICAL,gunwound
"يا شباب، إصابة برصاص بحي القصور بحمص، ساعدوا!",9,MEDICAL,gunwound
"شخص عم ينزف من رصاصة بحي الحميدية بدمشق، بدو إسعاف!",10,MEDICAL,gunwound
"يا جماعة، واحد أصيب برصاص بحي الصالحية بحلب، بسرعة!",9,MEDICAL,gunwound
"في شخص مصاب برصاص بحي الشيخ سعد بدير الزور، بدنا إسعاف!",10,MEDICAL,gunwound
"شخص عم ينزف من إصابة رصاص بحي المزة بدمشق، ساعدوا!",9,MEDICAL,gunwound
"يا شباب، إصابة برصاص باللاذقية قرب السوق، بدو إسعاف!",10,MEDICAL,gunwound
"في واحد أصيب برصاص بحي الخالدية بحمص، بسرعة!",9,MEDICAL,gunwound
"يا جماعة، شخص مصاب برصاص بحي التضامن بدمشق، بدو إسعاف!",10,MEDICAL,gunwound
"شخص عم ينزف من رصاصة بحي الفردوس بحلب، ساعدوا!",9,MEDICAL,gunwound
"في إصابة برصاص بحي القابون بدمشق، بدنا إسعاف فوري!",10,MEDICAL,gunwound
"يا شباب، شخص مصاب برصاص بدير الزور قرب الجسر، بسرعة!",9,MEDICAL,gunwound
"شخص عم ينزف من إصابة رصاص بحي الميدان بدمشق، ساعدوا!",10,MEDICAL,gunwound
"يا جماعة، واحد أصيب برصاص بحي القصور بحمص، بدو إسعاف!",9,MEDICAL,gunwound
"في شخص مصاب برصاص بحي الحميدية بدمشق، بدنا إسعاف!",10,MEDICAL,gunwound
"يا شباب، إصابة برصاص بحي الصالحية بحلب، ساعدوا!",9,MEDICAL,gunwound
"شخص عم ينزف من رصاصة بحي الشيخ سعد بدير الزور، بدو إسعاف!",10,MEDICAL,gunwound
"يا جماعة، واحد أصيب برصاص بالسويداء، بسرعة!",9,MEDICAL,gunwound
"في شخص مصاب برصاص بحي المزة بدمشق، بدو إسعاف فوري!",10,MEDICAL,gunwound
"شخص عم ينزف من إصابة رصاص باللاذقية، ساعدوا!",9,MEDICAL,gunwound
"يا شباب، إصابة برصاص بحي الخالدية بحمص، بدنا إسعاف!",10,MEDICAL,gunwound
"في واحد أصيب برصاص بحي التضامن بدمشق، بسرعة!",9,MEDICAL,gunwound
"يا جماعة، شخص مصاب برصاص بحي الفردوس بحلب، بدو إسعاف!",10,MEDICAL,gunwound
"شخص عم ينزف من رصاصة بحي القابون بدمشق، ساعدوا!",9,MEDICAL,gunwound
"في إصابة برصاص بدير الزور، بدنا إسعاف فوري!",10,MEDICAL,gunwound
"يا شباب، شخص مصاب برصاص بحي الميدان بدمشق، بسرعة!",9,MEDICAL,gunwound
"شخص عم ينزف من إصابة رصاص بحي القصور بحمص، بدو إسعاف!",10,MEDICAL,gunwound
"يا جماعة، واحد أصيب برصاص بحي الحميدية بدمشق، ساعدوا!",9,MEDICAL,gunwound
"في شخص مصاب برصاص بحي الصالحية بحلب، بدنا إسعاف!",10,MEDICAL,gunwound
"يا شباب، إصابة برصاص بحي الشيخ سعد بدير الزور، بسرعة!",9,MEDICAL,gunwound
"شخص عم ينزف من رصاصة بالسويداء، بدو إسعاف فوري!",10,MEDICAL,gunwound
"يا جماعة، شخص مصاب برصاص بحي المزة بدمشق، ساعدوا!",9,MEDICAL,gunwound
"في واحد أصيب برصاص باللاذقية قرب الكورنيش، بدو إسعاف!",10,MEDICAL,gunwound
"يا شباب، إصابة برصاص بحي الخالدية بحمص، بسرعة!",9,MEDICAL,gunwound
"شخص عم ينزف من رصاصة بحي التضامن بدمشق، بدنا إسعاف!",10,MEDICAL,gunwound
"يا جماعة، شخص مصاب برصاص بحي الفردوس بحلب، ساعدوا!",9,MEDICAL,gunwound
"في إصابة برصاص بحي القابون بدمشق، بدو إسعاف فوري!",10,MEDICAL,gunwound
"يا شباب، شخص عم ينزف من رصاصة بدير الزور، بسرعة!",9,MEDICAL,gunwound
"شخص مصاب برصاص بحي الميدان بدمشق، بدنا إسعاف!",10,MEDICAL,gunwound
"يا جماعة، واحد أصيب برصاص بحي القصور بحمص، ساعدوا!",9,MEDICAL,gunwound
"في شخص مصاب برصاص بحي الحميدية بدمشق، بدو إسعاف!",10,MEDICAL,gunwound
"يا شباب، إصابة برصاص بحي الصالحية بحلب، بسرعة!",9,MEDICAL,gunwound
"شخص عم ينزف من رصاصة بحي الشيخ سعد بدير الزور، بدنا إسعاف!",10,MEDICAL,gunwound
"يا جماعة، واحد أصيب برصاص بالسويداء، ساعدوا!",9,MEDICAL,gunwound
"في شخص مصاب برصاص بحي المزة بدمشق، بدو إسعاف فوري!",10,MEDICAL,gunwound
"شخص عم ينزف من إصابة رصاص باللاذقية، بسرعة!",9,MEDICAL,gunwound
"يا شباب، إصابة برصاص بحي الخالدية بحمص، بدنا إسعاف!",10,MEDICAL,gunwound
"في واحد أصيب برصاص بحي التضامن بدمشق، ساعدوا!",9,MEDICAL,gunwound
"يا جماعة، شخص مصاب برصاص بحي الفردوس بحلب، بدو إسعاف!",10,MEDICAL,gunwound
