text,severity,class,subclass
"يا جماعة، المياه مقطوعة بحي المزة بدمشق، متى بترجع؟",6,CIVIL,question
"شو الوضع مع الكهربا بحي الشيخ مقصود بحلب، ليش عم تقطع؟",5,CIVIL,question
"يا شباب، في خطر من مبنى قديم بحي القابون بدمشق؟",7,CIVIL,question
"المجاري عم تفيض بدير الزور، في حدا عم يشتغل عالموضوع؟",6,CIVIL,question
"الطريق بحي الخالدية بحمص مكسر، متى بيتصلح؟",5,CIVIL,question
"يا جماعة، في خطة لتنظيف الزبالة بحي الصالحية باللاذقية؟",4,CIVIL,question
"الإنارة بحي التضامن بدمشق خربانة، في موعد لإصلاحها؟",5,CIVIL,question
"المياه متسخة بالسويداء، في فحص لجودتها؟",7,CIVIL,question
"يا شباب، ليش الضوضاء الكتيرة بحي الميدان بدمشق؟",4,CIVIL,question
"في ريحة غاز بحي الفردوس بحلب، هل في تسرب؟",7,CIVIL,question
"الكهربا مقطوعة بدير الزور، متى بترجع؟",6,CIVIL,question
"يا جماعة، في خطة لإصلاح الطريق بحي القصور بحمص؟",5,CIVIL,question
"الزبالة متراكمة بحي الحميدية بدمشق، مين المسؤول؟",6,CIVIL,question
"في تسرب مياه بحي الصالحية بحلب، في حدا عم يتعامل معاه؟",6,CIVIL,question
"يا شباب، الإنارة بحي الشيخ سعد بدير الزور خربانة، متى بتتصلح؟",5,CIVIL,question
"ليش المياه مقطوعة بحي المزة بدمشق، في موعد للرجعة؟",6,CIVIL,question
"في ضوضاء كتيرة باللاذقية قرب الكورنيش، شو السبب؟",4,CIVIL,question
"يا جماعة، المبنى بحي الخالدية بحمص مهدد بالانهيار، في فحص؟",7,CIVIL,question
"المجاري عم تفيض بالسويداء، في خطة للمعالجة؟",6,CIVIL,question
"يا شباب، الكهربا عم تقطع بحي التضامن بدمشق، ليش؟",5,CIVIL,question
"في ريحة زبالة بحي الفردوس بحلب، متى بتنظف؟",6,CIVIL,question
"الطريق بحي القابون بدمشق مليان حفر، في خطة للإصلاح؟",5,CIVIL,question
"يا جماعة، المياه متسخة بدير الزور، في فحص للمياه؟",7,CIVIL,question
"في ضوضاء من محلات بحي الميدان بدمشق، مين المسؤول؟",4,CIVIL,question
"يا شباب، الإنارة بحي القصور بحمص خربانة، متى بتتصلح؟",5,CIVIL,question
"ريحة غاز بحي الحميدية بدمشق، هل في تسرب؟",7,CIVIL,question
"يا جماعة، المياه مقطوعة بحي الصالحية باللاذقية، متى بترجع؟",6,CIVIL,question
"الزبالة متراكمة بحي الشيخ سعد بدير الزور، في خطة للتنظيف؟",6,CIVIL,question
"يا شباب، الكهربا مقطوعة بحي المزة بدمشق، شو السبب؟",5,CIVIL,question
"في تسرب مياه بحي الخالدية بحمص، في حدا عم يشتغل عليه؟",6,CIVIL,question
"الطريق بحي الفردوس بحلب مكسر، متى بيتصلح؟",5,CIVIL,question
"يا جماعة، المجاري عم تفيض بالسويداء، في حل قريب؟",6,CIVIL,question
"في ضوضاء كتيرة بحي التضامن بدمشق، شو السبب؟",4,CIVIL,question
"يا شباب، المياه متسخة بحي القابون بدمشق، في فحص؟",7,CIVIL,question
"الإنارة بحي الميدان بدمشق خربانة، متى بتتصلح؟",5,CIVIL,question
"ريحة زبالة بحي القصور بحمص، متى بتنظف؟",6,CIVIL,question
"يا جماعة، الكهربا عم تقطع بدير الزور، شو السبب؟",5,CIVIL,question
"في مبنى قديم بحي الصالحية بحلب، هل في خطر؟",7,CIVIL,question
"يا شباب، المياه مقطوعة باللاذقية، متى بترجع؟",6,CIVIL,question
"الزبالة متراكمة بحي الحميدية بدمشق، في خطة للتنظيف؟",6,CIVIL,question
"في تسرب مياه بحي الشيخ سعد بدير الزور، في حدا عم يتعامل؟",6,CIVIL,question
"يا جماعة، الإنارة بحي المزة بدمشق خربانة، متى بتتصلح؟",5,CIVIL,question
"في ضوضاء من ورشة بحي الخالدية بحمص، مين المسؤول؟",4,CIVIL,question
"يا شباب، المياه متسخة بالسويداء، في فحص لجودتها؟",7,CIVIL,question
"الطريق بحي التضامن بدمشق مليان حفر، متى بيتصلح؟",5,CIVIL,question
"ريحة غاز بحي الفردوس بحلب، هل في تسرب؟",7,CIVIL,question
"يا جماعة، الكهربا مقطوعة بحي القابون بدمشق، شو السبب؟",5,CIVIL,question
"في تسرب مجاري بحي الميدان بدمشق، في حل قريب؟",6,CIVIL,question
"يا شباب، الزبالة متراكمة بحي القصور بحمص، متى بتنظف؟",6,CIVIL,question
"المياه مقطوعة بدير الزور، متى بترجع؟",6,CIVIL,question
"في مبنى مهدد بالانهيار بحي الصالحية بحلب، في فحص؟",7,CIVIL,question
"يا جماعة، الإنارة باللاذقية خربانة، متى بتتصلح؟",5,CIVIL,question
"في ضوضاء كتيرة بحي الحميدية بدمشق، شو السبب؟",4,CIVIL,question
"يا شباب، المياه متسخة بحي الشيخ سعد بدير الزور، في فحص؟",7,CIVIL,question
"الطريق بحي المزة بدمشق مكسر، متى بيتصلح؟",5,CIVIL,question
"ريحة زبالة بحي الخالدية بحمص، متى بتنظف؟",6,CIVIL,question
"يا جماعة، الكهربا عم تقطع بالسويداء، شو السبب؟",5,CIVIL,question
"في تسرب مياه بحي التضامن بدمشق، في حدا عم يشتغل عليه؟",6,CIVIL,question
"يا شباب، الإنارة بحي الفردوس بحلب خربانة، متى بتتصلح؟",5,CIVIL,question
"في مبنى قديم بحي القابون بدمشق، هل في خطر؟",7,CIVIL,question
"يا جماعة، المجاري عم تفيض بحي الميدان بدمشق، في حل؟",6,CIVIL,question
"الزبالة متراكمة بدير الزور، متى بتنظف؟",6,CIVIL,question
"يا شباب، الكهربا مقطوعة بحي القصور بحمص، شو السبب؟",5,CIVIL,question
"في ريحة غاز بحي الصالحية باللاذقية، هل في تسرب؟",7,CIVIL,question
"يا جماعة، المياه مقطوعة بحي الحميدية بدمشق، متى بترجع؟",6,CIVIL,question
"الطريق بحي الشيخ سعد بدير الزور مليان حفر، متى بيتصلح؟",5,CIVIL,question
"في ضوضاء من محلات بحي المزة بدمشق، مين المسؤول؟",4,CIVIL,question
"يا شباب، المياه متسخة بحي الخالدية بحمص، في فحص؟",7,CIVIL,question
"الإنارة بحي التضامن بدمشق خربانة، متى بتتصلح؟",5,CIVIL,question
"ريحة زبالة بحي الفردوس بحلب، متى بتنظف؟",6,CIVIL,question
"يا جماعة، الكهربا عم تقطع بالسويداء، شو السبب؟",5,CIVIL,question
"في تسرب مجاري بحي القابون بدمشق، في حل قريب؟",6,CIVIL,question
"يا شباب، الطريق بحي الميدان بدمشق مكسر، متى بيتصلح؟",5,CIVIL,question
"في مبنى قديم بحي القصور بحمص، هل في خطر؟",7,CIVIL,question
"يا جماعة، الزبالة متراكمة بدير الزور، متى بتنظف؟",6,CIVIL,question
"ريحة غاز بحي الحميدية بدمشق، هل في تسرب؟",7,CIVIL,question
"يا شباب، المياه مقطوعة بحي الصالحية بحلب، متى بترجع؟",6,CIVIL,question
"الإنارة باللاذقية خربانة، متى بتتصلح؟",5,CIVIL,question
"في ضوضاء كتيرة بحي الشيخ سعد بدير الزور، شو السبب؟",4,CIVIL,question
"يا جماعة، المياه متسخة بحي المزة بدمشق، في فحص؟",7,CIVIL,question
"الطريق بحي الخالدية بحمص مليان حفر، متى بيتصلح؟",5,CIVIL,question
"ريحة زبالة بحي التضامن بدمشق، متى بتنظف؟",6,CIVIL,question
"يا شباب، الكهربا مقطوعة بحي الفردوس بحلب، شو السبب؟",5,CIVIL,question
"في تسرب مياه بحي القابون بدمشق، في حدا عم يشتغل عليه؟",6,CIVIL,question
"يا جماعة، المجاري عم تفيض بالسويداء، في حل قريب؟",6,CIVIL,question
"الإنارة بحي الميدان بدمشق خربانة، متى بتتصلح؟",5,CIVIL,question
"في مبنى قديم بحي القصور بحمص، هل في خطر؟",7,CIVIL,question
"يا شباب، الزبالة متراكمة بحي الحميدية بدمشق، متى بتنظف؟",6,CIVIL,question
"ريحة غاز بحي الصالحية بحلب، هل في تسرب؟",7,CIVIL,question
"يا جماعة، المياه مقطوعة بدير الزور، متى بترجع؟",6,CIVIL,question
"الطريق بحي الشيخ مقصود بحلب مكسر، متى بيتصلح؟",5,CIVIL,question
"في ضوضاء من ورشة باللاذقية، مين المسؤول؟",4,CIVIL,question
"يا شباب، المياه متسخة بحي التضامن بدمشق، في فحص؟",7,CIVIL,question
"ريحة زبالة بحي القابون بدمشق، متى بتنظف؟",6,CIVIL,question
"يا جماعة، الكهربا عم تقطع بحي الميدان بدمشق، شو السبب؟",5,CIVIL,question
"في تسرب مياه بحي الفردوس بحلب، في حدا عم يشتغل عليه؟",6,CIVIL,question
"الإنارة بحي الخالدية بحمص خربانة، متى بتتصلح؟",5,CIVIL,question
"يا شباب، المجاري عم تفيض بالسويداء، في حل قريب؟",6,CIVIL,question
