text,severity,class,subclass
"يا جماعة، في شجار كبير بحي المزة بدمشق، بدنا الشرطة بسرعة!",7,POLICE,fight
"شباب، خناقة بين شباب بحي الشيخ مقصود بحلب، تعالوا فوري!",6,POLICE,fight
"يا شرطة، شجار عنيف قرب السوق بحي القابون بدمشق، ساعدوا!",8,POLICE,fight
"في مشاجرة كبيرة بدير الزور قرب الجسر، بدو شرطة!",7,POLICE,fight
"يا جماعة، شجار بين جيران بحي الخالدية بحمص، بسرعة!",6,POLICE,fight
"مشاجرة قوية باللاذقية قرب الكورنيش، بدنا الشرطة!",5,POLICE,fight
"يا شباب، في شجار بحي التضامن بدمشق، تعالوا بسرعة!",7,POLICE,fight
"شجار عنيف بالسويداء قرب السوق، بدو شرطة فوري!",6,POLICE,fight
"يا جماعة، مشاجرة كبيرة بحي الميدان بدمشق، ساعدوا!",8,POLICE,fight
"في شجار بحي الصالحية بحلب، بدنا الشرطة!",7,POLICE,fight
"يا شباب، مشاجرة قرب مبنى بدير الزور، تعالوا بسرعة!",6,POLICE,fight
"شجار كبير بحي القصور بحمص، بدو شرطة!",5,POLICE,fight
"يا جماعة، في خناقة بحي الحميدية بدمشق، بسرعة!",7,POLICE,fight
"مشاجرة عنيفة بحي الصالحية بحلب، بدنا الشرطة!",8,POLICE,fight
"يا شباب، شجار كبير بحي الشيخ سعد بدير الزور، ساعدوا!",6,POLICE,fight
"في مشاجرة بحي المزة بدمشق، بدو شرطة فوري!",7,POLICE,fight
"يا جماعة، شجار قوي قرب السوق باللاذقية، تعالوا بسرعة!",5,POLICE,fight
"خناقة كبيرة بحي الخالدية بحمص، بدنا الشرطة!",8,POLICE,fight
"يا شباب، في شجار بحي التضامن بدمشق، ساعدوا!",6,POLICE,fight
"شجار عنيف بحي الفردوس بحلب، بدو شرطة فوري!",7,POLICE,fight
"يا جماعة، مشاجرة قرب مبنى بحي القابون بدمشق، بسرعة!",8,POLICE,fight
"في شجار كبير بدير الزور قرب السوق، بدنا الشرطة!",6,POLICE,fight
"يا شباب، مشاجرة بحي الميدان بدمشق، تعالوا فوري!",7,POLICE,fight
"شجار قوي بحي القصور بحمص، بدو شرطة بسرعة!",5,POLICE,fight
"يا جماعة، في مشاجرة بحي الحميدية بدمشق، ساعدوا!",8,POLICE,fight
"مشاجرة عنيفة بحي الصالحية بحلب، بدنا الشرطة!",6,POLICE,fight
"يا شباب، شجار كبير بحي الشيخ سعد بدير الزور، بسرعة!",7,POLICE,fight
"في مشاجرة بالسويداء، بدو شرطة عاجل!",5,POLICE,fight
"يا جماعة، شجار قوي بحي المزة بدمشق، تعالوا بسرعة!",8,POLICE,fight
"خناقة باللاذقية قرب الكورنيش، بدنا الشرطة!",6,POLICE,fight
"يا شباب، في شجار بحي الخالدية بحمص، ساعدوا!",7,POLICE,fight
"شجار كبير بحي التضامن بدمشق، بدو شرطة فوري!",8,POLICE,fight
"يا جماعة، مشاجرة عنيفة بحي الفردوس بحلب، تعالوا بسرعة!",6,POLICE,fight
"في شجار بحي القابون بدمشق، بدنا الشرطة!",7,POLICE,fight
"يا شباب، مشاجرة كبيرة بدير الزور قرب الجسر، ساعدوا!",5,POLICE,fight
"شجار قوي بحي الميدان بدمشق، بدو شرطة فوري!",8,POLICE,fight
"يا جماعة، في مشاجرة بحي القصور بحمص، تعالوا بسرعة!",6,POLICE,fight
"مشاجرة عنيفة بحي الحميدية بدمشق، بدنا الشرطة!",7,POLICE,fight
"يا شباب، شجار كبير بحي الصالحية بحلب، ساعدوا!",8,POLICE,fight
"في مشاجرة بحي الشيخ سعد بدير الزور، بدو شرطة فوري!",6,POLICE,fight
"يا جماعة، شجار قوي بالسويداء، تعالوا بسرعة!",7,POLICE,fight
"مشاجرة بحي المزة بدمشق، بدنا الشرطة!",8,POLICE,fight
"يا شباب، في شجار باللاذقية قرب السوق، ساعدوا!",5,POLICE,fight
"شجار كبير بحي الخالدية بحمص، بدو شرطة فوري!",7,POLICE,fight
"يا جماعة، مشاجرة عنيفة بحي التضامن بدمشق، تعالوا بسرعة!",8,POLICE,fight
"في شجار بحي الفردوس بحلب، بدنا الشرطة!",6,POLICE,fight
"يا شباب، مشاجرة كبيرة بحي القابون بدمشق، ساعدوا!",7,POLICE,fight
"شجار قوي بدير الزور قرب السوق، بدو شرطة فوري!",8,POLICE,fight
"يا جماعة، في مشاجرة بحي الميدان بدمشق، تعالوا بسرعة!",6,POLICE,fight
"مشاجرة عنيفة بحي القصور بحمص، بدنا الشرطة!",7,POLICE,fight
"يا شباب، شجار كبير بحي الحميدية بدمشق، ساعدوا!",8,POLICE,fight
"في مشاجرة بحي الصالحية بحلب، بدو شرطة فوري!",6,POLICE,fight
"يا جماعة، شجار قوي بحي الشيخ سعد بدير الزور، تعالوا بسرعة!",7,POLICE,fight
"مشاجرة بالسويداء، بدنا الشرطة!",8,POLICE,fight
"يا شباب، في شجار بحي المزة بدمشق، ساعدوا!",6,POLICE,fight
"شجار كبير باللاذقية قرب الكورنيش، بدو شرطة فوري!",7,POLICE,fight
"يا جماعة، مشاجرة عنيفة بحي الخالدية بحمص، تعالوا بسرعة!",8,POLICE,fight
"في شجار بحي التضامن بدمشق، بدنا الشرطة!",6,POLICE,fight
"يا شباب، خناقة كبيرة بحي الفردوس بحلب، ساعدوا!",7,POLICE,fight
"شجار قوي بحي القابون بدمشق، بدو شرطة فوري!",8,POLICE,fight
"يا جماعة، في مشاجرة بدير الزور قرب الجسر، تعالوا بسرعة!",6,POLICE,fight
"مشاجرة عنيفة بحي الميدان بدمشق، بدنا الشرطة!",7,POLICE,fight
"يا شباب، شجار كبير بحي القصور بحمص، ساعدوا!",8,POLICE,fight
"في مشاجرة بحي الحميدية بدمشق، بدو شرطة فوري!",6,POLICE,fight
"يا جماعة، شجار قوي بحي الصالحية بحلب، تعالوا بسرعة!",7,POLICE,fight
"مشاجرة بحي الشيخ سعد بدير الزور، بدنا الشرطة!",8,POLICE,fight
"يا شباب، في شجار بالسويداء، ساعدوا!",6,POLICE,fight
"شجار كبير بحي المزة بدمشق، بدو شرطة فوري!",7,POLICE,fight
