text,severity,class,subclass
"يا جماعة، لقينا شخص مفقود بحي المزة بدمشق، بدنا الشرطة تتأكد!",4,POLICE,missing_person_found
"شباب، طفل مفقود لقوه بحي الشيخ مقصود بحلب، تعالوا بسرعة!",5,POLICE,missing_person_found
"يا شرطة، بنت مفقودة لقوها قرب السوق بحي القابون بدمشق، ساعدوا!",3,POLICE,missing_person_found
"لقينا رجال مفقود بدير الزور قرب الجسر، بدو شرطة!",6,POLICE,missing_person_found
"يا جماعة، شخص مفقود لقوه بحي الخالدية بحمص، بسرعة!",4,POLICE,missing_person_found
"طفل مفقود لقوه باللاذقية قرب الكورنيش، بدنا الشرطة!",5,POLICE,missing_person_found
"يا شباب، بنت مفقودة لقوها بحي التضامن بدمشق، تعالوا!",3,POLICE,missing_person_found
"لقينا شخص مفقود بالسويداء قرب السوق، بدو شرطة!",6,POLICE,missing_person_found
"يا جماعة، رجال مفقود لقوه بحي الميدان بدمشق، ساعدوا!",4,POLICE,missing_person_found
"طفل مفقود لقوه بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,missing_person_found
"يا شباب، بنت مفقودة لقوها قرب مبنى بدير الزور، تعالوا!",3,POLICE,missing_person_found
"رجال مفقود لقوه بحي القصور بحمص، بدو شرطة!",6,POLICE,missing_person_found
"يا جماعة، شخص مفقود لقوه بحي الحميدية بدمشق، بسرعة!",4,POLICE,missing_person_found
"طفل مفقود لقوه بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,missing_person_found
"يا شباب، بنت مفقودة لقوها بحي الشيخ سعد بدير الزور، ساعدوا!",3,POLICE,missing_person_found
"لقينا شخص مفقود بحي المزة بدمشق، بدو شرطة!",6,POLICE,missing_person_found
"يا جماعة، رجال مفقود لقوه قرب السوق باللاذقية، تعالوا!",4,POLICE,missing_person_found
"طفل مفقود لقوه بحي الخالدية بحمص، بدنا الشرطة!",5,POLICE,missing_person_found
"يا شباب، بنت مفقودة لقوها بحي التضامن بدمشق، ساعدوا!",3,POLICE,missing_person_found
"لقينا رجال مفقود بحي الفردوس بحلب، بدو شرطة!",6,POLICE,missing_person_found
"يا جماعة، شخص مفقود لقوه قرب مبنى بحي القابون بدمشق، بسرعة!",4,POLICE,missing_person_found
"طفل مفقود لقوه بدير الزور قرب السوق، بدنا الشرطة!",5,POLICE,missing_person_found
"يا شباب، بنت مفقودة لقوها بحي الميدان بدمشق، تعالوا!",3,POLICE,missing_person_found
"رجال مفقود لقوه بحي القصور بحمص، بدو شرطة!",6,POLICE,missing_person_found
"يا جماعة، شخص مفقود لقوه بحي الحميدية بدمشق، ساعدوا!",4,POLICE,missing_person_found
"طفل مفقود لقوه بحي الصالحية بحلب، بدنا الشرطة!",5,POLICE,missing_person_found
"يا شباب، بنت مفقودة لقوها بحي الشيخ سعد بدير الزور، بسرعة!",3,POLICE,missing_person_found
"لقينا شخص مفقود بالسويداء، بدو شرطة!",6,POLICE,missing_person_found
"يا جماعة، رجال مفقود لقوه بحي المزة بدمشق، تعالوا!",4,POLICE,missing_person_found
"طفل مفقود لقوه باللاذقية قرب الكورنيش، بدنا الشرطة!",5,POLICE,missing_person_found
"يا شباب، بنت مفقودة لقوها بحي الخالدية بحمص، ساعدوا!",3,POLICE,missing_person_found
"لقينا شخص مفقود بحي التضامن بدمشق، بدو شرطة!",6,POLICE,missing_person_found
"يا جماعة، رجال مفقود لقوه بحي الفردوس بحلب، تعالوا!",4,POLICE,missing_person_found
"طفل مفقود لقوه بحي القابون بدمشق، بدنا الشرطة!",5,POLICE,missing_person_found
"يا شباب، بنت مفقودة لقوها بدير الزور قرب الجسر، ساعدوا!",3,POLICE,missing_person_found
"رجال مفقود لقوه بحي الميدان بدمشق، بدو شرطة!",6,POLICE,missing_person_found
"يا جماعة، شخص مفقود لقوه بحي القصور بحمص، تعالوا!",4,POLICE,missing_person_found
"طفل مفقود لقوه بحي الحميدية بدمشق، بدنا الشرطة!",5,POLICE,missing_person_found
"يا شباب، بنت مفقودة لقوها بحي الصالحية بحلب، ساعدوا!",3,POLICE,missing_person_found
"لقينا رجال مفقود بحي الشيخ سعد بدير الزور، بدو شرطة!",6,POLICE,missing_person_found
"يا جماعة، شخص مفقود لقوه بالسويداء، تعالوا!",4,POLICE,missing_person_found
"رجال مفقود لقوه بحي المزة بدمشق، بدو شرطة!",5,POLICE,missing_person_found
