text,severity,class,subclass
"يا جماعة، في عيلة فقيرة بحي المزة بدمشق محتاجة مساعدة غذائية بسرعة!",7,CIVIL,charity
"في نازحين بحي الشيخ مقصود بحلب بدم ملابس شتوية، البرد قارس!",8,CIVIL,charity
"عيلة كبيرة بدير الزور بدون مأوى، محتاجين بطانيات وأكل!",9,CIVIL,charity
"يا شباب، في أطفال بحي القابون بدمشق محتاجين أدوية عاجلة!",8,CIVIL,charity
"في عيلة نازحة باللاذقية، ما عندهم أكل، بدنا مساعدة خيرية!",7,CIVIL,charity
"أم مع أطفالها بحي الخالدية بحمص محتاجة دعم مالي للإيجار!",6,CIVIL,charity
"يا جماعة، ناس فقراء بحي التضامن بدمشق بدم مواد تنظيف وأكل!",7,CIVIL,charity
"في مخيم نازحين بالسويداء، محتاجين حليب وأغذية للأطفال!",8,CIVIL,charity
"عيلة كبيرة بحي الميدان بدمشق ما عندهم غاز للطبخ، ساعدوا!",6,CIVIL,charity
"يا شباب، في أرملة بحي الصالحية بحلب محتاجة مساعدة للدوا!",7,CIVIL,charity
"في ناس نازحين بدير الزور محتاجين خيام وبطانيات، الوضع صعب!",9,CIVIL,charity
"عيلة فقيرة بحي القصور بحمص محتاجة أكل وملابس للأطفال!",7,CIVIL,charity
"يا جمافي مخيم نازحين بحي الفردوس بحلب، بدم أدوية ومواد غذائية!",8,CIVIL,charity
"عيلة بدون مأوى بحي المزة بدمشق، محتاجين مساعدة عاجلة!",9,CIVIL,charity
"في أطفال بحي الشيخ سعد بدير الزور بدم كتب وأدوات مدرسية!",6,CIVIL,charity
"يا شباب، عيلة نازحة باللاذقية محتاجة بطانيات ودفايات!",8,CIVIL,charity
"في ناس فقراء بحي الحميدية بدمشق، بدم مساعدة غذائية فوراً!",7,CIVIL,charity
"أم مع أطفال بحي الخالدية بحمص محتاجة دعم للعلاج!",8,CIVIL,charity
"يا جماعة، في مخيم بالسويداء محتاجين أكل وحليب للأطفال!",9,CIVIL,charity
"عيلة فقيرة بحي التضامن بدمشق بدم ملابس شتوية!",7,CIVIL,charity
"في نازحين بحي الصالحية بحلب محتاجين خيام وأغذية!",8,CIVIL,charity
"يا شباب، عيلة بحي القابون بدمشق بدون كهربا، بدم مساعدة!",6,CIVIL,charity
"في أطفال بحي الميدان بدمشق محتاجين أدوية وحليب!",7,CIVIL,charity
"عيلة نازحة بدير الزور بدم بطانيات وأكل، الوضع صعب!",9,CIVIL,charity
"يا جماعة، أرملة بحي القصور بحمص محتاجة دعم مالي!",6,CIVIL,charity
"في مخيم نازحين بحي الفردوس بحلب، بدم مواد تنظيف!",8,CIVIL,charity
"عيلة فقيرة بحي المزة بدمشق محتاجة أغذية وملابس!",7,CIVIL,charity
"يا شباب، ناس بحي الشيخ سعد بدير الزور بدم خيام!",9,CIVIL,charity
"في أطفال بحي الحميدية بدمشق محتاجين كتب مدرسية!",6,CIVIL,charity
"عيلة نازحة باللاذقية بدم بطانيات ودفايات شتوية!",8,CIVIL,charity
"يا جماعة، أم مع أطفال بحي الصالحية بحلب محتاجة دوا!",7,CIVIL,charity
"في ناس فقراء بحي الخالدية بحمص بدم أكل وملابس!",8,CIVIL,charity
"عيلة بدون مأوى بالسويداء، محتاجين خيام وأغذية!",9,CIVIL,charity
"يا شباب، في أطفال بحي التضامن بدمشق بدم حليب!",7,CIVIL,charity
"في نازحين بحي القابون بدمشق محتاجين بطانيات!",8,CIVIL,charity
"عيلة فقيرة بحي الميدان بدمشق بدم مساعدة غذائية!",6,CIVIL,charity
"يا جماعة، أرملة بدير الزور محتاجة دعم للإيجار!",7,CIVIL,charity
"في مخيم نازحين بحي الفردوس بحلب، بدم أدوية!",8,CIVIL,charity
"عيلة نازحة بحي المزة بدمشق محتاجة ملابس شتوية!",9,CIVIL,charity
"يا شباب، في أطفال بحي الشيخ سعد بدير الزور بدم كتب!",6,CIVIL,charity
"في ناس فقراء بحي الحميدية بدمشق محتاجين أكل!",7,CIVIL,charity
"عيلة بدون مأوى باللاذقية، بدم خيام وبطانيات!",8,CIVIL,charity
"يا جماعة، أم مع أطفال بحي الصالحية بحلب بدم دوا!",9,CIVIL,charity
"في نازحين بحي الخالدية بحمص محتاجين حليب وأغذية!",7,CIVIL,charity
"عيلة فقيرة بالسويداء بدم ملابس ومواد تنظيف!",8,CIVIL,charity
"يا شباب، في أطفال بحي التضامن بدمشق بدم أدوية!",6,CIVIL,charity
"في نازحين بحي القابون بدمشق محتاجين بطانيات!",7,CIVIL,charity
"عيلة بدون مأوى بحي الميدان بدمشق بدم خيام!",8,CIVIL,charity
"يا جماعة، أرملة بدير الزور محتاجة مساعدة غذائية!",9,CIVIL,charity
"في مخيم نازحين بحي الفردوس بحلب بدم حليب!",7,CIVIL,charity
"عيلة نازحة بحي المزة بدمشق محتاجة دفايات!",8,CIVIL,charity
"يا شباب، في أطفال بحي الشيخ سعد بدير الزور بدم ملابس!",6,CIVIL,charity
"في ناس فقراء بحي الحميدية بدمشق بدم أكل!",7,CIVIL,charity
"عيلة بدون مأوى باللاذقية محتاجة بطانيات!",8,CIVIL,charity
"يا جماعة، أم مع أطفال بحي الصالحية بحلب بدم دوا!",9,CIVIL,charity
"في نازحين بحي الخالدية بحمص محتاجين خيام!",7,CIVIL,charity
"عيلة فقيرة بالسويداء بدم مواد تنظيف وأغذية!",8,CIVIL,charity
"يا شباب، في أطفال بحي التضامن بدمشق بدم كتب!",6,CIVIL,charity
"في نازحين بحي القابون بدمشق محتاجين ملابس شتوية!",7,CIVIL,charity
"عيلة بدون مأوى بحي الميدان بدمشق بدم أكل!",8,CIVIL,charity
"يا جماعة، أرملة بدير الزور محتاجة دعم مالي!",9,CIVIL,charity
"في مخيم نازحين بحي الفردوس بحلب بدم بطانيات!",7,CIVIL,charity
"عيلة نازحة بحي المزة بدمشق محتاجة حليب!",8,CIVIL,charity
"يا شباب، في أطفال بحي الشيخ سعد بدير الزور بدم أدوية!",6,CIVIL,charity
"في ناس فقراء بحي الحميدية بدمشق بدم خيام!",7,CIVIL,charity
"عيلة بدون مأوى باللاذقية محتاجة أغذية!",8,CIVIL,charity
